table,gender,attained_age,q
t827,Female,5,1.9e-4
t827,Female,6,1.56e-4
t827,Female,7,1.31e-4
t827,Female,8,1.16e-4
t827,Female,9,1.08e-4
t827,Female,10,1.07e-4
t827,Female,11,1.16e-4
t827,Female,12,1.26e-4
t827,Female,13,1.35e-4
t827,Female,14,1.46e-4
t827,Female,15,1.56e-4
t827,Female,16,1.66e-4
t827,Female,17,1.77e-4
t827,Female,18,1.87e-4
t827,Female,19,1.99e-4
t827,Female,20,2.1e-4
t827,Female,21,2.23e-4
t827,Female,22,2.36e-4
t827,Female,23,2.5e-4
t827,Female,24,2.65e-4
t827,Female,25,2.81e-4
t827,Female,26,2.98e-4
t827,Female,27,3.15e-4
t827,Female,28,3.35e-4
t827,Female,29,3.56e-4
t827,Female,30,3.8e-4
t827,Female,31,4.04e-4
t827,Female,32,4.31e-4
t827,Female,33,4.6e-4
t827,Female,34,4.92e-4
t827,Female,35,5.29e-4
t827,Female,36,5.58e-4
t827,Female,37,5.95e-4
t827,Female,38,6.37e-4
t827,Female,39,6.86e-4
t827,Female,40,7.39e-4
t827,Female,41,7.96e-4
t827,Female,42,8.61e-4
t827,Female,43,9.35e-4
t827,Female,44,0.001021
t827,Female,45,0.001122
t827,Female,46,0.001241
t827,Female,47,0.001374
t827,Female,48,0.001518
t827,Female,49,0.001672
t827,Female,50,0.00183
t827,Female,51,0.001992
t827,Female,52,0.002165
t827,Female,53,0.002355
t827,Female,54,0.002572
t827,Female,55,0.002823
t827,Female,56,0.003114
t827,Female,57,0.003448
t827,Female,58,0.003825
t827,Female,59,0.004246
t827,Female,60,0.004712
t827,Female,61,0.005225
t827,Female,62,0.005789
t827,Female,63,0.00641
t827,Female,64,0.007095
t827,Female,65,0.007849
t827,Female,66,0.008686
t827,Female,67,0.009646
t827,Female,68,0.01078
t827,Female,69,0.012135
t827,Female,70,0.013761
t827,Female,71,0.015698
t827,Female,72,0.017955
t827,Female,73,0.020534
t827,Female,74,0.023435
t827,Female,75,0.026658
t827,Female,76,0.030205
t827,Female,77,0.03408
t827,Female,78,0.038288
t827,Female,79,0.042832
t827,Female,80,0.047717
t827,Female,81,0.05295
t827,Female,82,0.058546
t827,Female,83,0.064523
t827,Female,84,0.070897
t827,Female,85,0.077687
t827,Female,86,0.085078
t827,Female,87,0.093189
t827,Female,88,0.10215
t827,Female,89,0.112616
t827,Female,90,0.124167
t827,Female,91,0.136751
t827,Female,92,0.1507
t827,Female,93,0.166197
t827,Female,94,0.183448
t827,Female,95,0.202688
t827,Female,96,0.224174
t827,Female,97,0.246715
t827,Female,98,0.270999
t827,Female,99,0.297983
t827,Female,100,0.327986
t827,Female,101,0.361361
t827,Female,102,0.398774
t827,Female,103,0.439825
t827,Female,104,0.48706700000000003
t827,Female,105,0.542018
t827,Female,106,0.60654
t827,Female,107,0.682566
t827,Female,108,0.772094
t827,Female,109,0.877193
t827,Female,110,1
t828,Male,5,3.8e-4
t828,Male,6,3.53e-4
t828,Male,7,3.36e-4
t828,Male,8,3.27e-4
t828,Male,9,3.24e-4
t828,Male,10,3.25e-4
t828,Male,11,3.31e-4
t828,Male,12,3.38e-4
t828,Male,13,3.44e-4
t828,Male,14,3.52e-4
t828,Male,15,3.61e-4
t828,Male,16,3.7e-4
t828,Male,17,3.81e-4
t828,Male,18,3.92e-4
t828,Male,19,4.05e-4
t828,Male,20,4.19e-4
t828,Male,21,4.35e-4
t828,Male,22,4.53e-4
t828,Male,23,4.71e-4
t828,Male,24,4.93e-4
t828,Male,25,5.15e-4
t828,Male,26,5.42e-4
t828,Male,27,5.7e-4
t828,Male,28,6.02e-4
t828,Male,29,6.36e-4
t828,Male,30,6.74e-4
t828,Male,31,7.17e-4
t828,Male,32,7.63e-4
t828,Male,33,8.15e-4
t828,Male,34,8.72e-4
t828,Male,35,9.55e-4
t828,Male,36,0.001008
t828,Male,37,0.001073
t828,Male,38,0.001154
t828,Male,39,0.001253
t828,Male,40,0.001375
t828,Male,41,0.001522
t828,Male,42,0.001697
t828,Male,43,0.001905
t828,Male,44,0.002147
t828,Male,45,0.002426
t828,Male,46,0.002745
t828,Male,47,0.0031
t828,Male,48,0.003487
t828,Male,49,0.003903
t828,Male,50,0.004343
t828,Male,51,0.004804
t828,Male,52,0.005283
t828,Male,53,0.005778
t828,Male,54,0.006289
t828,Male,55,0.006812
t828,Male,56,0.007353
t828,Male,57,0.007932
t828,Male,58,0.008577
t828,Male,59,0.009315
t828,Male,60,0.010175
t828,Male,61,0.011182
t828,Male,62,0.01237
t828,Male,63,0.013768
t828,Male,64,0.015409
t828,Male,65,0.017324
t828,Male,66,0.019532
t828,Male,67,0.022004
t828,Male,68,0.024699
t828,Male,69,0.027574
t828,Male,70,0.030589
t828,Male,71,0.033727
t828,Male,72,0.037078
t828,Male,73,0.040756
t828,Male,74,0.044876
t828,Male,75,0.049552
t828,Male,76,0.054876
t828,Male,77,0.060842
t828,Male,78,0.06742
t828,Male,79,0.074583
t828,Male,80,0.0823
t828,Male,81,0.090538
t828,Male,82,0.099244
t828,Male,83,0.108361
t828,Male,84,0.11783
t828,Male,85,0.127595
t828,Male,86,0.137967
t828,Male,87,0.148744
t828,Male,88,0.160081
t828,Male,89,0.172066
t828,Male,90,0.184785
t828,Male,91,0.198016
t828,Male,92,0.211622
t828,Male,93,0.225563
t828,Male,94,0.242116
t828,Male,95,0.260096
t828,Male,96,0.27604
t828,Male,97,0.293282
t828,Male,98,0.312003
t828,Male,99,0.332393
t828,Male,100,0.35465
t828,Male,101,0.378984
t828,Male,102,0.405613
t828,Male,103,0.43678
t828,Male,104,0.474728
t828,Male,105,0.521701
t828,Male,106,0.579939
t828,Male,107,0.651687
t828,Male,108,0.739187
t828,Male,109,0.844683
t828,Male,110,1
