table,gender_blend,attained_age,q
t2124,80% Male,5,3.1e-4
t2124,80% Male,6,2.85e-4
t2124,80% Male,7,2.68e-4
t2124,80% Male,8,2.59e-4
t2124,80% Male,9,2.56e-4
t2124,80% Male,10,2.56e-4
t2124,80% Male,11,2.62e-4
t2124,80% Male,12,2.68e-4
t2124,80% Male,13,2.75e-4
t2124,80% Male,14,2.82e-4
t2124,80% Male,15,2.9e-4
t2124,80% Male,16,2.99e-4
t2124,80% Male,17,3.09e-4
t2124,80% Male,18,3.18e-4
t2124,80% Male,19,3.3e-4
t2124,80% Male,20,3.42e-4
t2124,80% Male,21,3.56e-4
t2124,80% Male,22,3.71e-4
t2124,80% Male,23,3.87e-4
t2124,80% Male,24,4.06e-4
t2124,80% Male,25,4.24e-4
t2124,80% Male,26,4.47e-4
t2124,80% Male,27,4.7e-4
t2124,80% Male,28,4.97e-4
t2124,80% Male,29,5.25e-4
t2124,80% Male,30,5.57e-4
t2124,80% Male,31,5.92e-4
t2124,80% Male,32,6.31e-4
t2124,80% Male,33,6.74e-4
t2124,80% Male,34,7.21e-4
t2124,80% Male,35,7.88e-4
t2124,80% Male,36,8.31e-4
t2124,80% Male,37,8.85e-4
t2124,80% Male,38,9.51e-4
t2124,80% Male,39,0.001032
t2124,80% Male,40,0.00113
t2124,80% Male,41,0.001247
t2124,80% Male,42,0.001385
t2124,80% Male,43,0.001551
t2124,80% Male,44,0.001741
t2124,80% Male,45,0.001962
t2124,80% Male,46,0.002215
t2124,80% Male,47,0.002497
t2124,80% Male,48,0.002803
t2124,80% Male,49,0.003133
t2124,80% Male,50,0.00348
t2124,80% Male,51,0.003843
t2124,80% Male,52,0.00422
t2124,80% Male,53,0.004612
t2124,80% Male,54,0.00502
t2124,80% Male,55,0.005442
t2124,80% Male,56,0.005883
t2124,80% Male,57,0.00636
t2124,80% Male,58,0.00689
t2124,80% Male,59,0.007497
t2124,80% Male,60,0.008198
t2124,80% Male,61,0.009014
t2124,80% Male,62,0.009967
t2124,80% Male,63,0.011082
t2124,80% Male,64,0.012381
t2124,80% Male,65,0.013886
t2124,80% Male,66,0.015613
t2124,80% Male,67,0.017546
t2124,80% Male,68,0.019663
t2124,80% Male,69,0.021942
t2124,80% Male,70,0.024361
t2124,80% Male,71,0.026917
t2124,80% Male,72,0.029677
t2124,80% Male,73,0.032721
t2124,80% Male,74,0.036128
t2124,80% Male,75,0.039977
t2124,80% Male,76,0.044327
t2124,80% Male,77,0.049169
t2124,80% Male,78,0.054476
t2124,80% Male,79,0.060222
t2124,80% Male,80,0.066378
t2124,80% Male,81,0.072914
t2124,80% Male,82,0.079788
t2124,80% Male,83,0.086956
t2124,80% Male,84,0.094373
t2124,80% Male,85,0.102003
t2124,80% Male,86,0.110085
t2124,80% Male,87,0.118518
t2124,80% Male,88,0.127435
t2124,80% Male,89,0.13709
t2124,80% Male,90,0.147438
t2124,80% Male,91,0.158346
t2124,80% Male,92,0.169875
t2124,80% Male,93,0.18212
t2124,80% Male,94,0.196442
t2124,80% Male,95,0.212266
t2124,80% Male,96,0.227975
t2124,80% Male,97,0.24496
