table,gender,attained_age,q
t825,Female,5,1.71e-4
t825,Female,6,1.4e-4
t825,Female,7,1.18e-4
t825,Female,8,1.04e-4
t825,Female,9,9.7e-5
t825,Female,10,9.6e-5
t825,Female,11,1.04e-4
t825,Female,12,1.13e-4
t825,Female,13,1.22e-4
t825,Female,14,1.31e-4
t825,Female,15,1.4e-4
t825,Female,16,1.49e-4
t825,Female,17,1.59e-4
t825,Female,18,1.68e-4
t825,Female,19,1.79e-4
t825,Female,20,1.89e-4
t825,Female,21,2.01e-4
t825,Female,22,2.12e-4
t825,Female,23,2.25e-4
t825,Female,24,2.39e-4
t825,Female,25,2.53e-4
t825,Female,26,2.68e-4
t825,Female,27,2.84e-4
t825,Female,28,3.02e-4
t825,Female,29,3.2e-4
t825,Female,30,3.42e-4
t825,Female,31,3.64e-4
t825,Female,32,3.88e-4
t825,Female,33,4.14e-4
t825,Female,34,4.43e-4
t825,Female,35,4.76e-4
t825,Female,36,5.02e-4
t825,Female,37,5.36e-4
t825,Female,38,5.73e-4
t825,Female,39,6.17e-4
t825,Female,40,6.65e-4
t825,Female,41,7.16e-4
t825,Female,42,7.75e-4
t825,Female,43,8.42e-4
t825,Female,44,9.19e-4
t825,Female,45,0.00101
t825,Female,46,0.001117
t825,Female,47,0.001237
t825,Female,48,0.001366
t825,Female,49,0.001505
t825,Female,50,0.001647
t825,Female,51,0.001793
t825,Female,52,0.001949
t825,Female,53,0.00212
t825,Female,54,0.002315
t825,Female,55,0.002541
t825,Female,56,0.002803
t825,Female,57,0.003103
t825,Female,58,0.003443
t825,Female,59,0.003821
t825,Female,60,0.004241
t825,Female,61,0.004703
t825,Female,62,0.00521
t825,Female,63,0.005769
t825,Female,64,0.006386
t825,Female,65,0.007064
t825,Female,66,0.007817
t825,Female,67,0.008681
t825,Female,68,0.009702
t825,Female,69,0.010922
t825,Female,70,0.012385
t825,Female,71,0.014128
t825,Female,72,0.01616
t825,Female,73,0.018481
t825,Female,74,0.021092
t825,Female,75,0.023992
t825,Female,76,0.027185
t825,Female,77,0.030672
t825,Female,78,0.034459
t825,Female,79,0.038549
t825,Female,80,0.042945
t825,Female,81,0.047655
t825,Female,82,0.052691
t825,Female,83,0.058071
t825,Female,84,0.063807
t825,Female,85,0.069918
t825,Female,86,0.07657
t825,Female,87,0.08387
t825,Female,88,0.091935
t825,Female,89,0.101354
t825,Female,90,0.11175
t825,Female,91,0.123076
t825,Female,92,0.13563
t825,Female,93,0.149577
t825,Female,94,0.165103
t825,Female,95,0.182419
t825,Female,96,0.201757
t825,Female,97,0.222044
t825,Female,98,0.243899
t825,Female,99,0.268185
t825,Female,100,0.295187
t825,Female,101,0.325225
t825,Female,102,0.358897
t825,Female,103,0.395843
t825,Female,104,0.43836
t825,Female,105,0.487816
t825,Female,106,0.545886
t825,Female,107,0.614309
t825,Female,108,0.694885
t825,Female,109,0.789474
t825,Female,110,1
t826,Male,5,3.42e-4
t826,Male,6,3.18e-4
t826,Male,7,3.02e-4
t826,Male,8,2.94e-4
t826,Male,9,2.92e-4
t826,Male,10,2.93e-4
t826,Male,11,2.98e-4
t826,Male,12,3.04e-4
t826,Male,13,3.1e-4
t826,Male,14,3.17e-4
t826,Male,15,3.25e-4
t826,Male,16,3.33e-4
t826,Male,17,3.43e-4
t826,Male,18,3.53e-4
t826,Male,19,3.65e-4
t826,Male,20,3.77e-4
t826,Male,21,3.92e-4
t826,Male,22,4.08e-4
t826,Male,23,4.24e-4
t826,Male,24,4.44e-4
t826,Male,25,4.64e-4
t826,Male,26,4.88e-4
t826,Male,27,5.13e-4
t826,Male,28,5.42e-4
t826,Male,29,5.72e-4
t826,Male,30,6.07e-4
t826,Male,31,6.45e-4
t826,Male,32,6.87e-4
t826,Male,33,7.34e-4
t826,Male,34,7.85e-4
t826,Male,35,8.6e-4
t826,Male,36,9.07e-4
t826,Male,37,9.66e-4
t826,Male,38,0.001039
t826,Male,39,0.001128
t826,Male,40,0.001238
t826,Male,41,0.00137
t826,Male,42,0.001527
t826,Male,43,0.001715
t826,Male,44,0.001932
t826,Male,45,0.002183
t826,Male,46,0.002471
t826,Male,47,0.00279
t826,Male,48,0.003138
t826,Male,49,0.003513
t826,Male,50,0.003909
t826,Male,51,0.004324
t826,Male,52,0.004755
t826,Male,53,0.0052
t826,Male,54,0.00566
t826,Male,55,0.006131
t826,Male,56,0.006618
t826,Male,57,0.007139
t826,Male,58,0.007719
t826,Male,59,0.008384
t826,Male,60,0.009158
t826,Male,61,0.010064
t826,Male,62,0.011133
t826,Male,63,0.012391
t826,Male,64,0.013868
t826,Male,65,0.015592
t826,Male,66,0.017579
t826,Male,67,0.019804
t826,Male,68,0.022229
t826,Male,69,0.024817
t826,Male,70,0.02753
t826,Male,71,0.030354
t826,Male,72,0.03337
t826,Male,73,0.03668
t826,Male,74,0.040388
t826,Male,75,0.044597
t826,Male,76,0.049388
t826,Male,77,0.054758
t826,Male,78,0.060678
t826,Male,79,0.067125
t826,Male,80,0.07407
t826,Male,81,0.081484
t826,Male,82,0.08932
t826,Male,83,0.097525
t826,Male,84,0.106047
t826,Male,85,0.114836
t826,Male,86,0.12417
t826,Male,87,0.13387
t826,Male,88,0.144073
t826,Male,89,0.154859
t826,Male,90,0.166307
t826,Male,91,0.178214
t826,Male,92,0.19046
t826,Male,93,0.203007
t826,Male,94,0.217904
t826,Male,95,0.234086
t826,Male,96,0.248436
t826,Male,97,0.263954
t826,Male,98,0.280803
t826,Male,99,0.299154
t826,Male,100,0.319185
t826,Male,101,0.341086
t826,Male,102,0.365052
t826,Male,103,0.393102
t826,Male,104,0.427255
t826,Male,105,0.469531
t826,Male,106,0.521945
t826,Male,107,0.586518
t826,Male,108,0.665268
t826,Male,109,0.760215
t826,Male,110,1
