issue_age,attained_age,duration,table,gender,risk,q_sel,q_ult
0,0,1,t1096,Male,SuperPref Nonsmoker,NA,NA
0,1,2,t1096,Male,SuperPref Nonsmoker,NA,NA
0,2,3,t1096,Male,SuperPref Nonsmoker,NA,NA
0,3,4,t1096,Male,SuperPref Nonsmoker,NA,NA
0,4,5,t1096,Male,SuperPref Nonsmoker,NA,NA
0,5,6,t1096,Male,SuperPref Nonsmoker,NA,NA
0,6,7,t1096,Male,SuperPref Nonsmoker,NA,NA
0,7,8,t1096,Male,SuperPref Nonsmoker,NA,NA
0,8,9,t1096,Male,SuperPref Nonsmoker,NA,NA
0,9,10,t1096,Male,SuperPref Nonsmoker,NA,NA
0,10,11,t1096,Male,SuperPref Nonsmoker,NA,NA
0,11,12,t1096,Male,SuperPref Nonsmoker,NA,NA
0,12,13,t1096,Male,SuperPref Nonsmoker,NA,NA
0,13,14,t1096,Male,SuperPref Nonsmoker,NA,NA
0,14,15,t1096,Male,SuperPref Nonsmoker,NA,NA
0,15,16,t1096,Male,SuperPref Nonsmoker,NA,NA
0,16,17,t1096,Male,SuperPref Nonsmoker,4.3e-4,4.3e-4
0,17,18,t1096,Male,SuperPref Nonsmoker,4.8e-4,4.8e-4
0,18,19,t1096,Male,SuperPref Nonsmoker,5e-4,5e-4
0,19,20,t1096,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,20,21,t1096,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,21,22,t1096,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,22,23,t1096,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
0,23,24,t1096,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
0,24,25,t1096,Male,SuperPref Nonsmoker,5.4e-4,5.4e-4
0,25,26,t1096,Male,SuperPref Nonsmoker,NA,5.6e-4
0,26,27,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
0,27,28,t1096,Male,SuperPref Nonsmoker,NA,6e-4
0,28,29,t1096,Male,SuperPref Nonsmoker,NA,5.9e-4
0,29,30,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
0,30,31,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
0,31,32,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
0,32,33,t1096,Male,SuperPref Nonsmoker,NA,5.9e-4
0,33,34,t1096,Male,SuperPref Nonsmoker,NA,6.1e-4
0,34,35,t1096,Male,SuperPref Nonsmoker,NA,6.3e-4
0,35,36,t1096,Male,SuperPref Nonsmoker,NA,6.6e-4
0,36,37,t1096,Male,SuperPref Nonsmoker,NA,6.9e-4
0,37,38,t1096,Male,SuperPref Nonsmoker,NA,7.3e-4
0,38,39,t1096,Male,SuperPref Nonsmoker,NA,7.8e-4
0,39,40,t1096,Male,SuperPref Nonsmoker,NA,8.3e-4
0,40,41,t1096,Male,SuperPref Nonsmoker,NA,8.9e-4
0,41,42,t1096,Male,SuperPref Nonsmoker,NA,9.7e-4
0,42,43,t1096,Male,SuperPref Nonsmoker,NA,0.00106
0,43,44,t1096,Male,SuperPref Nonsmoker,NA,0.00116
0,44,45,t1096,Male,SuperPref Nonsmoker,NA,0.00128
0,45,46,t1096,Male,SuperPref Nonsmoker,NA,0.0014
0,46,47,t1096,Male,SuperPref Nonsmoker,NA,0.00153
0,47,48,t1096,Male,SuperPref Nonsmoker,NA,0.00164
0,48,49,t1096,Male,SuperPref Nonsmoker,NA,0.00175
0,49,50,t1096,Male,SuperPref Nonsmoker,NA,0.00188
0,50,51,t1096,Male,SuperPref Nonsmoker,NA,0.00205
0,51,52,t1096,Male,SuperPref Nonsmoker,NA,0.00229
0,52,53,t1096,Male,SuperPref Nonsmoker,NA,0.00257
0,53,54,t1096,Male,SuperPref Nonsmoker,NA,0.0029
0,54,55,t1096,Male,SuperPref Nonsmoker,NA,0.00332
0,55,56,t1096,Male,SuperPref Nonsmoker,NA,0.00379
0,56,57,t1096,Male,SuperPref Nonsmoker,NA,0.0043
0,57,58,t1096,Male,SuperPref Nonsmoker,NA,0.00483
0,58,59,t1096,Male,SuperPref Nonsmoker,NA,0.00536
0,59,60,t1096,Male,SuperPref Nonsmoker,NA,0.00593
0,60,61,t1096,Male,SuperPref Nonsmoker,NA,0.00655
0,61,62,t1096,Male,SuperPref Nonsmoker,NA,0.00731
0,62,63,t1096,Male,SuperPref Nonsmoker,NA,0.0082
0,63,64,t1096,Male,SuperPref Nonsmoker,NA,0.00916
0,64,65,t1096,Male,SuperPref Nonsmoker,NA,0.01017
0,65,66,t1096,Male,SuperPref Nonsmoker,NA,0.01121
0,66,67,t1096,Male,SuperPref Nonsmoker,NA,0.01227
0,67,68,t1096,Male,SuperPref Nonsmoker,NA,0.01339
0,68,69,t1096,Male,SuperPref Nonsmoker,NA,0.01456
0,69,70,t1096,Male,SuperPref Nonsmoker,NA,0.01587
0,70,71,t1096,Male,SuperPref Nonsmoker,NA,0.0174
0,71,72,t1096,Male,SuperPref Nonsmoker,NA,0.01927
0,72,73,t1096,Male,SuperPref Nonsmoker,NA,0.02144
0,73,74,t1096,Male,SuperPref Nonsmoker,NA,0.02373
0,74,75,t1096,Male,SuperPref Nonsmoker,NA,0.02619
0,75,76,t1096,Male,SuperPref Nonsmoker,NA,0.02921
0,76,77,t1096,Male,SuperPref Nonsmoker,NA,0.03299
0,77,78,t1096,Male,SuperPref Nonsmoker,NA,0.03742
0,78,79,t1096,Male,SuperPref Nonsmoker,NA,0.04261
0,79,80,t1096,Male,SuperPref Nonsmoker,NA,0.04855
0,80,81,t1096,Male,SuperPref Nonsmoker,NA,0.05529
0,81,82,t1096,Male,SuperPref Nonsmoker,NA,0.06277
0,82,83,t1096,Male,SuperPref Nonsmoker,NA,0.0709
0,83,84,t1096,Male,SuperPref Nonsmoker,NA,0.07995
0,84,85,t1096,Male,SuperPref Nonsmoker,NA,0.09017
0,85,86,t1096,Male,SuperPref Nonsmoker,NA,0.10172
0,86,87,t1096,Male,SuperPref Nonsmoker,NA,0.11464
0,87,88,t1096,Male,SuperPref Nonsmoker,NA,0.12888
0,88,89,t1096,Male,SuperPref Nonsmoker,NA,0.14435
0,89,90,t1096,Male,SuperPref Nonsmoker,NA,0.16094
0,90,91,t1096,Male,SuperPref Nonsmoker,NA,0.17796
0,91,92,t1096,Male,SuperPref Nonsmoker,NA,0.19527
0,92,93,t1096,Male,SuperPref Nonsmoker,NA,0.21373
0,93,94,t1096,Male,SuperPref Nonsmoker,NA,0.23352
0,94,95,t1096,Male,SuperPref Nonsmoker,NA,0.25464
0,95,96,t1096,Male,SuperPref Nonsmoker,NA,0.27421
0,96,97,t1096,Male,SuperPref Nonsmoker,NA,0.29118
0,97,98,t1096,Male,SuperPref Nonsmoker,NA,0.30926
0,98,99,t1096,Male,SuperPref Nonsmoker,NA,0.32854
0,99,100,t1096,Male,SuperPref Nonsmoker,NA,0.34911
0,100,101,t1096,Male,SuperPref Nonsmoker,NA,0.36876
0,101,102,t1096,Male,SuperPref Nonsmoker,NA,0.38619
0,102,103,t1096,Male,SuperPref Nonsmoker,NA,0.40473
0,103,104,t1096,Male,SuperPref Nonsmoker,NA,0.42444
0,104,105,t1096,Male,SuperPref Nonsmoker,NA,0.44527
0,105,106,t1096,Male,SuperPref Nonsmoker,NA,0.46721
0,106,107,t1096,Male,SuperPref Nonsmoker,NA,0.4905
0,107,108,t1096,Male,SuperPref Nonsmoker,NA,0.51521
0,108,109,t1096,Male,SuperPref Nonsmoker,NA,0.54143
0,109,110,t1096,Male,SuperPref Nonsmoker,NA,0.56922
0,110,111,t1096,Male,SuperPref Nonsmoker,NA,0.59865
0,111,112,t1096,Male,SuperPref Nonsmoker,NA,0.62983
0,112,113,t1096,Male,SuperPref Nonsmoker,NA,0.66283
0,113,114,t1096,Male,SuperPref Nonsmoker,NA,0.69775
0,114,115,t1096,Male,SuperPref Nonsmoker,NA,0.73465
0,115,116,t1096,Male,SuperPref Nonsmoker,NA,0.77363
0,116,117,t1096,Male,SuperPref Nonsmoker,NA,0.81476
0,117,118,t1096,Male,SuperPref Nonsmoker,NA,0.85813
0,118,119,t1096,Male,SuperPref Nonsmoker,NA,0.9038
0,119,120,t1096,Male,SuperPref Nonsmoker,NA,0.95167
0,120,121,t1096,Male,SuperPref Nonsmoker,NA,1
1,1,1,t1096,Male,SuperPref Nonsmoker,NA,NA
1,2,2,t1096,Male,SuperPref Nonsmoker,NA,NA
1,3,3,t1096,Male,SuperPref Nonsmoker,NA,NA
1,4,4,t1096,Male,SuperPref Nonsmoker,NA,NA
1,5,5,t1096,Male,SuperPref Nonsmoker,NA,NA
1,6,6,t1096,Male,SuperPref Nonsmoker,NA,NA
1,7,7,t1096,Male,SuperPref Nonsmoker,NA,NA
1,8,8,t1096,Male,SuperPref Nonsmoker,NA,NA
1,9,9,t1096,Male,SuperPref Nonsmoker,NA,NA
1,10,10,t1096,Male,SuperPref Nonsmoker,NA,NA
1,11,11,t1096,Male,SuperPref Nonsmoker,NA,NA
1,12,12,t1096,Male,SuperPref Nonsmoker,NA,NA
1,13,13,t1096,Male,SuperPref Nonsmoker,NA,NA
1,14,14,t1096,Male,SuperPref Nonsmoker,NA,NA
1,15,15,t1096,Male,SuperPref Nonsmoker,NA,NA
1,16,16,t1096,Male,SuperPref Nonsmoker,4.1e-4,4.3e-4
1,17,17,t1096,Male,SuperPref Nonsmoker,4.6e-4,4.8e-4
1,18,18,t1096,Male,SuperPref Nonsmoker,5e-4,5e-4
1,19,19,t1096,Male,SuperPref Nonsmoker,5.1e-4,5.2e-4
1,20,20,t1096,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
1,21,21,t1096,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
1,22,22,t1096,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
1,23,23,t1096,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
1,24,24,t1096,Male,SuperPref Nonsmoker,5.4e-4,5.4e-4
1,25,25,t1096,Male,SuperPref Nonsmoker,5.5e-4,5.6e-4
1,26,26,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
1,27,27,t1096,Male,SuperPref Nonsmoker,NA,6e-4
1,28,28,t1096,Male,SuperPref Nonsmoker,NA,5.9e-4
1,29,29,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
1,30,30,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
1,31,31,t1096,Male,SuperPref Nonsmoker,NA,5.8e-4
1,32,32,t1096,Male,SuperPref Nonsmoker,NA,5.9e-4
1,33,33,t1096,Male,SuperPref Nonsmoker,NA,6.1e-4
1,34,34,t1096,Male,SuperPref Nonsmoker,NA,6.3e-4
1,35,35,t1096,Male,SuperPref Nonsmoker,NA,6.6e-4
1,36,36,t1096,Male,SuperPref Nonsmoker,NA,6.9e-4
1,37,37,t1096,Male,SuperPref Nonsmoker,NA,7.3e-4
1,38,38,t1096,Male,SuperPref Nonsmoker,NA,7.8e-4
1,39,39,t1096,Male,SuperPref Nonsmoker,NA,8.3e-4
1,40,40,t1096,Male,SuperPref Nonsmoker,NA,8.9e-4
1,41,41,t1096,Male,SuperPref Nonsmoker,NA,9.7e-4
1,42,42,t1096,Male,SuperPref Nonsmoker,NA,0.00106
1,43,43,t1096,Male,SuperPref Nonsmoker,NA,0.00116
1,44,44,t1096,Male,SuperPref Nonsmoker,NA,0.00128
1,45,45,t1096,Male,SuperPref Nonsmoker,NA,0.0014
1,46,46,t1096,Male,SuperPref Nonsmoker,NA,0.00153
1,47,47,t1096,Male,SuperPref Nonsmoker,NA,0.00164
1,48,48,t1096,Male,SuperPref Nonsmoker,NA,0.00175
1,49,49,t1096,Male,SuperPref Nonsmoker,NA,0.00188
1,50,50,t1096,Male,SuperPref Nonsmoker,NA,0.00205
1,51,51,t1096,Male,SuperPref Nonsmoker,NA,0.00229
1,52,52,t1096,Male,SuperPref Nonsmoker,NA,0.00257
1,53,53,t1096,Male,SuperPref Nonsmoker,NA,0.0029
1,54,54,t1096,Male,SuperPref Nonsmoker,NA,0.00332
1,55,55,t1096,Male,SuperPref Nonsmoker,NA,0.00379
1,56,56,t1096,Male,SuperPref Nonsmoker,NA,0.0043
1,57,57,t1096,Male,SuperPref Nonsmoker,NA,0.00483
1,58,58,t1096,Male,SuperPref Nonsmoker,NA,0.00536
1,59,59,t1096,Male,SuperPref Nonsmoker,NA,0.00593
1,60,60,t1096,Male,SuperPref Nonsmoker,NA,0.00655
1,61,61,t1096,Male,SuperPref Nonsmoker,NA,0.00731
1,62,62,t1096,Male,SuperPref Nonsmoker,NA,0.0082
1,63,63,t1096,Male,SuperPref Nonsmoker,NA,0.00916
1,64,64,t1096,Male,SuperPref Nonsmoker,NA,0.01017
1,65,65,t1096,Male,SuperPref Nonsmoker,NA,0.01121
1,66,66,t1096,Male,SuperPref Nonsmoker,NA,0.01227
1,67,67,t1096,Male,SuperPref Nonsmoker,NA,0.01339
1,68,68,t1096,Male,SuperPref Nonsmoker,NA,0.01456
1,69,69,t1096,Male,SuperPref Nonsmoker,NA,0.01587
1,70,70,t1096,Male,SuperPref Nonsmoker,NA,0.0174
1,71,71,t1096,Male,SuperPref Nonsmoker,NA,0.01927
1,72,72,t1096,Male,SuperPref Nonsmoker,NA,0.02144
1,73,73,t1096,Male,SuperPref Nonsmoker,NA,0.02373
1,74,74,t1096,Male,SuperPref Nonsmoker,NA,0.02619
1,75,75,t1096,Male,SuperPref Nonsmoker,NA,0.02921
1,76,76,t1096,Male,SuperPref Nonsmoker,NA,0.03299
1,77,77,t1096,Male,SuperPref Nonsmoker,NA,0.03742
1,78,78,t1096,Male,SuperPref Nonsmoker,NA,0.04261
