table,gender,risk,issue_age,duration,q_sel
t1096,Male,SuperPref Nonsmoker,0,1,NA
t1096,Male,SuperPref Nonsmoker,0,2,NA
t1096,Male,SuperPref Nonsmoker,0,3,NA
t1096,Male,SuperPref Nonsmoker,0,4,NA
t1096,Male,SuperPref Nonsmoker,0,5,NA
t1096,Male,SuperPref Nonsmoker,0,6,NA
t1096,Male,SuperPref Nonsmoker,0,7,NA
t1096,Male,SuperPref Nonsmoker,0,8,NA
t1096,Male,SuperPref Nonsmoker,0,9,NA
t1096,Male,SuperPref Nonsmoker,0,10,NA
t1096,Male,SuperPref Nonsmoker,0,11,NA
t1096,Male,SuperPref Nonsmoker,0,12,NA
t1096,Male,SuperPref Nonsmoker,0,13,NA
t1096,Male,SuperPref Nonsmoker,0,14,NA
t1096,Male,SuperPref Nonsmoker,0,15,NA
t1096,Male,SuperPref Nonsmoker,0,16,NA
t1096,Male,SuperPref Nonsmoker,0,17,4.3e-4
t1096,Male,SuperPref Nonsmoker,0,18,4.8e-4
t1096,Male,SuperPref Nonsmoker,0,19,5e-4
t1096,Male,SuperPref Nonsmoker,0,20,5.2e-4
t1096,Male,SuperPref Nonsmoker,0,21,5.2e-4
t1096,Male,SuperPref Nonsmoker,0,22,5.2e-4
t1096,Male,SuperPref Nonsmoker,0,23,5.3e-4
t1096,Male,SuperPref Nonsmoker,0,24,5.3e-4
t1096,Male,SuperPref Nonsmoker,0,25,5.4e-4
t1096,Male,SuperPref Nonsmoker,1,1,NA
t1096,Male,SuperPref Nonsmoker,1,2,NA
t1096,Male,SuperPref Nonsmoker,1,3,NA
t1096,Male,SuperPref Nonsmoker,1,4,NA
t1096,Male,SuperPref Nonsmoker,1,5,NA
t1096,Male,SuperPref Nonsmoker,1,6,NA
t1096,Male,SuperPref Nonsmoker,1,7,NA
t1096,Male,SuperPref Nonsmoker,1,8,NA
t1096,Male,SuperPref Nonsmoker,1,9,NA
t1096,Male,SuperPref Nonsmoker,1,10,NA
t1096,Male,SuperPref Nonsmoker,1,11,NA
t1096,Male,SuperPref Nonsmoker,1,12,NA
t1096,Male,SuperPref Nonsmoker,1,13,NA
t1096,Male,SuperPref Nonsmoker,1,14,NA
t1096,Male,SuperPref Nonsmoker,1,15,NA
t1096,Male,SuperPref Nonsmoker,1,16,4.1e-4
t1096,Male,SuperPref Nonsmoker,1,17,4.6e-4
t1096,Male,SuperPref Nonsmoker,1,18,5e-4
t1096,Male,SuperPref Nonsmoker,1,19,5.1e-4
t1096,Male,SuperPref Nonsmoker,1,20,5.2e-4
t1096,Male,SuperPref Nonsmoker,1,21,5.2e-4
t1096,Male,SuperPref Nonsmoker,1,22,5.3e-4
t1096,Male,SuperPref Nonsmoker,1,23,5.3e-4
t1096,Male,SuperPref Nonsmoker,1,24,5.4e-4
t1096,Male,SuperPref Nonsmoker,1,25,5.5e-4
t1096,Male,SuperPref Nonsmoker,2,1,NA
t1096,Male,SuperPref Nonsmoker,2,2,NA
t1096,Male,SuperPref Nonsmoker,2,3,NA
t1096,Male,SuperPref Nonsmoker,2,4,NA
t1096,Male,SuperPref Nonsmoker,2,5,NA
t1096,Male,SuperPref Nonsmoker,2,6,NA
t1096,Male,SuperPref Nonsmoker,2,7,NA
t1096,Male,SuperPref Nonsmoker,2,8,NA
t1096,Male,SuperPref Nonsmoker,2,9,NA
t1096,Male,SuperPref Nonsmoker,2,10,NA
t1096,Male,SuperPref Nonsmoker,2,11,NA
t1096,Male,SuperPref Nonsmoker,2,12,NA
t1096,Male,SuperPref Nonsmoker,2,13,NA
t1096,Male,SuperPref Nonsmoker,2,14,NA
t1096,Male,SuperPref Nonsmoker,2,15,4e-4
t1096,Male,SuperPref Nonsmoker,2,16,4.4e-4
t1096,Male,SuperPref Nonsmoker,2,17,4.8e-4
t1096,Male,SuperPref Nonsmoker,2,18,5.1e-4
t1096,Male,SuperPref Nonsmoker,2,19,5.1e-4
t1096,Male,SuperPref Nonsmoker,2,20,5.2e-4
t1096,Male,SuperPref Nonsmoker,2,21,5.3e-4
t1096,Male,SuperPref Nonsmoker,2,22,5.3e-4
t1096,Male,SuperPref Nonsmoker,2,23,5.4e-4
t1096,Male,SuperPref Nonsmoker,2,24,5.5e-4
t1096,Male,SuperPref Nonsmoker,2,25,5.7e-4
t1096,Male,SuperPref Nonsmoker,3,1,NA
t1096,Male,SuperPref Nonsmoker,3,2,NA
t1096,Male,SuperPref Nonsmoker,3,3,NA
t1096,Male,SuperPref Nonsmoker,3,4,NA
t1096,Male,SuperPref Nonsmoker,3,5,NA
t1096,Male,SuperPref Nonsmoker,3,6,NA
t1096,Male,SuperPref Nonsmoker,3,7,NA
t1096,Male,SuperPref Nonsmoker,3,8,NA
t1096,Male,SuperPref Nonsmoker,3,9,NA
t1096,Male,SuperPref Nonsmoker,3,10,NA
t1096,Male,SuperPref Nonsmoker,3,11,NA
t1096,Male,SuperPref Nonsmoker,3,12,NA
t1096,Male,SuperPref Nonsmoker,3,13,NA
t1096,Male,SuperPref Nonsmoker,3,14,3.9e-4
t1096,Male,SuperPref Nonsmoker,3,15,4.4e-4
t1096,Male,SuperPref Nonsmoker,3,16,4.8e-4
t1096,Male,SuperPref Nonsmoker,3,17,5e-4
t1096,Male,SuperPref Nonsmoker,3,18,5.1e-4
t1096,Male,SuperPref Nonsmoker,3,19,5.2e-4
t1096,Male,SuperPref Nonsmoker,3,20,5.3e-4
t1096,Male,SuperPref Nonsmoker,3,21,5.3e-4
t1096,Male,SuperPref Nonsmoker,3,22,5.4e-4
t1096,Male,SuperPref Nonsmoker,3,23,5.5e-4
t1096,Male,SuperPref Nonsmoker,3,24,5.6e-4
t1096,Male,SuperPref Nonsmoker,3,25,5.8e-4
t1096,Male,SuperPref Nonsmoker,4,1,NA
t1096,Male,SuperPref Nonsmoker,4,2,NA
t1096,Male,SuperPref Nonsmoker,4,3,NA
t1096,Male,SuperPref Nonsmoker,4,4,NA
t1096,Male,SuperPref Nonsmoker,4,5,NA
t1096,Male,SuperPref Nonsmoker,4,6,NA
t1096,Male,SuperPref Nonsmoker,4,7,NA
t1096,Male,SuperPref Nonsmoker,4,8,NA
t1096,Male,SuperPref Nonsmoker,4,9,NA
t1096,Male,SuperPref Nonsmoker,4,10,NA
t1096,Male,SuperPref Nonsmoker,4,11,NA
t1096,Male,SuperPref Nonsmoker,4,12,NA
t1096,Male,SuperPref Nonsmoker,4,13,3.9e-4
t1096,Male,SuperPref Nonsmoker,4,14,4.4e-4
t1096,Male,SuperPref Nonsmoker,4,15,4.8e-4
t1096,Male,SuperPref Nonsmoker,4,16,5e-4
t1096,Male,SuperPref Nonsmoker,4,17,5.1e-4
t1096,Male,SuperPref Nonsmoker,4,18,5.2e-4
t1096,Male,SuperPref Nonsmoker,4,19,5.3e-4
t1096,Male,SuperPref Nonsmoker,4,20,5.3e-4
t1096,Male,SuperPref Nonsmoker,4,21,5.4e-4
t1096,Male,SuperPref Nonsmoker,4,22,5.5e-4
t1096,Male,SuperPref Nonsmoker,4,23,5.6e-4
t1096,Male,SuperPref Nonsmoker,4,24,5.7e-4
t1096,Male,SuperPref Nonsmoker,4,25,5.8e-4
