table,gender,risk,attained_age,q_ult
t1096,Male,SuperPref Nonsmoker,16,4.3e-4
t1096,Male,SuperPref Nonsmoker,17,4.8e-4
t1096,Male,SuperPref Nonsmoker,18,5e-4
t1096,Male,SuperPref Nonsmoker,19,5.2e-4
t1096,Male,SuperPref Nonsmoker,20,5.2e-4
t1096,Male,SuperPref Nonsmoker,21,5.2e-4
t1096,Male,SuperPref Nonsmoker,22,5.3e-4
t1096,Male,SuperPref Nonsmoker,23,5.3e-4
t1096,Male,SuperPref Nonsmoker,24,5.4e-4
t1096,Male,SuperPref Nonsmoker,25,5.6e-4
t1096,Male,SuperPref Nonsmoker,26,5.8e-4
t1096,Male,SuperPref Nonsmoker,27,6e-4
t1096,Male,SuperPref Nonsmoker,28,5.9e-4
t1096,Male,SuperPref Nonsmoker,29,5.8e-4
t1096,Male,SuperPref Nonsmoker,30,5.8e-4
t1096,Male,SuperPref Nonsmoker,31,5.8e-4
t1096,Male,SuperPref Nonsmoker,32,5.9e-4
t1096,Male,SuperPref Nonsmoker,33,6.1e-4
t1096,Male,SuperPref Nonsmoker,34,6.3e-4
t1096,Male,SuperPref Nonsmoker,35,6.6e-4
t1096,Male,SuperPref Nonsmoker,36,6.9e-4
t1096,Male,SuperPref Nonsmoker,37,7.3e-4
t1096,Male,SuperPref Nonsmoker,38,7.8e-4
t1096,Male,SuperPref Nonsmoker,39,8.3e-4
t1096,Male,SuperPref Nonsmoker,40,8.9e-4
t1096,Male,SuperPref Nonsmoker,41,9.7e-4
t1096,Male,SuperPref Nonsmoker,42,0.00106
t1096,Male,SuperPref Nonsmoker,43,0.00116
t1096,Male,SuperPref Nonsmoker,44,0.00128
t1096,Male,SuperPref Nonsmoker,45,0.0014
t1096,Male,SuperPref Nonsmoker,46,0.00153
t1096,Male,SuperPref Nonsmoker,47,0.00164
t1096,Male,SuperPref Nonsmoker,48,0.00175
t1096,Male,SuperPref Nonsmoker,49,0.00188
t1096,Male,SuperPref Nonsmoker,50,0.00205
t1096,Male,SuperPref Nonsmoker,51,0.00229
t1096,Male,SuperPref Nonsmoker,52,0.00257
t1096,Male,SuperPref Nonsmoker,53,0.0029
t1096,Male,SuperPref Nonsmoker,54,0.00332
t1096,Male,SuperPref Nonsmoker,55,0.00379
t1096,Male,SuperPref Nonsmoker,56,0.0043
t1096,Male,SuperPref Nonsmoker,57,0.00483
t1096,Male,SuperPref Nonsmoker,58,0.00536
t1096,Male,SuperPref Nonsmoker,59,0.00593
t1096,Male,SuperPref Nonsmoker,60,0.00655
t1096,Male,SuperPref Nonsmoker,61,0.00731
t1096,Male,SuperPref Nonsmoker,62,0.0082
t1096,Male,SuperPref Nonsmoker,63,0.00916
t1096,Male,SuperPref Nonsmoker,64,0.01017
t1096,Male,SuperPref Nonsmoker,65,0.01121
t1096,Male,SuperPref Nonsmoker,66,0.01227
t1096,Male,SuperPref Nonsmoker,67,0.01339
t1096,Male,SuperPref Nonsmoker,68,0.01456
t1096,Male,SuperPref Nonsmoker,69,0.01587
t1096,Male,SuperPref Nonsmoker,70,0.0174
t1096,Male,SuperPref Nonsmoker,71,0.01927
t1096,Male,SuperPref Nonsmoker,72,0.02144
t1096,Male,SuperPref Nonsmoker,73,0.02373
t1096,Male,SuperPref Nonsmoker,74,0.02619
t1096,Male,SuperPref Nonsmoker,75,0.02921
t1096,Male,SuperPref Nonsmoker,76,0.03299
t1096,Male,SuperPref Nonsmoker,77,0.03742
t1096,Male,SuperPref Nonsmoker,78,0.04261
t1096,Male,SuperPref Nonsmoker,79,0.04855
t1096,Male,SuperPref Nonsmoker,80,0.05529
t1096,Male,SuperPref Nonsmoker,81,0.06277
t1096,Male,SuperPref Nonsmoker,82,0.0709
t1096,Male,SuperPref Nonsmoker,83,0.07995
t1096,Male,SuperPref Nonsmoker,84,0.09017
t1096,Male,SuperPref Nonsmoker,85,0.10172
t1096,Male,SuperPref Nonsmoker,86,0.11464
t1096,Male,SuperPref Nonsmoker,87,0.12888
t1096,Male,SuperPref Nonsmoker,88,0.14435
t1096,Male,SuperPref Nonsmoker,89,0.16094
t1096,Male,SuperPref Nonsmoker,90,0.17796
t1096,Male,SuperPref Nonsmoker,91,0.19527
t1096,Male,SuperPref Nonsmoker,92,0.21373
t1096,Male,SuperPref Nonsmoker,93,0.23352
t1096,Male,SuperPref Nonsmoker,94,0.25464
t1096,Male,SuperPref Nonsmoker,95,0.27421
t1096,Male,SuperPref Nonsmoker,96,0.29118
t1096,Male,SuperPref Nonsmoker,97,0.30926
t1096,Male,SuperPref Nonsmoker,98,0.32854
t1096,Male,SuperPref Nonsmoker,99,0.34911
t1096,Male,SuperPref Nonsmoker,100,0.36876
t1096,Male,SuperPref Nonsmoker,101,0.38619
t1096,Male,SuperPref Nonsmoker,102,0.40473
t1096,Male,SuperPref Nonsmoker,103,0.42444
t1096,Male,SuperPref Nonsmoker,104,0.44527
t1096,Male,SuperPref Nonsmoker,105,0.46721
t1096,Male,SuperPref Nonsmoker,106,0.4905
t1096,Male,SuperPref Nonsmoker,107,0.51521
t1096,Male,SuperPref Nonsmoker,108,0.54143
t1096,Male,SuperPref Nonsmoker,109,0.56922
t1096,Male,SuperPref Nonsmoker,110,0.59865
t1096,Male,SuperPref Nonsmoker,111,0.62983
t1096,Male,SuperPref Nonsmoker,112,0.66283
t1096,Male,SuperPref Nonsmoker,113,0.69775
