issue_age,attained_age,duration,table,gender,risk,q_sel,q_ult
0,0,1,t1076,Male,SuperPref Nonsmoker,NA,NA
0,1,2,t1076,Male,SuperPref Nonsmoker,NA,NA
0,2,3,t1076,Male,SuperPref Nonsmoker,NA,NA
0,3,4,t1076,Male,SuperPref Nonsmoker,NA,NA
0,4,5,t1076,Male,SuperPref Nonsmoker,NA,NA
0,5,6,t1076,Male,SuperPref Nonsmoker,NA,NA
0,6,7,t1076,Male,SuperPref Nonsmoker,NA,NA
0,7,8,t1076,Male,SuperPref Nonsmoker,NA,NA
0,8,9,t1076,Male,SuperPref Nonsmoker,NA,NA
0,9,10,t1076,Male,SuperPref Nonsmoker,NA,NA
0,10,11,t1076,Male,SuperPref Nonsmoker,NA,NA
0,11,12,t1076,Male,SuperPref Nonsmoker,NA,NA
0,12,13,t1076,Male,SuperPref Nonsmoker,NA,NA
0,13,14,t1076,Male,SuperPref Nonsmoker,NA,NA
0,14,15,t1076,Male,SuperPref Nonsmoker,NA,NA
0,15,16,t1076,Male,SuperPref Nonsmoker,NA,NA
0,16,17,t1076,Male,SuperPref Nonsmoker,4.1e-4,4.1e-4
0,17,18,t1076,Male,SuperPref Nonsmoker,4.7e-4,4.7e-4
0,18,19,t1076,Male,SuperPref Nonsmoker,5e-4,5e-4
0,19,20,t1076,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,20,21,t1076,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,21,22,t1076,Male,SuperPref Nonsmoker,5.2e-4,5.2e-4
0,22,23,t1076,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
0,23,24,t1076,Male,SuperPref Nonsmoker,5.3e-4,5.3e-4
0,24,25,t1076,Male,SuperPref Nonsmoker,5.4e-4,5.4e-4
0,25,26,t1076,Male,SuperPref Nonsmoker,NA,5.5e-4
0,26,27,t1076,Male,SuperPref Nonsmoker,NA,5.7e-4
0,27,28,t1076,Male,SuperPref Nonsmoker,NA,6e-4
0,28,29,t1076,Male,SuperPref Nonsmoker,NA,6e-4
0,29,30,t1076,Male,SuperPref Nonsmoker,NA,5.8e-4
0,30,31,t1076,Male,SuperPref Nonsmoker,NA,5.8e-4
0,31,32,t1076,Male,SuperPref Nonsmoker,NA,5.8e-4
0,32,33,t1076,Male,SuperPref Nonsmoker,NA,5.9e-4
0,33,34,t1076,Male,SuperPref Nonsmoker,NA,6e-4
0,34,35,t1076,Male,SuperPref Nonsmoker,NA,6.2e-4
0,35,36,t1076,Male,SuperPref Nonsmoker,NA,6.5e-4
0,36,37,t1076,Male,SuperPref Nonsmoker,NA,6.8e-4
0,37,38,t1076,Male,SuperPref Nonsmoker,NA,7.1e-4
0,38,39,t1076,Male,SuperPref Nonsmoker,NA,7.6e-4
0,39,40,t1076,Male,SuperPref Nonsmoker,NA,8.1e-4
0,40,41,t1076,Male,SuperPref Nonsmoker,NA,8.6e-4
0,41,42,t1076,Male,SuperPref Nonsmoker,NA,0.00093000000000000005
0,42,43,t1076,Male,SuperPref Nonsmoker,NA,0.00102
0,43,44,t1076,Male,SuperPref Nonsmoker,NA,0.00111
0,44,45,t1076,Male,SuperPref Nonsmoker,NA,0.00122
0,45,46,t1076,Male,SuperPref Nonsmoker,NA,0.00135
0,46,47,t1076,Male,SuperPref Nonsmoker,NA,0.00146
0,47,48,t1076,Male,SuperPref Nonsmoker,NA,0.0016
0,48,49,t1076,Male,SuperPref Nonsmoker,NA,0.00168
0,49,50,t1076,Male,SuperPref Nonsmoker,NA,0.00182
0,50,51,t1076,Male,SuperPref Nonsmoker,NA,0.00195
0,51,52,t1076,Male,SuperPref Nonsmoker,NA,0.00215
0,52,53,t1076,Male,SuperPref Nonsmoker,NA,0.00243
0,53,54,t1076,Male,SuperPref Nonsmoker,NA,0.00272
