table,gender,risk,attained_age,q_ult
t1076,Male,SuperPref Nonsmoker,16,4.1e-4
t1076,Male,SuperPref Nonsmoker,17,4.7e-4
t1076,Male,SuperPref Nonsmoker,18,5e-4
t1076,Male,SuperPref Nonsmoker,19,5.2e-4
t1076,Male,SuperPref Nonsmoker,20,5.2e-4
t1076,Male,SuperPref Nonsmoker,21,5.2e-4
t1076,Male,SuperPref Nonsmoker,22,5.3e-4
t1076,Male,SuperPref Nonsmoker,23,5.3e-4
t1076,Male,SuperPref Nonsmoker,24,5.4e-4
t1076,Male,SuperPref Nonsmoker,25,5.5e-4
t1076,Male,SuperPref Nonsmoker,26,5.7e-4
t1076,Male,SuperPref Nonsmoker,27,6e-4
t1076,Male,SuperPref Nonsmoker,28,6e-4
t1076,Male,SuperPref Nonsmoker,29,5.8e-4
t1076,Male,SuperPref Nonsmoker,30,5.8e-4
t1076,Male,SuperPref Nonsmoker,31,5.8e-4
t1076,Male,SuperPref Nonsmoker,32,5.9e-4
t1076,Male,SuperPref Nonsmoker,33,6e-4
t1076,Male,SuperPref Nonsmoker,34,6.2e-4
t1076,Male,SuperPref Nonsmoker,35,6.5e-4
t1076,Male,SuperPref Nonsmoker,36,6.8e-4
t1076,Male,SuperPref Nonsmoker,37,7.1e-4
t1076,Male,SuperPref Nonsmoker,38,7.6e-4
t1076,Male,SuperPref Nonsmoker,39,8.1e-4
t1076,Male,SuperPref Nonsmoker,40,8.6e-4
t1076,Male,SuperPref Nonsmoker,41,0.00093000000000000005
t1076,Male,SuperPref Nonsmoker,42,0.00102
t1076,Male,SuperPref Nonsmoker,43,0.00111
t1076,Male,SuperPref Nonsmoker,44,0.00122
t1076,Male,SuperPref Nonsmoker,45,0.00135
t1076,Male,SuperPref Nonsmoker,46,0.00146
t1076,Male,SuperPref Nonsmoker,47,0.0016
t1076,Male,SuperPref Nonsmoker,48,0.00168
t1076,Male,SuperPref Nonsmoker,49,0.00182
t1076,Male,SuperPref Nonsmoker,50,0.00195
t1076,Male,SuperPref Nonsmoker,51,0.00215
t1076,Male,SuperPref Nonsmoker,52,0.00243
t1076,Male,SuperPref Nonsmoker,53,0.00272
t1076,Male,SuperPref Nonsmoker,54,0.00309
t1076,Male,SuperPref Nonsmoker,55,0.00355
t1076,Male,SuperPref Nonsmoker,56,0.00403
t1076,Male,SuperPref Nonsmoker,57,0.00458
t1076,Male,SuperPref Nonsmoker,58,0.00508
t1076,Male,SuperPref Nonsmoker,59,0.00565
t1076,Male,SuperPref Nonsmoker,60,0.00621
t1076,Male,SuperPref Nonsmoker,61,0.0069
t1076,Male,SuperPref Nonsmoker,62,0.00773
t1076,Male,SuperPref Nonsmoker,63,0.00867
t1076,Male,SuperPref Nonsmoker,64,0.00965
t1076,Male,SuperPref Nonsmoker,65,0.01069
t1076,Male,SuperPref Nonsmoker,66,0.01174
t1076,Male,SuperPref Nonsmoker,67,0.01281
t1076,Male,SuperPref Nonsmoker,68,0.01397
t1076,Male,SuperPref Nonsmoker,69,0.01516
t1076,Male,SuperPref Nonsmoker,70,0.0166
t1076,Male,SuperPref Nonsmoker,71,0.01822
t1076,Male,SuperPref Nonsmoker,72,0.02034
t1076,Male,SuperPref Nonsmoker,73,0.02257
t1076,Male,SuperPref Nonsmoker,74,0.02492
t1076,Male,SuperPref Nonsmoker,75,0.02749
t1076,Male,SuperPref Nonsmoker,76,0.03098
t1076,Male,SuperPref Nonsmoker,77,0.03506
t1076,Male,SuperPref Nonsmoker,78,0.03986
t1076,Male,SuperPref Nonsmoker,79,0.04548
t1076,Male,SuperPref Nonsmoker,80,0.05176
t1076,Male,SuperPref Nonsmoker,81,0.05901
t1076,Male,SuperPref Nonsmoker,82,0.06677
t1076,Male,SuperPref Nonsmoker,83,0.07532
t1076,Male,SuperPref Nonsmoker,84,0.08496
t1076,Male,SuperPref Nonsmoker,85,0.09587
t1076,Male,SuperPref Nonsmoker,86,0.10819
t1076,Male,SuperPref Nonsmoker,87,0.12188
t1076,Male,SuperPref Nonsmoker,88,0.13686
t1076,Male,SuperPref Nonsmoker,89,0.15302
t1076,Male,SuperPref Nonsmoker,90,0.1703
t1076,Male,SuperPref Nonsmoker,91,0.1872
t1076,Male,SuperPref Nonsmoker,92,0.20519
t1076,Male,SuperPref Nonsmoker,93,0.22448
t1076,Male,SuperPref Nonsmoker,94,0.24517
t1076,Male,SuperPref Nonsmoker,95,0.26719
t1076,Male,SuperPref Nonsmoker,96,0.28379
t1076,Male,SuperPref Nonsmoker,97,0.30149
t1076,Male,SuperPref Nonsmoker,98,0.32038
t1076,Male,SuperPref Nonsmoker,99,0.34054
t1076,Male,SuperPref Nonsmoker,100,0.3621
t1076,Male,SuperPref Nonsmoker,101,0.37921
t1076,Male,SuperPref Nonsmoker,102,0.39744
