table,gender,tobacco,relative_risk,issue_age,duration,q_sel
t3209,Female,Non-Smoker,RR50,18,1,1.8e-4
t3209,Female,Non-Smoker,RR50,18,2,1.8e-4
t3209,Female,Non-Smoker,RR50,18,3,1.7e-4
t3209,Female,Non-Smoker,RR50,18,4,1.7e-4
t3209,Female,Non-Smoker,RR50,18,5,1.7e-4
t3209,Female,Non-Smoker,RR50,18,6,1.7e-4
t3209,Female,Non-Smoker,RR50,18,7,1.7e-4
t3209,Female,Non-Smoker,RR50,18,8,1.7e-4
t3209,Female,Non-Smoker,RR50,18,9,1.7e-4
t3209,Female,Non-Smoker,RR50,18,10,1.8e-4
t3209,Female,Non-Smoker,RR50,18,11,2e-4
t3209,Female,Non-Smoker,RR50,18,12,2.1e-4
t3209,Female,Non-Smoker,RR50,18,13,2.2e-4
t3209,Female,Non-Smoker,RR50,18,14,2.3e-4
t3209,Female,Non-Smoker,RR50,18,15,2.6e-4
t3209,Female,Non-Smoker,RR50,18,16,3e-4
t3209,Female,Non-Smoker,RR50,18,17,3.5e-4
t3209,Female,Non-Smoker,RR50,18,18,4e-4
t3209,Female,Non-Smoker,RR50,18,19,4.6e-4
t3209,Female,Non-Smoker,RR50,18,20,5e-4
t3209,Female,Non-Smoker,RR50,18,21,5.4e-4
t3209,Female,Non-Smoker,RR50,18,22,5.6e-4
t3209,Female,Non-Smoker,RR50,18,23,5.6e-4
t3209,Female,Non-Smoker,RR50,18,24,5.7e-4
t3209,Female,Non-Smoker,RR50,18,25,5.7e-4
t3209,Female,Non-Smoker,RR50,19,1,1.7e-4
t3209,Female,Non-Smoker,RR50,19,2,1.6e-4
t3209,Female,Non-Smoker,RR50,19,3,1.6e-4
t3209,Female,Non-Smoker,RR50,19,4,1.6e-4
t3209,Female,Non-Smoker,RR50,19,5,1.7e-4
t3209,Female,Non-Smoker,RR50,19,6,1.6e-4
t3209,Female,Non-Smoker,RR50,19,7,1.6e-4
t3209,Female,Non-Smoker,RR50,19,8,1.6e-4
t3209,Female,Non-Smoker,RR50,19,9,1.7e-4
t3209,Female,Non-Smoker,RR50,19,10,1.8e-4
t3209,Female,Non-Smoker,RR50,19,11,2e-4
t3209,Female,Non-Smoker,RR50,19,12,2.1e-4
t3209,Female,Non-Smoker,RR50,19,13,2.2e-4
t3209,Female,Non-Smoker,RR50,19,14,2.3e-4
t3209,Female,Non-Smoker,RR50,19,15,2.7e-4
t3209,Female,Non-Smoker,RR50,19,16,3.2e-4
t3209,Female,Non-Smoker,RR50,19,17,3.7e-4
t3209,Female,Non-Smoker,RR50,19,18,4.3e-4
t3209,Female,Non-Smoker,RR50,19,19,4.8e-4
t3209,Female,Non-Smoker,RR50,19,20,5.3e-4
t3209,Female,Non-Smoker,RR50,19,21,5.6e-4
t3209,Female,Non-Smoker,RR50,19,22,5.6e-4
t3209,Female,Non-Smoker,RR50,19,23,5.7e-4
t3209,Female,Non-Smoker,RR50,19,24,5.7e-4
t3209,Female,Non-Smoker,RR50,19,25,5.7e-4
t3209,Female,Non-Smoker,RR50,20,1,1.4e-4
t3209,Female,Non-Smoker,RR50,20,2,1.4e-4
t3209,Female,Non-Smoker,RR50,20,3,1.5e-4
t3209,Female,Non-Smoker,RR50,20,4,1.5e-4
t3209,Female,Non-Smoker,RR50,20,5,1.5e-4
t3209,Female,Non-Smoker,RR50,20,6,1.5e-4
t3209,Female,Non-Smoker,RR50,20,7,1.4e-4
t3209,Female,Non-Smoker,RR50,20,8,1.5e-4
t3209,Female,Non-Smoker,RR50,20,9,1.7e-4
t3209,Female,Non-Smoker,RR50,20,10,1.8e-4
t3209,Female,Non-Smoker,RR50,20,11,2e-4
t3209,Female,Non-Smoker,RR50,20,12,2e-4
t3209,Female,Non-Smoker,RR50,20,13,2.1e-4
t3209,Female,Non-Smoker,RR50,20,14,2.4e-4
t3209,Female,Non-Smoker,RR50,20,15,2.8e-4
t3209,Female,Non-Smoker,RR50,20,16,3.3e-4
t3209,Female,Non-Smoker,RR50,20,17,3.9e-4
t3209,Female,Non-Smoker,RR50,20,18,4.4e-4
t3209,Female,Non-Smoker,RR50,20,19,5e-4
t3209,Female,Non-Smoker,RR50,20,20,5.4e-4
t3209,Female,Non-Smoker,RR50,20,21,5.6e-4
t3209,Female,Non-Smoker,RR50,20,22,5.7e-4
t3209,Female,Non-Smoker,RR50,20,23,5.7e-4
t3209,Female,Non-Smoker,RR50,20,24,5.7e-4
t3209,Female,Non-Smoker,RR50,20,25,5.7e-4
t3209,Female,Non-Smoker,RR50,21,1,1.1e-4
t3209,Female,Non-Smoker,RR50,21,2,1.3e-4
t3209,Female,Non-Smoker,RR50,21,3,1.4e-4
t3209,Female,Non-Smoker,RR50,21,4,1.4e-4
t3209,Female,Non-Smoker,RR50,21,5,1.3e-4
t3209,Female,Non-Smoker,RR50,21,6,1.3e-4
t3209,Female,Non-Smoker,RR50,21,7,1.4e-4
t3209,Female,Non-Smoker,RR50,21,8,1.5e-4
t3209,Female,Non-Smoker,RR50,21,9,1.7e-4
t3209,Female,Non-Smoker,RR50,21,10,1.9e-4
t3209,Female,Non-Smoker,RR50,21,11,2e-4
t3209,Female,Non-Smoker,RR50,21,12,2e-4
t3209,Female,Non-Smoker,RR50,21,13,2.2e-4
t3209,Female,Non-Smoker,RR50,21,14,2.5e-4
t3209,Female,Non-Smoker,RR50,21,15,2.9e-4
t3209,Female,Non-Smoker,RR50,21,16,3.5e-4
t3209,Female,Non-Smoker,RR50,21,17,4e-4
t3209,Female,Non-Smoker,RR50,21,18,4.5e-4
t3209,Female,Non-Smoker,RR50,21,19,5e-4
t3209,Female,Non-Smoker,RR50,21,20,5.4e-4
t3209,Female,Non-Smoker,RR50,21,21,5.7e-4
t3209,Female,Non-Smoker,RR50,21,22,5.7e-4
t3209,Female,Non-Smoker,RR50,21,23,5.7e-4
t3209,Female,Non-Smoker,RR50,21,24,5.7e-4
t3209,Female,Non-Smoker,RR50,21,25,5.9e-4
t3209,Female,Non-Smoker,RR50,22,1,1e-4
t3209,Female,Non-Smoker,RR50,22,2,1.3e-4
t3209,Female,Non-Smoker,RR50,22,3,1.3e-4
t3209,Female,Non-Smoker,RR50,22,4,1.2e-4
t3209,Female,Non-Smoker,RR50,22,5,1.2e-4
t3209,Female,Non-Smoker,RR50,22,6,1.2e-4
t3209,Female,Non-Smoker,RR50,22,7,1.4e-4
t3209,Female,Non-Smoker,RR50,22,8,1.6e-4
t3209,Female,Non-Smoker,RR50,22,9,1.8e-4
t3209,Female,Non-Smoker,RR50,22,10,1.9e-4
t3209,Female,Non-Smoker,RR50,22,11,2e-4
t3209,Female,Non-Smoker,RR50,22,12,2.1e-4
t3209,Female,Non-Smoker,RR50,22,13,2.3e-4
t3209,Female,Non-Smoker,RR50,22,14,2.6e-4
t3209,Female,Non-Smoker,RR50,22,15,3.2e-4
t3209,Female,Non-Smoker,RR50,22,16,3.7e-4
t3209,Female,Non-Smoker,RR50,22,17,4.1e-4
t3209,Female,Non-Smoker,RR50,22,18,4.6e-4
t3209,Female,Non-Smoker,RR50,22,19,5e-4
t3209,Female,Non-Smoker,RR50,22,20,5.5e-4
t3209,Female,Non-Smoker,RR50,22,21,5.7e-4
t3209,Female,Non-Smoker,RR50,22,22,5.7e-4
t3209,Female,Non-Smoker,RR50,22,23,5.7e-4
t3209,Female,Non-Smoker,RR50,22,24,5.9e-4
t3209,Female,Non-Smoker,RR50,22,25,6.1e-4
t3209,Female,Non-Smoker,RR50,23,1,9e-5
t3209,Female,Non-Smoker,RR50,23,2,1.1e-4
t3209,Female,Non-Smoker,RR50,23,3,1.1e-4
t3209,Female,Non-Smoker,RR50,23,4,1.1e-4
t3209,Female,Non-Smoker,RR50,23,5,1.1e-4
t3209,Female,Non-Smoker,RR50,23,6,1.2e-4
t3209,Female,Non-Smoker,RR50,23,7,1.4e-4
t3209,Female,Non-Smoker,RR50,23,8,1.6e-4
t3209,Female,Non-Smoker,RR50,23,9,1.8e-4
t3209,Female,Non-Smoker,RR50,23,10,1.9e-4
t3209,Female,Non-Smoker,RR50,23,11,2e-4
t3209,Female,Non-Smoker,RR50,23,12,2.2e-4
t3209,Female,Non-Smoker,RR50,23,13,2.4e-4
t3209,Female,Non-Smoker,RR50,23,14,2.9e-4
t3209,Female,Non-Smoker,RR50,23,15,3.4e-4
t3209,Female,Non-Smoker,RR50,23,16,3.8e-4
t3209,Female,Non-Smoker,RR50,23,17,4.2e-4
t3209,Female,Non-Smoker,RR50,23,18,4.6e-4
t3209,Female,Non-Smoker,RR50,23,19,5.1e-4
t3209,Female,Non-Smoker,RR50,23,20,5.5e-4
t3209,Female,Non-Smoker,RR50,23,21,5.7e-4
t3209,Female,Non-Smoker,RR50,23,22,5.7e-4
t3209,Female,Non-Smoker,RR50,23,23,5.9e-4
t3209,Female,Non-Smoker,RR50,23,24,6.1e-4
t3209,Female,Non-Smoker,RR50,23,25,6.2e-4
t3209,Female,Non-Smoker,RR50,24,1,8e-5
t3209,Female,Non-Smoker,RR50,24,2,1e-4
t3209,Female,Non-Smoker,RR50,24,3,1e-4
t3209,Female,Non-Smoker,RR50,24,4,1e-4
t3209,Female,Non-Smoker,RR50,24,5,1.1e-4
t3209,Female,Non-Smoker,RR50,24,6,1.3e-4
t3209,Female,Non-Smoker,RR50,24,7,1.4e-4
t3209,Female,Non-Smoker,RR50,24,8,1.6e-4
t3209,Female,Non-Smoker,RR50,24,9,1.8e-4
t3209,Female,Non-Smoker,RR50,24,10,2e-4
t3209,Female,Non-Smoker,RR50,24,11,2.1e-4
t3209,Female,Non-Smoker,RR50,24,12,2.3e-4
t3209,Female,Non-Smoker,RR50,24,13,2.7e-4
t3209,Female,Non-Smoker,RR50,24,14,3.2e-4
t3209,Female,Non-Smoker,RR50,24,15,3.6e-4
t3209,Female,Non-Smoker,RR50,24,16,3.9e-4
t3209,Female,Non-Smoker,RR50,24,17,4.2e-4
t3209,Female,Non-Smoker,RR50,24,18,4.6e-4
t3209,Female,Non-Smoker,RR50,24,19,5.1e-4
t3209,Female,Non-Smoker,RR50,24,20,5.5e-4
t3209,Female,Non-Smoker,RR50,24,21,5.7e-4
t3209,Female,Non-Smoker,RR50,24,22,5.9e-4
t3209,Female,Non-Smoker,RR50,24,23,6.1e-4
t3209,Female,Non-Smoker,RR50,24,24,6.2e-4
t3209,Female,Non-Smoker,RR50,24,25,6.5e-4
t3209,Female,Non-Smoker,RR50,25,1,7e-5
t3209,Female,Non-Smoker,RR50,25,2,9e-5
t3209,Female,Non-Smoker,RR50,25,3,9e-5
t3209,Female,Non-Smoker,RR50,25,4,1e-4
t3209,Female,Non-Smoker,RR50,25,5,1.1e-4
t3209,Female,Non-Smoker,RR50,25,6,1.3e-4
t3209,Female,Non-Smoker,RR50,25,7,1.5e-4
t3209,Female,Non-Smoker,RR50,25,8,1.7e-4
t3209,Female,Non-Smoker,RR50,25,9,1.9e-4
t3209,Female,Non-Smoker,RR50,25,10,2.1e-4
t3209,Female,Non-Smoker,RR50,25,11,2.3e-4
t3209,Female,Non-Smoker,RR50,25,12,2.6e-4
t3209,Female,Non-Smoker,RR50,25,13,3e-4
t3209,Female,Non-Smoker,RR50,25,14,3.5e-4
t3209,Female,Non-Smoker,RR50,25,15,3.8e-4
t3209,Female,Non-Smoker,RR50,25,16,4e-4
t3209,Female,Non-Smoker,RR50,25,17,4.3e-4
t3209,Female,Non-Smoker,RR50,25,18,4.7e-4
t3209,Female,Non-Smoker,RR50,25,19,5.2e-4
t3209,Female,Non-Smoker,RR50,25,20,5.6e-4
t3209,Female,Non-Smoker,RR50,25,21,5.9e-4
t3209,Female,Non-Smoker,RR50,25,22,6.1e-4
t3209,Female,Non-Smoker,RR50,25,23,6.2e-4
t3209,Female,Non-Smoker,RR50,25,24,6.5e-4
t3209,Female,Non-Smoker,RR50,25,25,6.8e-4
t3209,Female,Non-Smoker,RR50,26,1,6e-5
t3209,Female,Non-Smoker,RR50,26,2,8e-5
t3209,Female,Non-Smoker,RR50,26,3,9e-5
t3209,Female,Non-Smoker,RR50,26,4,1e-4
t3209,Female,Non-Smoker,RR50,26,5,1.1e-4
t3209,Female,Non-Smoker,RR50,26,6,1.3e-4
t3209,Female,Non-Smoker,RR50,26,7,1.5e-4
t3209,Female,Non-Smoker,RR50,26,8,1.7e-4
t3209,Female,Non-Smoker,RR50,26,9,2e-4
t3209,Female,Non-Smoker,RR50,26,10,2.2e-4
t3209,Female,Non-Smoker,RR50,26,11,2.5e-4
t3209,Female,Non-Smoker,RR50,26,12,2.8e-4
t3209,Female,Non-Smoker,RR50,26,13,3.3e-4
t3209,Female,Non-Smoker,RR50,26,14,3.7e-4
t3209,Female,Non-Smoker,RR50,26,15,3.9e-4
