table,gender,tobacco,relative_risk,attained_age,q_ult
t3209,Female,Non-Smoker,RR50,18,1.8e-4
t3209,Female,Non-Smoker,RR50,19,1.8e-4
t3209,Female,Non-Smoker,RR50,20,1.7e-4
t3209,Female,Non-Smoker,RR50,21,1.7e-4
t3209,Female,Non-Smoker,RR50,22,1.7e-4
t3209,Female,Non-Smoker,RR50,23,1.7e-4
t3209,Female,Non-Smoker,RR50,24,1.7e-4
t3209,Female,Non-Smoker,RR50,25,1.7e-4
t3209,Female,Non-Smoker,RR50,26,1.7e-4
t3209,Female,Non-Smoker,RR50,27,1.8e-4
t3209,Female,Non-Smoker,RR50,28,2e-4
t3209,Female,Non-Smoker,RR50,29,2.1e-4
t3209,Female,Non-Smoker,RR50,30,2.2e-4
t3209,Female,Non-Smoker,RR50,31,2.3e-4
t3209,Female,Non-Smoker,RR50,32,2.6e-4
t3209,Female,Non-Smoker,RR50,33,3e-4
t3209,Female,Non-Smoker,RR50,34,3.5e-4
t3209,Female,Non-Smoker,RR50,35,4e-4
t3209,Female,Non-Smoker,RR50,36,4.6e-4
t3209,Female,Non-Smoker,RR50,37,5e-4
t3209,Female,Non-Smoker,RR50,38,5.4e-4
t3209,Female,Non-Smoker,RR50,39,5.6e-4
t3209,Female,Non-Smoker,RR50,40,5.6e-4
t3209,Female,Non-Smoker,RR50,41,5.7e-4
t3209,Female,Non-Smoker,RR50,42,5.7e-4
t3209,Female,Non-Smoker,RR50,43,5.7e-4
t3209,Female,Non-Smoker,RR50,44,5.7e-4
t3209,Female,Non-Smoker,RR50,45,5.9e-4
t3209,Female,Non-Smoker,RR50,46,6.1e-4
t3209,Female,Non-Smoker,RR50,47,6.2e-4
t3209,Female,Non-Smoker,RR50,48,6.5e-4
t3209,Female,Non-Smoker,RR50,49,6.8e-4
t3209,Female,Non-Smoker,RR50,50,7.2e-4
t3209,Female,Non-Smoker,RR50,51,7.7e-4
t3209,Female,Non-Smoker,RR50,52,8.4e-4
t3209,Female,Non-Smoker,RR50,53,0.00093000000000000005
t3209,Female,Non-Smoker,RR50,54,0.00102
t3209,Female,Non-Smoker,RR50,55,0.00111
