table,gender,tobacco,relative_risk,issue_age,duration,q_sel
t3219,Female,Non-Smoker,RR50,18,1,1.8e-4
t3219,Female,Non-Smoker,RR50,18,2,1.8e-4
t3219,Female,Non-Smoker,RR50,18,3,1.8e-4
t3219,Female,Non-Smoker,RR50,18,4,1.8e-4
t3219,Female,Non-Smoker,RR50,18,5,1.8e-4
t3219,Female,Non-Smoker,RR50,18,6,1.8e-4
t3219,Female,Non-Smoker,RR50,18,7,1.8e-4
t3219,Female,Non-Smoker,RR50,18,8,1.8e-4
t3219,Female,Non-Smoker,RR50,18,9,1.8e-4
t3219,Female,Non-Smoker,RR50,18,10,1.9e-4
t3219,Female,Non-Smoker,RR50,18,11,2e-4
t3219,Female,Non-Smoker,RR50,18,12,2.1e-4
t3219,Female,Non-Smoker,RR50,18,13,2.2e-4
t3219,Female,Non-Smoker,RR50,18,14,2.4e-4
t3219,Female,Non-Smoker,RR50,18,15,2.6e-4
t3219,Female,Non-Smoker,RR50,18,16,3e-4
t3219,Female,Non-Smoker,RR50,18,17,3.4e-4
t3219,Female,Non-Smoker,RR50,18,18,3.8e-4
t3219,Female,Non-Smoker,RR50,18,19,4.4e-4
t3219,Female,Non-Smoker,RR50,18,20,4.9e-4
t3219,Female,Non-Smoker,RR50,18,21,5.3e-4
t3219,Female,Non-Smoker,RR50,18,22,5.5e-4
t3219,Female,Non-Smoker,RR50,18,23,5.6e-4
t3219,Female,Non-Smoker,RR50,18,24,5.7e-4
t3219,Female,Non-Smoker,RR50,18,25,5.7e-4
t3219,Female,Non-Smoker,RR50,19,1,1.8e-4
t3219,Female,Non-Smoker,RR50,19,2,1.8e-4
t3219,Female,Non-Smoker,RR50,19,3,1.7e-4
t3219,Female,Non-Smoker,RR50,19,4,1.7e-4
t3219,Female,Non-Smoker,RR50,19,5,1.7e-4
t3219,Female,Non-Smoker,RR50,19,6,1.7e-4
t3219,Female,Non-Smoker,RR50,19,7,1.7e-4
t3219,Female,Non-Smoker,RR50,19,8,1.6e-4
t3219,Female,Non-Smoker,RR50,19,9,1.7e-4
t3219,Female,Non-Smoker,RR50,19,10,1.8e-4
t3219,Female,Non-Smoker,RR50,19,11,2e-4
t3219,Female,Non-Smoker,RR50,19,12,2.1e-4
t3219,Female,Non-Smoker,RR50,19,13,2.2e-4
t3219,Female,Non-Smoker,RR50,19,14,2.3e-4
t3219,Female,Non-Smoker,RR50,19,15,2.6e-4
t3219,Female,Non-Smoker,RR50,19,16,3.1e-4
t3219,Female,Non-Smoker,RR50,19,17,3.6e-4
t3219,Female,Non-Smoker,RR50,19,18,4.2e-4
t3219,Female,Non-Smoker,RR50,19,19,4.8e-4
t3219,Female,Non-Smoker,RR50,19,20,5.2e-4
t3219,Female,Non-Smoker,RR50,19,21,5.5e-4
t3219,Female,Non-Smoker,RR50,19,22,5.6e-4
t3219,Female,Non-Smoker,RR50,19,23,5.7e-4
t3219,Female,Non-Smoker,RR50,19,24,5.7e-4
t3219,Female,Non-Smoker,RR50,19,25,5.7e-4
t3219,Female,Non-Smoker,RR50,20,1,1.5e-4
t3219,Female,Non-Smoker,RR50,20,2,1.5e-4
t3219,Female,Non-Smoker,RR50,20,3,1.5e-4
t3219,Female,Non-Smoker,RR50,20,4,1.6e-4
t3219,Female,Non-Smoker,RR50,20,5,1.6e-4
t3219,Female,Non-Smoker,RR50,20,6,1.5e-4
t3219,Female,Non-Smoker,RR50,20,7,1.5e-4
t3219,Female,Non-Smoker,RR50,20,8,1.5e-4
t3219,Female,Non-Smoker,RR50,20,9,1.6e-4
t3219,Female,Non-Smoker,RR50,20,10,1.8e-4
