table,gender,tobacco,relative_risk,attained_age,q_ult
t3219,Female,Non-Smoker,RR50,18,1.8e-4
t3219,Female,Non-Smoker,RR50,19,1.8e-4
t3219,Female,Non-Smoker,RR50,20,1.8e-4
t3219,Female,Non-Smoker,RR50,21,1.8e-4
t3219,Female,Non-Smoker,RR50,22,1.8e-4
t3219,Female,Non-Smoker,RR50,23,1.8e-4
t3219,Female,Non-Smoker,RR50,24,1.8e-4
t3219,Female,Non-Smoker,RR50,25,1.8e-4
t3219,Female,Non-Smoker,RR50,26,1.8e-4
t3219,Female,Non-Smoker,RR50,27,1.9e-4
t3219,Female,Non-Smoker,RR50,28,2e-4
t3219,Female,Non-Smoker,RR50,29,2.1e-4
t3219,Female,Non-Smoker,RR50,30,2.2e-4
t3219,Female,Non-Smoker,RR50,31,2.4e-4
t3219,Female,Non-Smoker,RR50,32,2.6e-4
t3219,Female,Non-Smoker,RR50,33,3e-4
t3219,Female,Non-Smoker,RR50,34,3.4e-4
t3219,Female,Non-Smoker,RR50,35,3.8e-4
t3219,Female,Non-Smoker,RR50,36,4.4e-4
t3219,Female,Non-Smoker,RR50,37,4.9e-4
t3219,Female,Non-Smoker,RR50,38,5.3e-4
t3219,Female,Non-Smoker,RR50,39,5.5e-4
t3219,Female,Non-Smoker,RR50,40,5.6e-4
t3219,Female,Non-Smoker,RR50,41,5.7e-4
t3219,Female,Non-Smoker,RR50,42,5.7e-4
t3219,Female,Non-Smoker,RR50,43,5.7e-4
t3219,Female,Non-Smoker,RR50,44,5.7e-4
t3219,Female,Non-Smoker,RR50,45,5.8e-4
t3219,Female,Non-Smoker,RR50,46,6e-4
t3219,Female,Non-Smoker,RR50,47,6.1e-4
t3219,Female,Non-Smoker,RR50,48,6.3e-4
t3219,Female,Non-Smoker,RR50,49,6.6e-4
t3219,Female,Non-Smoker,RR50,50,6.9e-4
t3219,Female,Non-Smoker,RR50,51,7.4e-4
t3219,Female,Non-Smoker,RR50,52,8e-4
t3219,Female,Non-Smoker,RR50,53,8.8e-4
t3219,Female,Non-Smoker,RR50,54,9.7e-4
t3219,Female,Non-Smoker,RR50,55,0.00106
t3219,Female,Non-Smoker,RR50,56,0.00115
t3219,Female,Non-Smoker,RR50,57,0.00124
t3219,Female,Non-Smoker,RR50,58,0.00134
t3219,Female,Non-Smoker,RR50,59,0.00144
t3219,Female,Non-Smoker,RR50,60,0.00157
t3219,Female,Non-Smoker,RR50,61,0.00173
t3219,Female,Non-Smoker,RR50,62,0.00192
t3219,Female,Non-Smoker,RR50,63,0.00215
t3219,Female,Non-Smoker,RR50,64,0.00241
t3219,Female,Non-Smoker,RR50,65,0.00271
t3219,Female,Non-Smoker,RR50,66,0.00304
t3219,Female,Non-Smoker,RR50,67,0.0034
t3219,Female,Non-Smoker,RR50,68,0.0038
t3219,Female,Non-Smoker,RR50,69,0.00427
t3219,Female,Non-Smoker,RR50,70,0.00482
t3219,Female,Non-Smoker,RR50,71,0.00549
t3219,Female,Non-Smoker,RR50,72,0.00628
t3219,Female,Non-Smoker,RR50,73,0.00723
t3219,Female,Non-Smoker,RR50,74,0.00834
t3219,Female,Non-Smoker,RR50,75,0.00966
t3219,Female,Non-Smoker,RR50,76,0.01119
t3219,Female,Non-Smoker,RR50,77,0.013
t3219,Female,Non-Smoker,RR50,78,0.01516
t3219,Female,Non-Smoker,RR50,79,0.01778
t3219,Female,Non-Smoker,RR50,80,0.02097
t3219,Female,Non-Smoker,RR50,81,0.02466
t3219,Female,Non-Smoker,RR50,82,0.02868
t3219,Female,Non-Smoker,RR50,83,0.03285
t3219,Female,Non-Smoker,RR50,84,0.03788
t3219,Female,Non-Smoker,RR50,85,0.0458
t3219,Female,Non-Smoker,RR50,86,0.0528
t3219,Female,Non-Smoker,RR50,87,0.06087
t3219,Female,Non-Smoker,RR50,88,0.07035
t3219,Female,Non-Smoker,RR50,89,0.08106
t3219,Female,Non-Smoker,RR50,90,0.09293
t3219,Female,Non-Smoker,RR50,91,0.10609
t3219,Female,Non-Smoker,RR50,92,0.12053
t3219,Female,Non-Smoker,RR50,93,0.13645
