issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3269,Male,Non-Smoker,NA,NA
0,1,2,t3269,Male,Non-Smoker,NA,NA
0,2,3,t3269,Male,Non-Smoker,NA,NA
0,3,4,t3269,Male,Non-Smoker,NA,NA
0,4,5,t3269,Male,Non-Smoker,NA,NA
0,5,6,t3269,Male,Non-Smoker,NA,NA
0,6,7,t3269,Male,Non-Smoker,NA,NA
0,7,8,t3269,Male,Non-Smoker,NA,NA
0,8,9,t3269,Male,Non-Smoker,NA,NA
0,9,10,t3269,Male,Non-Smoker,NA,NA
0,10,11,t3269,Male,Non-Smoker,NA,NA
0,11,12,t3269,Male,Non-Smoker,NA,NA
0,12,13,t3269,Male,Non-Smoker,NA,NA
0,13,14,t3269,Male,Non-Smoker,NA,NA
0,14,15,t3269,Male,Non-Smoker,NA,NA
0,15,16,t3269,Male,Non-Smoker,NA,NA
0,16,17,t3269,Male,Non-Smoker,NA,NA
0,17,18,t3269,Male,Non-Smoker,NA,NA
0,18,19,t3269,Male,Non-Smoker,NA,6.6e-4
0,19,20,t3269,Male,Non-Smoker,NA,6.9e-4
0,20,21,t3269,Male,Non-Smoker,NA,7.1e-4
0,21,22,t3269,Male,Non-Smoker,NA,7.1e-4
0,22,23,t3269,Male,Non-Smoker,NA,6.9e-4
0,23,24,t3269,Male,Non-Smoker,NA,6.9e-4
0,24,25,t3269,Male,Non-Smoker,NA,6.8e-4
0,25,26,t3269,Male,Non-Smoker,NA,6.6e-4
0,26,27,t3269,Male,Non-Smoker,NA,5.7e-4
0,27,28,t3269,Male,Non-Smoker,NA,5.2e-4
0,28,29,t3269,Male,Non-Smoker,NA,5e-4
0,29,30,t3269,Male,Non-Smoker,NA,4.7e-4
0,30,31,t3269,Male,Non-Smoker,NA,4.6e-4
0,31,32,t3269,Male,Non-Smoker,NA,4.9e-4
0,32,33,t3269,Male,Non-Smoker,NA,5.2e-4
0,33,34,t3269,Male,Non-Smoker,NA,5.8e-4
0,34,35,t3269,Male,Non-Smoker,NA,6.6e-4
0,35,36,t3269,Male,Non-Smoker,NA,7.7e-4
0,36,37,t3269,Male,Non-Smoker,NA,8.9e-4
0,37,38,t3269,Male,Non-Smoker,NA,0.00101
0,38,39,t3269,Male,Non-Smoker,NA,0.00111
0,39,40,t3269,Male,Non-Smoker,NA,0.00117
0,40,41,t3269,Male,Non-Smoker,NA,0.00124
0,41,42,t3269,Male,Non-Smoker,NA,0.00131
0,42,43,t3269,Male,Non-Smoker,NA,0.0014
0,43,44,t3269,Male,Non-Smoker,NA,0.00148
0,44,45,t3269,Male,Non-Smoker,NA,0.00154
0,45,46,t3269,Male,Non-Smoker,NA,0.00159
0,46,47,t3269,Male,Non-Smoker,NA,0.00165
0,47,48,t3269,Male,Non-Smoker,NA,0.00171
0,48,49,t3269,Male,Non-Smoker,NA,0.00179
0,49,50,t3269,Male,Non-Smoker,NA,0.00188
0,50,51,t3269,Male,Non-Smoker,NA,0.00199
0,51,52,t3269,Male,Non-Smoker,NA,0.00216
0,52,53,t3269,Male,Non-Smoker,NA,0.00236
0,53,54,t3269,Male,Non-Smoker,NA,0.00258
0,54,55,t3269,Male,Non-Smoker,NA,0.0028
0,55,56,t3269,Male,Non-Smoker,NA,0.00302
0,56,57,t3269,Male,Non-Smoker,NA,0.00322
0,57,58,t3269,Male,Non-Smoker,NA,0.00343
0,58,59,t3269,Male,Non-Smoker,NA,0.00366
0,59,60,t3269,Male,Non-Smoker,NA,0.00393
0,60,61,t3269,Male,Non-Smoker,NA,0.00428
0,61,62,t3269,Male,Non-Smoker,NA,0.00474
0,62,63,t3269,Male,Non-Smoker,NA,0.00527
0,63,64,t3269,Male,Non-Smoker,NA,0.00588
0,64,65,t3269,Male,Non-Smoker,NA,0.00654
0,65,66,t3269,Male,Non-Smoker,NA,0.00725
0,66,67,t3269,Male,Non-Smoker,NA,0.00802
0,67,68,t3269,Male,Non-Smoker,NA,0.00886
0,68,69,t3269,Male,Non-Smoker,NA,0.00979
0,69,70,t3269,Male,Non-Smoker,NA,0.01088
0,70,71,t3269,Male,Non-Smoker,NA,0.01216
0,71,72,t3269,Male,Non-Smoker,NA,0.01369
0,72,73,t3269,Male,Non-Smoker,NA,0.01548
0,73,74,t3269,Male,Non-Smoker,NA,0.01755
0,74,75,t3269,Male,Non-Smoker,NA,0.01989
0,75,76,t3269,Male,Non-Smoker,NA,0.02248
0,76,77,t3269,Male,Non-Smoker,NA,0.02532
0,77,78,t3269,Male,Non-Smoker,NA,0.02846
0,78,79,t3269,Male,Non-Smoker,NA,0.03199
0,79,80,t3269,Male,Non-Smoker,NA,0.03604
0,80,81,t3269,Male,Non-Smoker,NA,0.04076
0,81,82,t3269,Male,Non-Smoker,NA,0.04615
0,82,83,t3269,Male,Non-Smoker,NA,0.05227
0,83,84,t3269,Male,Non-Smoker,NA,0.05931
0,84,85,t3269,Male,Non-Smoker,NA,0.06748
0,85,86,t3269,Male,Non-Smoker,NA,0.07696
0,86,87,t3269,Male,Non-Smoker,NA,0.08787
0,87,88,t3269,Male,Non-Smoker,NA,0.10029
0,88,89,t3269,Male,Non-Smoker,NA,0.11402
0,89,90,t3269,Male,Non-Smoker,NA,0.12876
0,90,91,t3269,Male,Non-Smoker,NA,0.14417
0,91,92,t3269,Male,Non-Smoker,NA,0.15979
0,92,93,t3269,Male,Non-Smoker,NA,0.1753
0,93,94,t3269,Male,Non-Smoker,NA,0.19025
0,94,95,t3269,Male,Non-Smoker,NA,0.20394
0,95,96,t3269,Male,Non-Smoker,NA,0.21845
0,96,97,t3269,Male,Non-Smoker,NA,0.23554
0,97,98,t3269,Male,Non-Smoker,NA,0.25392
0,98,99,t3269,Male,Non-Smoker,NA,0.27364
0,99,100,t3269,Male,Non-Smoker,NA,0.29431
0,100,101,t3269,Male,Non-Smoker,NA,0.31552
0,101,102,t3269,Male,Non-Smoker,NA,0.33699
0,102,103,t3269,Male,Non-Smoker,NA,0.35854
0,103,104,t3269,Male,Non-Smoker,NA,0.37981
0,104,105,t3269,Male,Non-Smoker,NA,0.40044
0,105,106,t3269,Male,Non-Smoker,NA,0.42009
0,106,107,t3269,Male,Non-Smoker,NA,0.4384
0,107,108,t3269,Male,Non-Smoker,NA,0.45501
0,108,109,t3269,Male,Non-Smoker,NA,0.46956
0,109,110,t3269,Male,Non-Smoker,NA,0.4817
0,110,111,t3269,Male,Non-Smoker,NA,0.49107
0,111,112,t3269,Male,Non-Smoker,NA,0.49731
0,112,113,t3269,Male,Non-Smoker,NA,0.5
0,113,114,t3269,Male,Non-Smoker,NA,0.5
0,114,115,t3269,Male,Non-Smoker,NA,0.5
0,115,116,t3269,Male,Non-Smoker,NA,0.5
0,116,117,t3269,Male,Non-Smoker,NA,0.5
0,117,118,t3269,Male,Non-Smoker,NA,0.5
0,118,119,t3269,Male,Non-Smoker,NA,0.5
0,119,120,t3269,Male,Non-Smoker,NA,0.5
0,120,121,t3269,Male,Non-Smoker,NA,0.5
1,1,1,t3269,Male,Non-Smoker,NA,NA
1,2,2,t3269,Male,Non-Smoker,NA,NA
1,3,3,t3269,Male,Non-Smoker,NA,NA
1,4,4,t3269,Male,Non-Smoker,NA,NA
1,5,5,t3269,Male,Non-Smoker,NA,NA
1,6,6,t3269,Male,Non-Smoker,NA,NA
1,7,7,t3269,Male,Non-Smoker,NA,NA
1,8,8,t3269,Male,Non-Smoker,NA,NA
1,9,9,t3269,Male,Non-Smoker,NA,NA
1,10,10,t3269,Male,Non-Smoker,NA,NA
1,11,11,t3269,Male,Non-Smoker,NA,NA
1,12,12,t3269,Male,Non-Smoker,NA,NA
1,13,13,t3269,Male,Non-Smoker,NA,NA
1,14,14,t3269,Male,Non-Smoker,NA,NA
1,15,15,t3269,Male,Non-Smoker,NA,NA
1,16,16,t3269,Male,Non-Smoker,NA,NA
1,17,17,t3269,Male,Non-Smoker,NA,NA
1,18,18,t3269,Male,Non-Smoker,NA,6.6e-4
1,19,19,t3269,Male,Non-Smoker,NA,6.9e-4
1,20,20,t3269,Male,Non-Smoker,NA,7.1e-4
1,21,21,t3269,Male,Non-Smoker,NA,7.1e-4
1,22,22,t3269,Male,Non-Smoker,NA,6.9e-4
1,23,23,t3269,Male,Non-Smoker,NA,6.9e-4
1,24,24,t3269,Male,Non-Smoker,NA,6.8e-4
1,25,25,t3269,Male,Non-Smoker,NA,6.6e-4
1,26,26,t3269,Male,Non-Smoker,NA,5.7e-4
1,27,27,t3269,Male,Non-Smoker,NA,5.2e-4
1,28,28,t3269,Male,Non-Smoker,NA,5e-4
1,29,29,t3269,Male,Non-Smoker,NA,4.7e-4
1,30,30,t3269,Male,Non-Smoker,NA,4.6e-4
1,31,31,t3269,Male,Non-Smoker,NA,4.9e-4
1,32,32,t3269,Male,Non-Smoker,NA,5.2e-4
1,33,33,t3269,Male,Non-Smoker,NA,5.8e-4
1,34,34,t3269,Male,Non-Smoker,NA,6.6e-4
1,35,35,t3269,Male,Non-Smoker,NA,7.7e-4
1,36,36,t3269,Male,Non-Smoker,NA,8.9e-4
1,37,37,t3269,Male,Non-Smoker,NA,0.00101
1,38,38,t3269,Male,Non-Smoker,NA,0.00111
1,39,39,t3269,Male,Non-Smoker,NA,0.00117
1,40,40,t3269,Male,Non-Smoker,NA,0.00124
1,41,41,t3269,Male,Non-Smoker,NA,0.00131
1,42,42,t3269,Male,Non-Smoker,NA,0.0014
1,43,43,t3269,Male,Non-Smoker,NA,0.00148
1,44,44,t3269,Male,Non-Smoker,NA,0.00154
1,45,45,t3269,Male,Non-Smoker,NA,0.00159
1,46,46,t3269,Male,Non-Smoker,NA,0.00165
1,47,47,t3269,Male,Non-Smoker,NA,0.00171
1,48,48,t3269,Male,Non-Smoker,NA,0.00179
1,49,49,t3269,Male,Non-Smoker,NA,0.00188
1,50,50,t3269,Male,Non-Smoker,NA,0.00199
1,51,51,t3269,Male,Non-Smoker,NA,0.00216
1,52,52,t3269,Male,Non-Smoker,NA,0.00236
1,53,53,t3269,Male,Non-Smoker,NA,0.00258
1,54,54,t3269,Male,Non-Smoker,NA,0.0028
1,55,55,t3269,Male,Non-Smoker,NA,0.00302
1,56,56,t3269,Male,Non-Smoker,NA,0.00322
1,57,57,t3269,Male,Non-Smoker,NA,0.00343
1,58,58,t3269,Male,Non-Smoker,NA,0.00366
1,59,59,t3269,Male,Non-Smoker,NA,0.00393
1,60,60,t3269,Male,Non-Smoker,NA,0.00428
1,61,61,t3269,Male,Non-Smoker,NA,0.00474
1,62,62,t3269,Male,Non-Smoker,NA,0.00527
1,63,63,t3269,Male,Non-Smoker,NA,0.00588
1,64,64,t3269,Male,Non-Smoker,NA,0.00654
1,65,65,t3269,Male,Non-Smoker,NA,0.00725
1,66,66,t3269,Male,Non-Smoker,NA,0.00802
1,67,67,t3269,Male,Non-Smoker,NA,0.00886
1,68,68,t3269,Male,Non-Smoker,NA,0.00979
1,69,69,t3269,Male,Non-Smoker,NA,0.01088
