table,gender,tobacco,issue_age,duration,q_sel
t3269,Male,Non-Smoker,18,1,6.6e-4
t3269,Male,Non-Smoker,18,2,6.9e-4
t3269,Male,Non-Smoker,18,3,7.1e-4
t3269,Male,Non-Smoker,18,4,7.1e-4
t3269,Male,Non-Smoker,18,5,6.9e-4
t3269,Male,Non-Smoker,18,6,6.9e-4
t3269,Male,Non-Smoker,18,7,6.8e-4
t3269,Male,Non-Smoker,18,8,6.6e-4
t3269,Male,Non-Smoker,18,9,5.7e-4
t3269,Male,Non-Smoker,18,10,5.2e-4
t3269,Male,Non-Smoker,18,11,5e-4
t3269,Male,Non-Smoker,18,12,4.7e-4
t3269,Male,Non-Smoker,18,13,4.6e-4
t3269,Male,Non-Smoker,18,14,4.9e-4
t3269,Male,Non-Smoker,18,15,5.2e-4
t3269,Male,Non-Smoker,18,16,5.8e-4
t3269,Male,Non-Smoker,18,17,6.6e-4
t3269,Male,Non-Smoker,18,18,7.7e-4
t3269,Male,Non-Smoker,18,19,8.9e-4
t3269,Male,Non-Smoker,18,20,0.00101
t3269,Male,Non-Smoker,18,21,0.00111
t3269,Male,Non-Smoker,18,22,0.00117
t3269,Male,Non-Smoker,18,23,0.00124
t3269,Male,Non-Smoker,18,24,0.00131
t3269,Male,Non-Smoker,18,25,0.0014
t3269,Male,Non-Smoker,19,1,6e-4
t3269,Male,Non-Smoker,19,2,6.2e-4
t3269,Male,Non-Smoker,19,3,6.6e-4
t3269,Male,Non-Smoker,19,4,6.3e-4
t3269,Male,Non-Smoker,19,5,6.2e-4
t3269,Male,Non-Smoker,19,6,6.1e-4
t3269,Male,Non-Smoker,19,7,6.1e-4
t3269,Male,Non-Smoker,19,8,5.6e-4
t3269,Male,Non-Smoker,19,9,4.9e-4
t3269,Male,Non-Smoker,19,10,4.6e-4
t3269,Male,Non-Smoker,19,11,4.6e-4
t3269,Male,Non-Smoker,19,12,4.5e-4
t3269,Male,Non-Smoker,19,13,4.5e-4
t3269,Male,Non-Smoker,19,14,5e-4
t3269,Male,Non-Smoker,19,15,5.5e-4
t3269,Male,Non-Smoker,19,16,5.9e-4
t3269,Male,Non-Smoker,19,17,6.8e-4
t3269,Male,Non-Smoker,19,18,8e-4
t3269,Male,Non-Smoker,19,19,9.2e-4
t3269,Male,Non-Smoker,19,20,0.00104
t3269,Male,Non-Smoker,19,21,0.00114
t3269,Male,Non-Smoker,19,22,0.0012
t3269,Male,Non-Smoker,19,23,0.00127
t3269,Male,Non-Smoker,19,24,0.00135
t3269,Male,Non-Smoker,19,25,0.00144
t3269,Male,Non-Smoker,20,1,5.1e-4
t3269,Male,Non-Smoker,20,2,5.7e-4
t3269,Male,Non-Smoker,20,3,5.7e-4
t3269,Male,Non-Smoker,20,4,5.5e-4
t3269,Male,Non-Smoker,20,5,5.3e-4
t3269,Male,Non-Smoker,20,6,5.2e-4
t3269,Male,Non-Smoker,20,7,5.1e-4
t3269,Male,Non-Smoker,20,8,4.7e-4
t3269,Male,Non-Smoker,20,9,4.3e-4
t3269,Male,Non-Smoker,20,10,4.4e-4
t3269,Male,Non-Smoker,20,11,4.4e-4
t3269,Male,Non-Smoker,20,12,4.5e-4
t3269,Male,Non-Smoker,20,13,4.6e-4
t3269,Male,Non-Smoker,20,14,5.1e-4
t3269,Male,Non-Smoker,20,15,5.7e-4
t3269,Male,Non-Smoker,20,16,6.2e-4
t3269,Male,Non-Smoker,20,17,7.1e-4
t3269,Male,Non-Smoker,20,18,8.2e-4
t3269,Male,Non-Smoker,20,19,9.4e-4
t3269,Male,Non-Smoker,20,20,0.00107
t3269,Male,Non-Smoker,20,21,0.00116
t3269,Male,Non-Smoker,20,22,0.00122
t3269,Male,Non-Smoker,20,23,0.00129
t3269,Male,Non-Smoker,20,24,0.00138
t3269,Male,Non-Smoker,20,25,0.00149
t3269,Male,Non-Smoker,21,1,4.5e-4
t3269,Male,Non-Smoker,21,2,5.2e-4
t3269,Male,Non-Smoker,21,3,4.7e-4
t3269,Male,Non-Smoker,21,4,4.4e-4
t3269,Male,Non-Smoker,21,5,4.3e-4
t3269,Male,Non-Smoker,21,6,4.3e-4
t3269,Male,Non-Smoker,21,7,4.2e-4
t3269,Male,Non-Smoker,21,8,4e-4
t3269,Male,Non-Smoker,21,9,3.8e-4
t3269,Male,Non-Smoker,21,10,4.1e-4
t3269,Male,Non-Smoker,21,11,4.3e-4
t3269,Male,Non-Smoker,21,12,4.5e-4
t3269,Male,Non-Smoker,21,13,4.8e-4
t3269,Male,Non-Smoker,21,14,5.3e-4
t3269,Male,Non-Smoker,21,15,5.9e-4
t3269,Male,Non-Smoker,21,16,6.4e-4
t3269,Male,Non-Smoker,21,17,7.3e-4
t3269,Male,Non-Smoker,21,18,8.4e-4
t3269,Male,Non-Smoker,21,19,9.7e-4
t3269,Male,Non-Smoker,21,20,0.00109
t3269,Male,Non-Smoker,21,21,0.00117
t3269,Male,Non-Smoker,21,22,0.00123
t3269,Male,Non-Smoker,21,23,0.0013
t3269,Male,Non-Smoker,21,24,0.00141
t3269,Male,Non-Smoker,21,25,0.00153
t3269,Male,Non-Smoker,22,1,4.1e-4
t3269,Male,Non-Smoker,22,2,4.3e-4
t3269,Male,Non-Smoker,22,3,3.9e-4
t3269,Male,Non-Smoker,22,4,3.7e-4
t3269,Male,Non-Smoker,22,5,3.6e-4
t3269,Male,Non-Smoker,22,6,3.6e-4
t3269,Male,Non-Smoker,22,7,3.6e-4
t3269,Male,Non-Smoker,22,8,3.5e-4
t3269,Male,Non-Smoker,22,9,3.5e-4
t3269,Male,Non-Smoker,22,10,4e-4
