table,gender,tobacco,attained_age,q_ult
t3269,Male,Non-Smoker,18,6.6e-4
t3269,Male,Non-Smoker,19,6.9e-4
t3269,Male,Non-Smoker,20,7.1e-4
t3269,Male,Non-Smoker,21,7.1e-4
t3269,Male,Non-Smoker,22,6.9e-4
t3269,Male,Non-Smoker,23,6.9e-4
t3269,Male,Non-Smoker,24,6.8e-4
t3269,Male,Non-Smoker,25,6.6e-4
t3269,Male,Non-Smoker,26,5.7e-4
t3269,Male,Non-Smoker,27,5.2e-4
t3269,Male,Non-Smoker,28,5e-4
t3269,Male,Non-Smoker,29,4.7e-4
t3269,Male,Non-Smoker,30,4.6e-4
t3269,Male,Non-Smoker,31,4.9e-4
t3269,Male,Non-Smoker,32,5.2e-4
t3269,Male,Non-Smoker,33,5.8e-4
t3269,Male,Non-Smoker,34,6.6e-4
t3269,Male,Non-Smoker,35,7.7e-4
t3269,Male,Non-Smoker,36,8.9e-4
t3269,Male,Non-Smoker,37,0.00101
t3269,Male,Non-Smoker,38,0.00111
t3269,Male,Non-Smoker,39,0.00117
t3269,Male,Non-Smoker,40,0.00124
t3269,Male,Non-Smoker,41,0.00131
t3269,Male,Non-Smoker,42,0.0014
t3269,Male,Non-Smoker,43,0.00148
t3269,Male,Non-Smoker,44,0.00154
t3269,Male,Non-Smoker,45,0.00159
t3269,Male,Non-Smoker,46,0.00165
t3269,Male,Non-Smoker,47,0.00171
t3269,Male,Non-Smoker,48,0.00179
t3269,Male,Non-Smoker,49,0.00188
t3269,Male,Non-Smoker,50,0.00199
t3269,Male,Non-Smoker,51,0.00216
t3269,Male,Non-Smoker,52,0.00236
t3269,Male,Non-Smoker,53,0.00258
t3269,Male,Non-Smoker,54,0.0028
t3269,Male,Non-Smoker,55,0.00302
t3269,Male,Non-Smoker,56,0.00322
t3269,Male,Non-Smoker,57,0.00343
t3269,Male,Non-Smoker,58,0.00366
t3269,Male,Non-Smoker,59,0.00393
t3269,Male,Non-Smoker,60,0.00428
t3269,Male,Non-Smoker,61,0.00474
t3269,Male,Non-Smoker,62,0.00527
t3269,Male,Non-Smoker,63,0.00588
t3269,Male,Non-Smoker,64,0.00654
t3269,Male,Non-Smoker,65,0.00725
t3269,Male,Non-Smoker,66,0.00802
t3269,Male,Non-Smoker,67,0.00886
t3269,Male,Non-Smoker,68,0.00979
t3269,Male,Non-Smoker,69,0.01088
t3269,Male,Non-Smoker,70,0.01216
t3269,Male,Non-Smoker,71,0.01369
t3269,Male,Non-Smoker,72,0.01548
t3269,Male,Non-Smoker,73,0.01755
t3269,Male,Non-Smoker,74,0.01989
t3269,Male,Non-Smoker,75,0.02248
t3269,Male,Non-Smoker,76,0.02532
t3269,Male,Non-Smoker,77,0.02846
t3269,Male,Non-Smoker,78,0.03199
t3269,Male,Non-Smoker,79,0.03604
t3269,Male,Non-Smoker,80,0.04076
t3269,Male,Non-Smoker,81,0.04615
t3269,Male,Non-Smoker,82,0.05227
t3269,Male,Non-Smoker,83,0.05931
t3269,Male,Non-Smoker,84,0.06748
t3269,Male,Non-Smoker,85,0.07696
t3269,Male,Non-Smoker,86,0.08787
t3269,Male,Non-Smoker,87,0.10029
t3269,Male,Non-Smoker,88,0.11402
t3269,Male,Non-Smoker,89,0.12876
t3269,Male,Non-Smoker,90,0.14417
t3269,Male,Non-Smoker,91,0.15979
t3269,Male,Non-Smoker,92,0.1753
t3269,Male,Non-Smoker,93,0.19025
t3269,Male,Non-Smoker,94,0.20394
t3269,Male,Non-Smoker,95,0.21845
t3269,Male,Non-Smoker,96,0.23554
t3269,Male,Non-Smoker,97,0.25392
t3269,Male,Non-Smoker,98,0.27364
t3269,Male,Non-Smoker,99,0.29431
t3269,Male,Non-Smoker,100,0.31552
t3269,Male,Non-Smoker,101,0.33699
t3269,Male,Non-Smoker,102,0.35854
t3269,Male,Non-Smoker,103,0.37981
t3269,Male,Non-Smoker,104,0.40044
t3269,Male,Non-Smoker,105,0.42009
t3269,Male,Non-Smoker,106,0.4384
t3269,Male,Non-Smoker,107,0.45501
t3269,Male,Non-Smoker,108,0.46956
t3269,Male,Non-Smoker,109,0.4817
t3269,Male,Non-Smoker,110,0.49107
t3269,Male,Non-Smoker,111,0.49731
t3269,Male,Non-Smoker,112,0.5
t3269,Male,Non-Smoker,113,0.5
t3269,Male,Non-Smoker,114,0.5
t3269,Male,Non-Smoker,115,0.5
t3269,Male,Non-Smoker,116,0.5
t3269,Male,Non-Smoker,117,0.5
t3269,Male,Non-Smoker,118,0.5
t3269,Male,Non-Smoker,119,0.5
t3269,Male,Non-Smoker,120,0.5
t3270,Female,Non-Smoker,18,2.7e-4
t3270,Female,Non-Smoker,19,2.7e-4
t3270,Female,Non-Smoker,20,2.6e-4
t3270,Female,Non-Smoker,21,2.7e-4
t3270,Female,Non-Smoker,22,2.7e-4
t3270,Female,Non-Smoker,23,2.7e-4
t3270,Female,Non-Smoker,24,2.6e-4
t3270,Female,Non-Smoker,25,2.6e-4
t3270,Female,Non-Smoker,26,2.7e-4
t3270,Female,Non-Smoker,27,2.8e-4
t3270,Female,Non-Smoker,28,3e-4
t3270,Female,Non-Smoker,29,3.2e-4
t3270,Female,Non-Smoker,30,3.4e-4
t3270,Female,Non-Smoker,31,3.6e-4
t3270,Female,Non-Smoker,32,4e-4
t3270,Female,Non-Smoker,33,4.7e-4
t3270,Female,Non-Smoker,34,5.4e-4
t3270,Female,Non-Smoker,35,6.2e-4
t3270,Female,Non-Smoker,36,7e-4
t3270,Female,Non-Smoker,37,7.7e-4
t3270,Female,Non-Smoker,38,8.3e-4
t3270,Female,Non-Smoker,39,8.6e-4
t3270,Female,Non-Smoker,40,8.7e-4
t3270,Female,Non-Smoker,41,8.7e-4
t3270,Female,Non-Smoker,42,8.8e-4
t3270,Female,Non-Smoker,43,8.8e-4
t3270,Female,Non-Smoker,44,8.8e-4
t3270,Female,Non-Smoker,45,9e-4
t3270,Female,Non-Smoker,46,9.4e-4
t3270,Female,Non-Smoker,47,9.9e-4
t3270,Female,Non-Smoker,48,0.00105
t3270,Female,Non-Smoker,49,0.00113
t3270,Female,Non-Smoker,50,0.00123
t3270,Female,Non-Smoker,51,0.00135
t3270,Female,Non-Smoker,52,0.00151
t3270,Female,Non-Smoker,53,0.0017
t3270,Female,Non-Smoker,54,0.0019
t3270,Female,Non-Smoker,55,0.0021
t3270,Female,Non-Smoker,56,0.0023
t3270,Female,Non-Smoker,57,0.00249
t3270,Female,Non-Smoker,58,0.00269
t3270,Female,Non-Smoker,59,0.00291
t3270,Female,Non-Smoker,60,0.00316
t3270,Female,Non-Smoker,61,0.00346
t3270,Female,Non-Smoker,62,0.0038
t3270,Female,Non-Smoker,63,0.00419
t3270,Female,Non-Smoker,64,0.00461
t3270,Female,Non-Smoker,65,0.00506
t3270,Female,Non-Smoker,66,0.00555
t3270,Female,Non-Smoker,67,0.00609
t3270,Female,Non-Smoker,68,0.00668
t3270,Female,Non-Smoker,69,0.00736
t3270,Female,Non-Smoker,70,0.00816
t3270,Female,Non-Smoker,71,0.00911
t3270,Female,Non-Smoker,72,0.01022
t3270,Female,Non-Smoker,73,0.01152
t3270,Female,Non-Smoker,74,0.01303
t3270,Female,Non-Smoker,75,0.01475
t3270,Female,Non-Smoker,76,0.01674
t3270,Female,Non-Smoker,77,0.01906
t3270,Female,Non-Smoker,78,0.02179
t3270,Female,Non-Smoker,79,0.02508
t3270,Female,Non-Smoker,80,0.02896
t3270,Female,Non-Smoker,81,0.03307
t3270,Female,Non-Smoker,82,0.03734
t3270,Female,Non-Smoker,83,0.04223
t3270,Female,Non-Smoker,84,0.04898
t3270,Female,Non-Smoker,85,0.05673
t3270,Female,Non-Smoker,86,0.06443
t3270,Female,Non-Smoker,87,0.07325
t3270,Female,Non-Smoker,88,0.08331
t3270,Female,Non-Smoker,89,0.09439
t3270,Female,Non-Smoker,90,0.10638
t3270,Female,Non-Smoker,91,0.11927
t3270,Female,Non-Smoker,92,0.13319
t3270,Female,Non-Smoker,93,0.14781
t3270,Female,Non-Smoker,94,0.16312
t3270,Female,Non-Smoker,95,0.18074
t3270,Female,Non-Smoker,96,0.20127
t3270,Female,Non-Smoker,97,0.22374
t3270,Female,Non-Smoker,98,0.24802
t3270,Female,Non-Smoker,99,0.27379
t3270,Female,Non-Smoker,100,0.29921
t3270,Female,Non-Smoker,101,0.32314
t3270,Female,Non-Smoker,102,0.34698
t3270,Female,Non-Smoker,103,0.37036
t3270,Female,Non-Smoker,104,0.39292
t3270,Female,Non-Smoker,105,0.4143
t3270,Female,Non-Smoker,106,0.43413
t3270,Female,Non-Smoker,107,0.45205
t3270,Female,Non-Smoker,108,0.46769
t3270,Female,Non-Smoker,109,0.48068
t3270,Female,Non-Smoker,110,0.49065
t3270,Female,Non-Smoker,111,0.49723
t3270,Female,Non-Smoker,112,0.5
t3270,Female,Non-Smoker,113,0.5
t3270,Female,Non-Smoker,114,0.5
t3270,Female,Non-Smoker,115,0.5
t3270,Female,Non-Smoker,116,0.5
t3270,Female,Non-Smoker,117,0.5
t3270,Female,Non-Smoker,118,0.5
t3270,Female,Non-Smoker,119,0.5
t3270,Female,Non-Smoker,120,0.5
t3271,Male,Smoker,18,6.7e-4
t3271,Male,Smoker,19,7e-4
t3271,Male,Smoker,20,7.2e-4
t3271,Male,Smoker,21,7.5e-4
t3271,Male,Smoker,22,7.8e-4
t3271,Male,Smoker,23,8e-4
t3271,Male,Smoker,24,8.3e-4
t3271,Male,Smoker,25,8.5e-4
t3271,Male,Smoker,26,8.4e-4
t3271,Male,Smoker,27,8.3e-4
t3271,Male,Smoker,28,8.2e-4
t3271,Male,Smoker,29,8.2e-4
t3271,Male,Smoker,30,8.4e-4
t3271,Male,Smoker,31,8.8e-4
t3271,Male,Smoker,32,9.5e-4
t3271,Male,Smoker,33,0.00102
t3271,Male,Smoker,34,0.0011
t3271,Male,Smoker,35,0.00119
t3271,Male,Smoker,36,0.0013
t3271,Male,Smoker,37,0.00142
t3271,Male,Smoker,38,0.00158
t3271,Male,Smoker,39,0.00179
t3271,Male,Smoker,40,0.00201
t3271,Male,Smoker,41,0.00224
t3271,Male,Smoker,42,0.00246
t3271,Male,Smoker,43,0.00265
t3271,Male,Smoker,44,0.00279
t3271,Male,Smoker,45,0.00294
t3271,Male,Smoker,46,0.00313
t3271,Male,Smoker,47,0.00334
t3271,Male,Smoker,48,0.00357
t3271,Male,Smoker,49,0.00383
t3271,Male,Smoker,50,0.00413
t3271,Male,Smoker,51,0.00447
t3271,Male,Smoker,52,0.00486
t3271,Male,Smoker,53,0.00528
t3271,Male,Smoker,54,0.00577
t3271,Male,Smoker,55,0.00632
t3271,Male,Smoker,56,0.00694
t3271,Male,Smoker,57,0.00765
t3271,Male,Smoker,58,0.00846
t3271,Male,Smoker,59,0.00939
t3271,Male,Smoker,60,0.01045
t3271,Male,Smoker,61,0.01166
t3271,Male,Smoker,62,0.01303
t3271,Male,Smoker,63,0.01453
t3271,Male,Smoker,64,0.01618
t3271,Male,Smoker,65,0.01798
t3271,Male,Smoker,66,0.01989
t3271,Male,Smoker,67,0.0219
t3271,Male,Smoker,68,0.02405
t3271,Male,Smoker,69,0.02641
t3271,Male,Smoker,70,0.02908
t3271,Male,Smoker,71,0.03211
t3271,Male,Smoker,72,0.03547
t3271,Male,Smoker,73,0.03908
t3271,Male,Smoker,74,0.04283
t3271,Male,Smoker,75,0.0466
t3271,Male,Smoker,76,0.05033
t3271,Male,Smoker,77,0.05404
t3271,Male,Smoker,78,0.05784
t3271,Male,Smoker,79,0.06188
t3271,Male,Smoker,80,0.06627
t3271,Male,Smoker,81,0.07094
t3271,Male,Smoker,82,0.07684
t3271,Male,Smoker,83,0.08442
t3271,Male,Smoker,84,0.09303
t3271,Male,Smoker,85,0.10279
t3271,Male,Smoker,86,0.11376
t3271,Male,Smoker,87,0.12586
t3271,Male,Smoker,88,0.13882
t3271,Male,Smoker,89,0.15225
t3271,Male,Smoker,90,0.16584
t3271,Male,Smoker,91,0.17917
t3271,Male,Smoker,92,0.19204
t3271,Male,Smoker,93,0.20412
t3271,Male,Smoker,94,0.21485
t3271,Male,Smoker,95,0.22652
t3271,Male,Smoker,96,0.24113
t3271,Male,Smoker,97,0.25732
t3271,Male,Smoker,98,0.2753
t3271,Male,Smoker,99,0.29479
t3271,Male,Smoker,100,0.31552
t3271,Male,Smoker,101,0.33699
t3271,Male,Smoker,102,0.35854
t3271,Male,Smoker,103,0.37981
t3271,Male,Smoker,104,0.40044
t3271,Male,Smoker,105,0.42009
t3271,Male,Smoker,106,0.4384
t3271,Male,Smoker,107,0.45501
t3271,Male,Smoker,108,0.46956
t3271,Male,Smoker,109,0.4817
t3271,Male,Smoker,110,0.49107
t3271,Male,Smoker,111,0.49731
t3271,Male,Smoker,112,0.5
t3271,Male,Smoker,113,0.5
t3271,Male,Smoker,114,0.5
t3271,Male,Smoker,115,0.5
t3271,Male,Smoker,116,0.5
t3271,Male,Smoker,117,0.5
t3271,Male,Smoker,118,0.5
t3271,Male,Smoker,119,0.5
t3271,Male,Smoker,120,0.5
t3272,Female,Smoker,18,2.7e-4
t3272,Female,Smoker,19,2.7e-4
t3272,Female,Smoker,20,2.6e-4
t3272,Female,Smoker,21,2.7e-4
