issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3265,Male,Non-Smoker,NA,NA
0,1,2,t3265,Male,Non-Smoker,NA,NA
0,2,3,t3265,Male,Non-Smoker,NA,NA
0,3,4,t3265,Male,Non-Smoker,NA,NA
0,4,5,t3265,Male,Non-Smoker,NA,NA
0,5,6,t3265,Male,Non-Smoker,NA,NA
0,6,7,t3265,Male,Non-Smoker,NA,NA
0,7,8,t3265,Male,Non-Smoker,NA,NA
0,8,9,t3265,Male,Non-Smoker,NA,NA
0,9,10,t3265,Male,Non-Smoker,NA,NA
0,10,11,t3265,Male,Non-Smoker,NA,NA
0,11,12,t3265,Male,Non-Smoker,NA,NA
0,12,13,t3265,Male,Non-Smoker,NA,NA
0,13,14,t3265,Male,Non-Smoker,NA,NA
0,14,15,t3265,Male,Non-Smoker,NA,NA
0,15,16,t3265,Male,Non-Smoker,NA,NA
0,16,17,t3265,Male,Non-Smoker,NA,NA
0,17,18,t3265,Male,Non-Smoker,NA,NA
0,18,19,t3265,Male,Non-Smoker,NA,6.9e-4
0,19,20,t3265,Male,Non-Smoker,NA,7.2e-4
0,20,21,t3265,Male,Non-Smoker,NA,7.4e-4
0,21,22,t3265,Male,Non-Smoker,NA,7.7e-4
0,22,23,t3265,Male,Non-Smoker,NA,7.5e-4
0,23,24,t3265,Male,Non-Smoker,NA,7.2e-4
0,24,25,t3265,Male,Non-Smoker,NA,7.1e-4
0,25,26,t3265,Male,Non-Smoker,NA,7.1e-4
0,26,27,t3265,Male,Non-Smoker,NA,6.1e-4
0,27,28,t3265,Male,Non-Smoker,NA,5.8e-4
0,28,29,t3265,Male,Non-Smoker,NA,5.2e-4
0,29,30,t3265,Male,Non-Smoker,NA,4.8e-4
0,30,31,t3265,Male,Non-Smoker,NA,4.6e-4
0,31,32,t3265,Male,Non-Smoker,NA,4.8e-4
0,32,33,t3265,Male,Non-Smoker,NA,5e-4
0,33,34,t3265,Male,Non-Smoker,NA,5.7e-4
0,34,35,t3265,Male,Non-Smoker,NA,6.5e-4
0,35,36,t3265,Male,Non-Smoker,NA,7.6e-4
0,36,37,t3265,Male,Non-Smoker,NA,8.8e-4
0,37,38,t3265,Male,Non-Smoker,NA,0.001
0,38,39,t3265,Male,Non-Smoker,NA,0.0011
0,39,40,t3265,Male,Non-Smoker,NA,0.00116
0,40,41,t3265,Male,Non-Smoker,NA,0.00121
0,41,42,t3265,Male,Non-Smoker,NA,0.00128
0,42,43,t3265,Male,Non-Smoker,NA,0.00136
0,43,44,t3265,Male,Non-Smoker,NA,0.00145
0,44,45,t3265,Male,Non-Smoker,NA,0.00152
0,45,46,t3265,Male,Non-Smoker,NA,0.00156
0,46,47,t3265,Male,Non-Smoker,NA,0.00162
0,47,48,t3265,Male,Non-Smoker,NA,0.00168
0,48,49,t3265,Male,Non-Smoker,NA,0.00175
0,49,50,t3265,Male,Non-Smoker,NA,0.00183
0,50,51,t3265,Male,Non-Smoker,NA,0.00192
0,51,52,t3265,Male,Non-Smoker,NA,0.00206
0,52,53,t3265,Male,Non-Smoker,NA,0.00225
0,53,54,t3265,Male,Non-Smoker,NA,0.00246
0,54,55,t3265,Male,Non-Smoker,NA,0.00269
0,55,56,t3265,Male,Non-Smoker,NA,0.00291
0,56,57,t3265,Male,Non-Smoker,NA,0.00312
0,57,58,t3265,Male,Non-Smoker,NA,0.00332
0,58,59,t3265,Male,Non-Smoker,NA,0.00353
0,59,60,t3265,Male,Non-Smoker,NA,0.00378
0,60,61,t3265,Male,Non-Smoker,NA,0.00408
0,61,62,t3265,Male,Non-Smoker,NA,0.00448
0,62,63,t3265,Male,Non-Smoker,NA,0.00499
0,63,64,t3265,Male,Non-Smoker,NA,0.00556
0,64,65,t3265,Male,Non-Smoker,NA,0.0062
0,65,66,t3265,Male,Non-Smoker,NA,0.00688
0,66,67,t3265,Male,Non-Smoker,NA,0.00762
0,67,68,t3265,Male,Non-Smoker,NA,0.00842
0,68,69,t3265,Male,Non-Smoker,NA,0.0093
0,69,70,t3265,Male,Non-Smoker,NA,0.0103
0,70,71,t3265,Male,Non-Smoker,NA,0.01147
0,71,72,t3265,Male,Non-Smoker,NA,0.01286
0,72,73,t3265,Male,Non-Smoker,NA,0.01452
0,73,74,t3265,Male,Non-Smoker,NA,0.01646
0,74,75,t3265,Male,Non-Smoker,NA,0.01867
0,75,76,t3265,Male,Non-Smoker,NA,0.02114
0,76,77,t3265,Male,Non-Smoker,NA,0.02385
0,77,78,t3265,Male,Non-Smoker,NA,0.02683
0,78,79,t3265,Male,Non-Smoker,NA,0.03013
0,79,80,t3265,Male,Non-Smoker,NA,0.0339
0,80,81,t3265,Male,Non-Smoker,NA,0.03826
0,81,82,t3265,Male,Non-Smoker,NA,0.04336
0,82,83,t3265,Male,Non-Smoker,NA,0.04907
0,83,84,t3265,Male,Non-Smoker,NA,0.05563
0,84,85,t3265,Male,Non-Smoker,NA,0.06322
0,85,86,t3265,Male,Non-Smoker,NA,0.07204
0,86,87,t3265,Male,Non-Smoker,NA,0.08226
0,87,88,t3265,Male,Non-Smoker,NA,0.09399
0,88,89,t3265,Male,Non-Smoker,NA,0.10725
0,89,90,t3265,Male,Non-Smoker,NA,0.12161
0,90,91,t3265,Male,Non-Smoker,NA,0.1369
0,91,92,t3265,Male,Non-Smoker,NA,0.1526
0,92,93,t3265,Male,Non-Smoker,NA,0.16828
0,93,94,t3265,Male,Non-Smoker,NA,0.18374
0,94,95,t3265,Male,Non-Smoker,NA,0.19822
0,95,96,t3265,Male,Non-Smoker,NA,0.21108
0,96,97,t3265,Male,Non-Smoker,NA,0.22779
0,97,98,t3265,Male,Non-Smoker,NA,0.24559
0,98,99,t3265,Male,Non-Smoker,NA,0.26495
0,99,100,t3265,Male,Non-Smoker,NA,0.28546
0,100,101,t3265,Male,Non-Smoker,NA,0.3067
0,101,102,t3265,Male,Non-Smoker,NA,0.32825
0,102,103,t3265,Male,Non-Smoker,NA,0.35002
0,103,104,t3265,Male,Non-Smoker,NA,0.37165
0,104,105,t3265,Male,Non-Smoker,NA,0.39279
0,105,106,t3265,Male,Non-Smoker,NA,0.41305
0,106,107,t3265,Male,Non-Smoker,NA,0.43208
0,107,108,t3265,Male,Non-Smoker,NA,0.44951
0,108,109,t3265,Male,Non-Smoker,NA,0.46498
0,109,110,t3265,Male,Non-Smoker,NA,0.47812
