table,gender,tobacco,issue_age,duration,q_sel
t3265,Male,Non-Smoker,18,1,6.9e-4
t3265,Male,Non-Smoker,18,2,7.2e-4
t3265,Male,Non-Smoker,18,3,7.4e-4
t3265,Male,Non-Smoker,18,4,7.7e-4
t3265,Male,Non-Smoker,18,5,7.5e-4
t3265,Male,Non-Smoker,18,6,7.2e-4
t3265,Male,Non-Smoker,18,7,7.1e-4
t3265,Male,Non-Smoker,18,8,7.1e-4
t3265,Male,Non-Smoker,18,9,6.1e-4
t3265,Male,Non-Smoker,18,10,5.8e-4
t3265,Male,Non-Smoker,18,11,5.2e-4
t3265,Male,Non-Smoker,18,12,4.8e-4
t3265,Male,Non-Smoker,18,13,4.6e-4
t3265,Male,Non-Smoker,18,14,4.8e-4
t3265,Male,Non-Smoker,18,15,5e-4
t3265,Male,Non-Smoker,18,16,5.7e-4
t3265,Male,Non-Smoker,18,17,6.5e-4
t3265,Male,Non-Smoker,18,18,7.6e-4
t3265,Male,Non-Smoker,18,19,8.8e-4
t3265,Male,Non-Smoker,18,20,0.001
t3265,Male,Non-Smoker,18,21,0.0011
t3265,Male,Non-Smoker,18,22,0.00116
t3265,Male,Non-Smoker,18,23,0.00121
t3265,Male,Non-Smoker,18,24,0.00128
t3265,Male,Non-Smoker,18,25,0.00136
t3265,Male,Non-Smoker,19,1,6.4e-4
t3265,Male,Non-Smoker,19,2,6.7e-4
t3265,Male,Non-Smoker,19,3,6.8e-4
t3265,Male,Non-Smoker,19,4,6.5e-4
t3265,Male,Non-Smoker,19,5,6.4e-4
t3265,Male,Non-Smoker,19,6,6.5e-4
t3265,Male,Non-Smoker,19,7,6.5e-4
t3265,Male,Non-Smoker,19,8,6.1e-4
t3265,Male,Non-Smoker,19,9,5.3e-4
t3265,Male,Non-Smoker,19,10,4.6e-4
t3265,Male,Non-Smoker,19,11,4.8e-4
t3265,Male,Non-Smoker,19,12,4.6e-4
t3265,Male,Non-Smoker,19,13,4.5e-4
t3265,Male,Non-Smoker,19,14,4.9e-4
t3265,Male,Non-Smoker,19,15,5.4e-4
t3265,Male,Non-Smoker,19,16,5.9e-4
t3265,Male,Non-Smoker,19,17,6.7e-4
t3265,Male,Non-Smoker,19,18,7.9e-4
t3265,Male,Non-Smoker,19,19,9.1e-4
t3265,Male,Non-Smoker,19,20,0.00102
t3265,Male,Non-Smoker,19,21,0.00113
t3265,Male,Non-Smoker,19,22,0.00119
t3265,Male,Non-Smoker,19,23,0.00126
t3265,Male,Non-Smoker,19,24,0.00134
t3265,Male,Non-Smoker,19,25,0.00143
t3265,Male,Non-Smoker,20,1,5.5e-4
t3265,Male,Non-Smoker,20,2,5.7e-4
t3265,Male,Non-Smoker,20,3,6.3e-4
t3265,Male,Non-Smoker,20,4,6.1e-4
t3265,Male,Non-Smoker,20,5,5.9e-4
t3265,Male,Non-Smoker,20,6,5.7e-4
t3265,Male,Non-Smoker,20,7,5.6e-4
t3265,Male,Non-Smoker,20,8,5.1e-4
t3265,Male,Non-Smoker,20,9,4.6e-4
t3265,Male,Non-Smoker,20,10,4.6e-4
t3265,Male,Non-Smoker,20,11,4.5e-4
t3265,Male,Non-Smoker,20,12,4.5e-4
t3265,Male,Non-Smoker,20,13,4.6e-4
t3265,Male,Non-Smoker,20,14,5e-4
t3265,Male,Non-Smoker,20,15,5.6e-4
t3265,Male,Non-Smoker,20,16,6e-4
t3265,Male,Non-Smoker,20,17,7e-4
t3265,Male,Non-Smoker,20,18,8.1e-4
t3265,Male,Non-Smoker,20,19,0.00093000000000000005
t3265,Male,Non-Smoker,20,20,0.00105
t3265,Male,Non-Smoker,20,21,0.00116
t3265,Male,Non-Smoker,20,22,0.00122
t3265,Male,Non-Smoker,20,23,0.00128
t3265,Male,Non-Smoker,20,24,0.00137
t3265,Male,Non-Smoker,20,25,0.00146
t3265,Male,Non-Smoker,21,1,4.6e-4
t3265,Male,Non-Smoker,21,2,5.7e-4
t3265,Male,Non-Smoker,21,3,5.1e-4
t3265,Male,Non-Smoker,21,4,4.9e-4
