issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3275,Male,Unismoke,2e-4,2e-4
0,1,2,t3275,Male,Unismoke,1.3e-4,1.3e-4
0,2,3,t3275,Male,Unismoke,1.1e-4,1.1e-4
0,3,4,t3275,Male,Unismoke,1e-4,1e-4
0,4,5,t3275,Male,Unismoke,9e-5,9e-5
0,5,6,t3275,Male,Unismoke,9e-5,9e-5
0,6,7,t3275,Male,Unismoke,8e-5,8e-5
0,7,8,t3275,Male,Unismoke,8e-5,8e-5
0,8,9,t3275,Male,Unismoke,8e-5,8e-5
0,9,10,t3275,Male,Unismoke,8e-5,8e-5
0,10,11,t3275,Male,Unismoke,8e-5,8e-5
0,11,12,t3275,Male,Unismoke,9e-5,9e-5
0,12,13,t3275,Male,Unismoke,1.2e-4,1.2e-4
0,13,14,t3275,Male,Unismoke,1.6e-4,1.6e-4
0,14,15,t3275,Male,Unismoke,2.4e-4,2.4e-4
0,15,16,t3275,Male,Unismoke,3.5e-4,3.5e-4
0,16,17,t3275,Male,Unismoke,4.9e-4,4.9e-4
0,17,18,t3275,Male,Unismoke,6.5e-4,6.5e-4
0,18,19,t3275,Male,Unismoke,7.7e-4,7.7e-4
0,19,20,t3275,Male,Unismoke,8.4e-4,8.4e-4
0,20,21,t3275,Male,Unismoke,8.7e-4,8.7e-4
0,21,22,t3275,Male,Unismoke,8.8e-4,8.8e-4
0,22,23,t3275,Male,Unismoke,8.8e-4,8.8e-4
0,23,24,t3275,Male,Unismoke,8.8e-4,8.8e-4
0,24,25,t3275,Male,Unismoke,8.8e-4,8.8e-4
0,25,26,t3275,Male,Unismoke,NA,8.8e-4
0,26,27,t3275,Male,Unismoke,NA,8.7e-4
0,27,28,t3275,Male,Unismoke,NA,8.6e-4
0,28,29,t3275,Male,Unismoke,NA,8.4e-4
0,29,30,t3275,Male,Unismoke,NA,8.4e-4
0,30,31,t3275,Male,Unismoke,NA,8.6e-4
