table,gender,tobacco,issue_age,duration,q_sel
t3275,Male,Unismoke,0,1,2e-4
t3275,Male,Unismoke,0,2,1.3e-4
t3275,Male,Unismoke,0,3,1.1e-4
t3275,Male,Unismoke,0,4,1e-4
t3275,Male,Unismoke,0,5,9e-5
t3275,Male,Unismoke,0,6,9e-5
t3275,Male,Unismoke,0,7,8e-5
t3275,Male,Unismoke,0,8,8e-5
t3275,Male,Unismoke,0,9,8e-5
t3275,Male,Unismoke,0,10,8e-5
t3275,Male,Unismoke,0,11,8e-5
t3275,Male,Unismoke,0,12,9e-5
t3275,Male,Unismoke,0,13,1.2e-4
t3275,Male,Unismoke,0,14,1.6e-4
t3275,Male,Unismoke,0,15,2.4e-4
t3275,Male,Unismoke,0,16,3.5e-4
t3275,Male,Unismoke,0,17,4.9e-4
t3275,Male,Unismoke,0,18,6.5e-4
t3275,Male,Unismoke,0,19,7.7e-4
t3275,Male,Unismoke,0,20,8.4e-4
t3275,Male,Unismoke,0,21,8.7e-4
t3275,Male,Unismoke,0,22,8.8e-4
t3275,Male,Unismoke,0,23,8.8e-4
t3275,Male,Unismoke,0,24,8.8e-4
t3275,Male,Unismoke,0,25,8.8e-4
t3275,Male,Unismoke,1,1,1.3e-4
t3275,Male,Unismoke,1,2,1.1e-4
t3275,Male,Unismoke,1,3,1e-4
t3275,Male,Unismoke,1,4,9e-5
t3275,Male,Unismoke,1,5,9e-5
t3275,Male,Unismoke,1,6,8e-5
t3275,Male,Unismoke,1,7,8e-5
t3275,Male,Unismoke,1,8,8e-5
t3275,Male,Unismoke,1,9,8e-5
t3275,Male,Unismoke,1,10,8e-5
t3275,Male,Unismoke,1,11,9e-5
t3275,Male,Unismoke,1,12,1.2e-4
t3275,Male,Unismoke,1,13,1.6e-4
t3275,Male,Unismoke,1,14,2.4e-4
t3275,Male,Unismoke,1,15,3.5e-4
t3275,Male,Unismoke,1,16,4.9e-4
t3275,Male,Unismoke,1,17,6.5e-4
t3275,Male,Unismoke,1,18,7.7e-4
t3275,Male,Unismoke,1,19,8.4e-4
t3275,Male,Unismoke,1,20,8.7e-4
t3275,Male,Unismoke,1,21,8.8e-4
t3275,Male,Unismoke,1,22,8.8e-4
t3275,Male,Unismoke,1,23,8.8e-4
t3275,Male,Unismoke,1,24,8.8e-4
t3275,Male,Unismoke,1,25,8.8e-4
t3275,Male,Unismoke,2,1,1.1e-4
t3275,Male,Unismoke,2,2,1e-4
t3275,Male,Unismoke,2,3,9e-5
t3275,Male,Unismoke,2,4,9e-5
t3275,Male,Unismoke,2,5,8e-5
t3275,Male,Unismoke,2,6,8e-5
t3275,Male,Unismoke,2,7,8e-5
t3275,Male,Unismoke,2,8,8e-5
t3275,Male,Unismoke,2,9,8e-5
t3275,Male,Unismoke,2,10,9e-5
t3275,Male,Unismoke,2,11,1.2e-4
t3275,Male,Unismoke,2,12,1.6e-4
t3275,Male,Unismoke,2,13,2.4e-4
t3275,Male,Unismoke,2,14,3.5e-4
t3275,Male,Unismoke,2,15,4.9e-4
t3275,Male,Unismoke,2,16,6.5e-4
t3275,Male,Unismoke,2,17,7.7e-4
t3275,Male,Unismoke,2,18,8.4e-4
t3275,Male,Unismoke,2,19,8.7e-4
t3275,Male,Unismoke,2,20,8.8e-4
t3275,Male,Unismoke,2,21,8.8e-4
t3275,Male,Unismoke,2,22,8.8e-4
t3275,Male,Unismoke,2,23,8.8e-4
t3275,Male,Unismoke,2,24,8.8e-4
t3275,Male,Unismoke,2,25,8.7e-4
t3275,Male,Unismoke,3,1,1e-4
t3275,Male,Unismoke,3,2,9e-5
t3275,Male,Unismoke,3,3,9e-5
t3275,Male,Unismoke,3,4,8e-5
t3275,Male,Unismoke,3,5,8e-5
t3275,Male,Unismoke,3,6,8e-5
t3275,Male,Unismoke,3,7,8e-5
t3275,Male,Unismoke,3,8,8e-5
t3275,Male,Unismoke,3,9,9e-5
t3275,Male,Unismoke,3,10,1.2e-4
t3275,Male,Unismoke,3,11,1.6e-4
t3275,Male,Unismoke,3,12,2.4e-4
t3275,Male,Unismoke,3,13,3.5e-4
t3275,Male,Unismoke,3,14,4.9e-4
t3275,Male,Unismoke,3,15,6.5e-4
t3275,Male,Unismoke,3,16,7.7e-4
t3275,Male,Unismoke,3,17,8.4e-4
t3275,Male,Unismoke,3,18,8.7e-4
t3275,Male,Unismoke,3,19,8.8e-4
t3275,Male,Unismoke,3,20,8.8e-4
t3275,Male,Unismoke,3,21,8.8e-4
t3275,Male,Unismoke,3,22,8.8e-4
