table,gender,tobacco,attained_age,q_ult
t3275,Male,Unismoke,0,2e-4
t3275,Male,Unismoke,1,1.3e-4
t3275,Male,Unismoke,2,1.1e-4
t3275,Male,Unismoke,3,1e-4
t3275,Male,Unismoke,4,9e-5
t3275,Male,Unismoke,5,9e-5
t3275,Male,Unismoke,6,8e-5
t3275,Male,Unismoke,7,8e-5
t3275,Male,Unismoke,8,8e-5
t3275,Male,Unismoke,9,8e-5
t3275,Male,Unismoke,10,8e-5
t3275,Male,Unismoke,11,9e-5
t3275,Male,Unismoke,12,1.2e-4
t3275,Male,Unismoke,13,1.6e-4
t3275,Male,Unismoke,14,2.4e-4
t3275,Male,Unismoke,15,3.5e-4
t3275,Male,Unismoke,16,4.9e-4
t3275,Male,Unismoke,17,6.5e-4
t3275,Male,Unismoke,18,7.7e-4
t3275,Male,Unismoke,19,8.4e-4
t3275,Male,Unismoke,20,8.7e-4
t3275,Male,Unismoke,21,8.8e-4
t3275,Male,Unismoke,22,8.8e-4
t3275,Male,Unismoke,23,8.8e-4
t3275,Male,Unismoke,24,8.8e-4
t3275,Male,Unismoke,25,8.8e-4
t3275,Male,Unismoke,26,8.7e-4
t3275,Male,Unismoke,27,8.6e-4
t3275,Male,Unismoke,28,8.4e-4
t3275,Male,Unismoke,29,8.4e-4
t3275,Male,Unismoke,30,8.6e-4
t3275,Male,Unismoke,31,9e-4
t3275,Male,Unismoke,32,9.7e-4
t3275,Male,Unismoke,33,0.00105
t3275,Male,Unismoke,34,0.00113
t3275,Male,Unismoke,35,0.00123
t3275,Male,Unismoke,36,0.00133
t3275,Male,Unismoke,37,0.00144
t3275,Male,Unismoke,38,0.00155
t3275,Male,Unismoke,39,0.00167
t3275,Male,Unismoke,40,0.00181
t3275,Male,Unismoke,41,0.00193
t3275,Male,Unismoke,42,0.00202
t3275,Male,Unismoke,43,0.00207
t3275,Male,Unismoke,44,0.00213
t3275,Male,Unismoke,45,0.00219
t3275,Male,Unismoke,46,0.00225
t3275,Male,Unismoke,47,0.0023
t3275,Male,Unismoke,48,0.00236
t3275,Male,Unismoke,49,0.00245
t3275,Male,Unismoke,50,0.00257
t3275,Male,Unismoke,51,0.00272
t3275,Male,Unismoke,52,0.0029
t3275,Male,Unismoke,53,0.0031
t3275,Male,Unismoke,54,0.00334
t3275,Male,Unismoke,55,0.00362
t3275,Male,Unismoke,56,0.00393
t3275,Male,Unismoke,57,0.00429
t3275,Male,Unismoke,58,0.00471
t3275,Male,Unismoke,59,0.00519
t3275,Male,Unismoke,60,0.00575
t3275,Male,Unismoke,61,0.00638
t3275,Male,Unismoke,62,0.00709
t3275,Male,Unismoke,63,0.00789
t3275,Male,Unismoke,64,0.00875
t3275,Male,Unismoke,65,0.00967
t3275,Male,Unismoke,66,0.01065
t3275,Male,Unismoke,67,0.01169
t3275,Male,Unismoke,68,0.01285
t3275,Male,Unismoke,69,0.01418
t3275,Male,Unismoke,70,0.01574
t3275,Male,Unismoke,71,0.01756
t3275,Male,Unismoke,72,0.01969
t3275,Male,Unismoke,73,0.02211
t3275,Male,Unismoke,74,0.02479
t3275,Male,Unismoke,75,0.02771
t3275,Male,Unismoke,76,0.03085
t3275,Male,Unismoke,77,0.03426
t3275,Male,Unismoke,78,0.03802
t3275,Male,Unismoke,79,0.04227
t3275,Male,Unismoke,80,0.04714
t3275,Male,Unismoke,81,0.05261
t3275,Male,Unismoke,82,0.05897
t3275,Male,Unismoke,83,0.06647
t3275,Male,Unismoke,84,0.07506
t3275,Male,Unismoke,85,0.08493
t3275,Male,Unismoke,86,0.09615
t3275,Male,Unismoke,87,0.10869
t3275,Male,Unismoke,88,0.12234
t3275,Male,Unismoke,89,0.13676
t3275,Male,Unismoke,90,0.15163
t3275,Male,Unismoke,91,0.16651
t3275,Male,Unismoke,92,0.18113
t3275,Male,Unismoke,93,0.19509
t3275,Male,Unismoke,94,0.20776
t3275,Male,Unismoke,95,0.22127
t3275,Male,Unismoke,96,0.2375
t3275,Male,Unismoke,97,0.25511
t3275,Male,Unismoke,98,0.27422
t3275,Male,Unismoke,99,0.29448
t3275,Male,Unismoke,100,0.31552
t3275,Male,Unismoke,101,0.33699
t3275,Male,Unismoke,102,0.35854
t3275,Male,Unismoke,103,0.37981
t3275,Male,Unismoke,104,0.40044
t3275,Male,Unismoke,105,0.42009
t3275,Male,Unismoke,106,0.4384
t3275,Male,Unismoke,107,0.45501
t3275,Male,Unismoke,108,0.46956
t3275,Male,Unismoke,109,0.4817
t3275,Male,Unismoke,110,0.49107
t3275,Male,Unismoke,111,0.49731
t3275,Male,Unismoke,112,0.5
t3275,Male,Unismoke,113,0.5
t3275,Male,Unismoke,114,0.5
t3275,Male,Unismoke,115,0.5
t3275,Male,Unismoke,116,0.5
t3275,Male,Unismoke,117,0.5
t3275,Male,Unismoke,118,0.5
t3275,Male,Unismoke,119,0.5
t3275,Male,Unismoke,120,0.5
t3276,Female,Unismoke,0,2.2e-4
t3276,Female,Unismoke,1,1.2e-4
t3276,Female,Unismoke,2,8e-5
t3276,Female,Unismoke,3,7e-5
t3276,Female,Unismoke,4,7e-5
t3276,Female,Unismoke,5,7e-5
t3276,Female,Unismoke,6,7e-5
t3276,Female,Unismoke,7,7e-5
t3276,Female,Unismoke,8,7e-5
t3276,Female,Unismoke,9,7e-5
t3276,Female,Unismoke,10,8e-5
t3276,Female,Unismoke,11,8e-5
t3276,Female,Unismoke,12,7e-5
t3276,Female,Unismoke,13,8e-5
t3276,Female,Unismoke,14,1.2e-4
t3276,Female,Unismoke,15,1.9e-4
t3276,Female,Unismoke,16,2.4e-4
t3276,Female,Unismoke,17,2.7e-4
t3276,Female,Unismoke,18,2.7e-4
t3276,Female,Unismoke,19,2.7e-4
t3276,Female,Unismoke,20,2.7e-4
t3276,Female,Unismoke,21,2.9e-4
t3276,Female,Unismoke,22,3.2e-4
t3276,Female,Unismoke,23,3.5e-4
t3276,Female,Unismoke,24,3.6e-4
t3276,Female,Unismoke,25,3.6e-4
t3276,Female,Unismoke,26,3.5e-4
t3276,Female,Unismoke,27,3.5e-4
t3276,Female,Unismoke,28,3.6e-4
t3276,Female,Unismoke,29,3.8e-4
t3276,Female,Unismoke,30,4.1e-4
t3276,Female,Unismoke,31,4.4e-4
t3276,Female,Unismoke,32,4.8e-4
t3276,Female,Unismoke,33,5.2e-4
t3276,Female,Unismoke,34,5.7e-4
t3276,Female,Unismoke,35,6.4e-4
t3276,Female,Unismoke,36,7.2e-4
t3276,Female,Unismoke,37,8e-4
t3276,Female,Unismoke,38,8.7e-4
t3276,Female,Unismoke,39,0.00093000000000000005
t3276,Female,Unismoke,40,9.8e-4
t3276,Female,Unismoke,41,0.00102
t3276,Female,Unismoke,42,0.00106
t3276,Female,Unismoke,43,0.0011
t3276,Female,Unismoke,44,0.00114
t3276,Female,Unismoke,45,0.00121
t3276,Female,Unismoke,46,0.00131
t3276,Female,Unismoke,47,0.00141
t3276,Female,Unismoke,48,0.00152
t3276,Female,Unismoke,49,0.00164
t3276,Female,Unismoke,50,0.00178
t3276,Female,Unismoke,51,0.00194
t3276,Female,Unismoke,52,0.00211
t3276,Female,Unismoke,53,0.0023
t3276,Female,Unismoke,54,0.00251
t3276,Female,Unismoke,55,0.00274
t3276,Female,Unismoke,56,0.003
t3276,Female,Unismoke,57,0.0033
t3276,Female,Unismoke,58,0.00363
t3276,Female,Unismoke,59,0.00401
t3276,Female,Unismoke,60,0.00443
t3276,Female,Unismoke,61,0.00492
t3276,Female,Unismoke,62,0.00546
t3276,Female,Unismoke,63,0.00608
t3276,Female,Unismoke,64,0.00676
t3276,Female,Unismoke,65,0.00753
t3276,Female,Unismoke,66,0.00837
t3276,Female,Unismoke,67,0.00931
t3276,Female,Unismoke,68,0.01035
t3276,Female,Unismoke,69,0.01149
t3276,Female,Unismoke,70,0.01274
t3276,Female,Unismoke,71,0.0141
t3276,Female,Unismoke,72,0.01559
t3276,Female,Unismoke,73,0.01725
t3276,Female,Unismoke,74,0.01911
t3276,Female,Unismoke,75,0.02121
t3276,Female,Unismoke,76,0.0236
t3276,Female,Unismoke,77,0.0263
t3276,Female,Unismoke,78,0.02934
