issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3273,Male,Unismoke,2.4e-4,2.4e-4
0,1,2,t3273,Male,Unismoke,1.4e-4,1.4e-4
0,2,3,t3273,Male,Unismoke,1.2e-4,1.2e-4
0,3,4,t3273,Male,Unismoke,1e-4,1e-4
0,4,5,t3273,Male,Unismoke,9e-5,9e-5
0,5,6,t3273,Male,Unismoke,9e-5,9e-5
0,6,7,t3273,Male,Unismoke,8e-5,8e-5
0,7,8,t3273,Male,Unismoke,8e-5,8e-5
0,8,9,t3273,Male,Unismoke,8e-5,8e-5
0,9,10,t3273,Male,Unismoke,8e-5,8e-5
0,10,11,t3273,Male,Unismoke,8e-5,8e-5
0,11,12,t3273,Male,Unismoke,8e-5,8e-5
0,12,13,t3273,Male,Unismoke,1e-4,1e-4
0,13,14,t3273,Male,Unismoke,1.3e-4,1.3e-4
0,14,15,t3273,Male,Unismoke,1.9e-4,1.9e-4
0,15,16,t3273,Male,Unismoke,2.9e-4,2.9e-4
0,16,17,t3273,Male,Unismoke,4.2e-4,4.2e-4
0,17,18,t3273,Male,Unismoke,5.7e-4,5.7e-4
0,18,19,t3273,Male,Unismoke,7.2e-4,7.2e-4
0,19,20,t3273,Male,Unismoke,8.2e-4,8.2e-4
0,20,21,t3273,Male,Unismoke,8.6e-4,8.6e-4
0,21,22,t3273,Male,Unismoke,8.8e-4,8.8e-4
0,22,23,t3273,Male,Unismoke,8.8e-4,8.8e-4
0,23,24,t3273,Male,Unismoke,8.8e-4,8.8e-4
0,24,25,t3273,Male,Unismoke,8.8e-4,8.8e-4
0,25,26,t3273,Male,Unismoke,NA,8.8e-4
0,26,27,t3273,Male,Unismoke,NA,8.8e-4
0,27,28,t3273,Male,Unismoke,NA,8.7e-4
0,28,29,t3273,Male,Unismoke,NA,8.5e-4
0,29,30,t3273,Male,Unismoke,NA,8.4e-4
0,30,31,t3273,Male,Unismoke,NA,8.4e-4
0,31,32,t3273,Male,Unismoke,NA,8.8e-4
0,32,33,t3273,Male,Unismoke,NA,0.00093000000000000005
0,33,34,t3273,Male,Unismoke,NA,0.00101
0,34,35,t3273,Male,Unismoke,NA,0.00109
0,35,36,t3273,Male,Unismoke,NA,0.00117
0,36,37,t3273,Male,Unismoke,NA,0.00128
0,37,38,t3273,Male,Unismoke,NA,0.00139
0,38,39,t3273,Male,Unismoke,NA,0.00149
0,39,40,t3273,Male,Unismoke,NA,0.00161
0,40,41,t3273,Male,Unismoke,NA,0.00174
0,41,42,t3273,Male,Unismoke,NA,0.00187
