table,gender,tobacco,attained_age,q_ult
t3273,Male,Unismoke,0,2.4e-4
t3273,Male,Unismoke,1,1.4e-4
t3273,Male,Unismoke,2,1.2e-4
t3273,Male,Unismoke,3,1e-4
t3273,Male,Unismoke,4,9e-5
t3273,Male,Unismoke,5,9e-5
t3273,Male,Unismoke,6,8e-5
t3273,Male,Unismoke,7,8e-5
t3273,Male,Unismoke,8,8e-5
t3273,Male,Unismoke,9,8e-5
t3273,Male,Unismoke,10,8e-5
t3273,Male,Unismoke,11,8e-5
t3273,Male,Unismoke,12,1e-4
t3273,Male,Unismoke,13,1.3e-4
t3273,Male,Unismoke,14,1.9e-4
t3273,Male,Unismoke,15,2.9e-4
t3273,Male,Unismoke,16,4.2e-4
t3273,Male,Unismoke,17,5.7e-4
t3273,Male,Unismoke,18,7.2e-4
t3273,Male,Unismoke,19,8.2e-4
t3273,Male,Unismoke,20,8.6e-4
t3273,Male,Unismoke,21,8.8e-4
t3273,Male,Unismoke,22,8.8e-4
t3273,Male,Unismoke,23,8.8e-4
t3273,Male,Unismoke,24,8.8e-4
t3273,Male,Unismoke,25,8.8e-4
t3273,Male,Unismoke,26,8.8e-4
t3273,Male,Unismoke,27,8.7e-4
t3273,Male,Unismoke,28,8.5e-4
t3273,Male,Unismoke,29,8.4e-4
t3273,Male,Unismoke,30,8.4e-4
t3273,Male,Unismoke,31,8.8e-4
t3273,Male,Unismoke,32,0.00093000000000000005
t3273,Male,Unismoke,33,0.00101
t3273,Male,Unismoke,34,0.00109
t3273,Male,Unismoke,35,0.00117
t3273,Male,Unismoke,36,0.00128
t3273,Male,Unismoke,37,0.00139
t3273,Male,Unismoke,38,0.00149
t3273,Male,Unismoke,39,0.00161
t3273,Male,Unismoke,40,0.00174
t3273,Male,Unismoke,41,0.00187
t3273,Male,Unismoke,42,0.00198
t3273,Male,Unismoke,43,0.00204
t3273,Male,Unismoke,44,0.0021
t3273,Male,Unismoke,45,0.00216
t3273,Male,Unismoke,46,0.00222
t3273,Male,Unismoke,47,0.00227
t3273,Male,Unismoke,48,0.00233
t3273,Male,Unismoke,49,0.00239
t3273,Male,Unismoke,50,0.0025
t3273,Male,Unismoke,51,0.00264
t3273,Male,Unismoke,52,0.0028
t3273,Male,Unismoke,53,0.00299
t3273,Male,Unismoke,54,0.00321
t3273,Male,Unismoke,55,0.00347
t3273,Male,Unismoke,56,0.00376
t3273,Male,Unismoke,57,0.0041
t3273,Male,Unismoke,58,0.00449
t3273,Male,Unismoke,59,0.00494
t3273,Male,Unismoke,60,0.00545
t3273,Male,Unismoke,61,0.00604
t3273,Male,Unismoke,62,0.00672
t3273,Male,Unismoke,63,0.00748
t3273,Male,Unismoke,64,0.00831
t3273,Male,Unismoke,65,0.0092
t3273,Male,Unismoke,66,0.01015
t3273,Male,Unismoke,67,0.01115
t3273,Male,Unismoke,68,0.01224
t3273,Male,Unismoke,69,0.01347
t3273,Male,Unismoke,70,0.0149
t3273,Male,Unismoke,71,0.01658
t3273,Male,Unismoke,72,0.01856
t3273,Male,Unismoke,73,0.02084
t3273,Male,Unismoke,74,0.0234
t3273,Male,Unismoke,75,0.02622
t3273,Male,Unismoke,76,0.02924
t3273,Male,Unismoke,77,0.03251
t3273,Male,Unismoke,78,0.03606
t3273,Male,Unismoke,79,0.04005
t3273,Male,Unismoke,80,0.04458
t3273,Male,Unismoke,81,0.04981
t3273,Male,Unismoke,82,0.05556
t3273,Male,Unismoke,83,0.06258
t3273,Male,Unismoke,84,0.07061
t3273,Male,Unismoke,85,0.07985
t3273,Male,Unismoke,86,0.09046
t3273,Male,Unismoke,87,0.10241
t3273,Male,Unismoke,88,0.1157
t3273,Male,Unismoke,89,0.12985
t3273,Male,Unismoke,90,0.1447
t3273,Male,Unismoke,91,0.15973
t3273,Male,Unismoke,92,0.17457
t3273,Male,Unismoke,93,0.18907
t3273,Male,Unismoke,94,0.20252
t3273,Male,Unismoke,95,0.21433
t3273,Male,Unismoke,96,0.23011
t3273,Male,Unismoke,97,0.24709
t3273,Male,Unismoke,98,0.26576
t3273,Male,Unismoke,99,0.28575
t3273,Male,Unismoke,100,0.3067
t3273,Male,Unismoke,101,0.32825
t3273,Male,Unismoke,102,0.35002
t3273,Male,Unismoke,103,0.37165
t3273,Male,Unismoke,104,0.39279
t3273,Male,Unismoke,105,0.41305
t3273,Male,Unismoke,106,0.43208
t3273,Male,Unismoke,107,0.44951
t3273,Male,Unismoke,108,0.46498
t3273,Male,Unismoke,109,0.47812
t3273,Male,Unismoke,110,0.48857
t3273,Male,Unismoke,111,0.49595
t3273,Male,Unismoke,112,0.5
t3273,Male,Unismoke,113,0.5
t3273,Male,Unismoke,114,0.5
t3273,Male,Unismoke,115,0.5
t3273,Male,Unismoke,116,0.5
t3273,Male,Unismoke,117,0.5
t3273,Male,Unismoke,118,0.5
t3273,Male,Unismoke,119,0.5
t3273,Male,Unismoke,120,0.5
t3274,Female,Unismoke,0,2.5e-4
t3274,Female,Unismoke,1,1.4e-4
t3274,Female,Unismoke,2,9e-5
t3274,Female,Unismoke,3,7e-5
t3274,Female,Unismoke,4,6e-5
t3274,Female,Unismoke,5,7e-5
t3274,Female,Unismoke,6,8e-5
t3274,Female,Unismoke,7,7e-5
t3274,Female,Unismoke,8,7e-5
t3274,Female,Unismoke,9,7e-5
t3274,Female,Unismoke,10,7e-5
t3274,Female,Unismoke,11,8e-5
t3274,Female,Unismoke,12,7e-5
t3274,Female,Unismoke,13,6e-5
t3274,Female,Unismoke,14,9e-5
t3274,Female,Unismoke,15,1.5e-4
t3274,Female,Unismoke,16,2.2e-4
t3274,Female,Unismoke,17,2.6e-4
t3274,Female,Unismoke,18,2.7e-4
t3274,Female,Unismoke,19,2.7e-4
t3274,Female,Unismoke,20,2.7e-4
t3274,Female,Unismoke,21,2.8e-4
t3274,Female,Unismoke,22,3e-4
t3274,Female,Unismoke,23,3.4e-4
t3274,Female,Unismoke,24,3.6e-4
t3274,Female,Unismoke,25,3.6e-4
t3274,Female,Unismoke,26,3.5e-4
t3274,Female,Unismoke,27,3.4e-4
t3274,Female,Unismoke,28,3.5e-4
t3274,Female,Unismoke,29,3.7e-4
t3274,Female,Unismoke,30,4e-4
t3274,Female,Unismoke,31,4.3e-4
