issue_age,attained_age,duration,table,gender,q_sel,q_ult
0,0,1,t3289,Male,2.4e-4,2.4e-4
0,1,2,t3289,Male,1.5e-4,1.5e-4
0,2,3,t3289,Male,1.3e-4,1.3e-4
0,3,4,t3289,Male,1.2e-4,1.2e-4
0,4,5,t3289,Male,1.1e-4,1.1e-4
0,5,6,t3289,Male,1e-4,1e-4
0,6,7,t3289,Male,1e-4,1e-4
0,7,8,t3289,Male,9e-5,9e-5
0,8,9,t3289,Male,9e-5,9e-5
0,9,10,t3289,Male,9e-5,9e-5
0,10,11,t3289,Male,1e-4,1e-4
0,11,12,t3289,Male,1.1e-4,1.1e-4
0,12,13,t3289,Male,1.4e-4,1.4e-4
0,13,14,t3289,Male,2e-4,2e-4
0,14,15,t3289,Male,2.9e-4,2.9e-4
0,15,16,t3289,Male,4.2e-4,4.2e-4
0,16,17,t3289,Male,5.9e-4,5.9e-4
0,17,18,t3289,Male,7.8e-4,7.8e-4
0,18,19,t3289,Male,8e-4,8e-4
0,19,20,t3289,Male,8.4e-4,8.4e-4
0,20,21,t3289,Male,8.7e-4,8.7e-4
0,21,22,t3289,Male,9e-4,9e-4
0,22,23,t3289,Male,0.00093000000000000005,0.00093000000000000005
0,23,24,t3289,Male,9.6e-4,9.6e-4
0,24,25,t3289,Male,0.001,0.001
0,25,26,t3289,Male,NA,0.00101
0,26,27,t3289,Male,NA,0.00101
0,27,28,t3289,Male,NA,0.001
0,28,29,t3289,Male,NA,9.8e-4
0,29,30,t3289,Male,NA,9.8e-4
0,30,31,t3289,Male,NA,0.001
0,31,32,t3289,Male,NA,0.00105
0,32,33,t3289,Male,NA,0.00113
0,33,34,t3289,Male,NA,0.00121
0,34,35,t3289,Male,NA,0.0013
0,35,36,t3289,Male,NA,0.00141
0,36,37,t3289,Male,NA,0.00154
0,37,38,t3289,Male,NA,0.00169
0,38,39,t3289,Male,NA,0.00183
0,39,40,t3289,Male,NA,0.00198
0,40,41,t3289,Male,NA,0.00213
0,41,42,t3289,Male,NA,0.00227
0,42,43,t3289,Male,NA,0.00239
0,43,44,t3289,Male,NA,0.00244
0,44,45,t3289,Male,NA,0.00251
0,45,46,t3289,Male,NA,0.00257
0,46,47,t3289,Male,NA,0.00264
0,47,48,t3289,Male,NA,0.00271
0,48,49,t3289,Male,NA,0.00277
0,49,50,t3289,Male,NA,0.00287
0,50,51,t3289,Male,NA,0.00301
0,51,52,t3289,Male,NA,0.00319
0,52,53,t3289,Male,NA,0.00339
0,53,54,t3289,Male,NA,0.00363
0,54,55,t3289,Male,NA,0.0039
0,55,56,t3289,Male,NA,0.00422
0,56,57,t3289,Male,NA,0.00458
0,57,58,t3289,Male,NA,0.005
0,58,59,t3289,Male,NA,0.00548
0,59,60,t3289,Male,NA,0.00604
0,60,61,t3289,Male,NA,0.00667
0,61,62,t3289,Male,NA,0.0074
0,62,63,t3289,Male,NA,0.00822
0,63,64,t3289,Male,NA,0.00914
0,64,65,t3289,Male,NA,0.01013
0,65,66,t3289,Male,NA,0.01118
0,66,67,t3289,Male,NA,0.0123
0,67,68,t3289,Male,NA,0.0135
0,68,69,t3289,Male,NA,0.01482
0,69,70,t3289,Male,NA,0.01634
0,70,71,t3289,Male,NA,0.01811
0,71,72,t3289,Male,NA,0.0202
0,72,73,t3289,Male,NA,0.02263
0,73,74,t3289,Male,NA,0.02538
0,74,75,t3289,Male,NA,0.02844
0,75,76,t3289,Male,NA,0.03176
0,76,77,t3289,Male,NA,0.03533
0,77,78,t3289,Male,NA,0.03919
0,78,79,t3289,Male,NA,0.04346
0,79,80,t3289,Male,NA,0.048280000000000003
0,80,81,t3289,Male,NA,0.05379
0,81,82,t3289,Male,NA,0.05998
0,82,83,t3289,Male,NA,0.06723
0,83,84,t3289,Male,NA,0.07584
0,84,85,t3289,Male,NA,0.08573
0,85,86,t3289,Male,NA,0.09708
0,86,87,t3289,Male,NA,0.10998
0,87,88,t3289,Male,NA,0.12444
0,88,89,t3289,Male,NA,0.14018
0,89,90,t3289,Male,NA,0.15684
0,90,91,t3289,Male,NA,0.17405
0,91,92,t3289,Male,NA,0.19128
0,92,93,t3289,Male,NA,0.20825
0,93,94,t3289,Male,NA,0.22451
0,94,95,t3289,Male,NA,0.23932
0,95,96,t3289,Male,NA,0.25486
0,96,97,t3289,Male,NA,0.27329
0,97,98,t3289,Male,NA,0.29327
0,98,99,t3289,Male,NA,0.31494
0,99,100,t3289,Male,NA,0.33788
0,100,101,t3289,Male,NA,0.36089
0,101,102,t3289,Male,NA,0.38306
0,102,103,t3289,Male,NA,0.40502
0,103,104,t3289,Male,NA,0.42637
0,104,105,t3289,Male,NA,0.44673
0,105,106,t3289,Male,NA,0.4657
0,106,107,t3289,Male,NA,0.48631
0,107,108,t3289,Male,NA,0.51238
0,108,109,t3289,Male,NA,0.53981
0,109,110,t3289,Male,NA,0.56867
0,110,111,t3289,Male,NA,0.59903
0,111,112,t3289,Male,NA,0.63096
0,112,113,t3289,Male,NA,0.66453
0,113,114,t3289,Male,NA,0.69981
0,114,115,t3289,Male,NA,0.73687
0,115,116,t3289,Male,NA,0.77578
0,116,117,t3289,Male,NA,0.8166
0,117,118,t3289,Male,NA,0.8594
0,118,119,t3289,Male,NA,0.90421
0,119,120,t3289,Male,NA,0.95108
0,120,121,t3289,Male,NA,1
1,1,1,t3289,Male,1.5e-4,1.5e-4
1,2,2,t3289,Male,1.3e-4,1.3e-4
1,3,3,t3289,Male,1.2e-4,1.2e-4
1,4,4,t3289,Male,1.1e-4,1.1e-4
1,5,5,t3289,Male,1e-4,1e-4
1,6,6,t3289,Male,1e-4,1e-4
1,7,7,t3289,Male,9e-5,9e-5
1,8,8,t3289,Male,9e-5,9e-5
1,9,9,t3289,Male,9e-5,9e-5
1,10,10,t3289,Male,1e-4,1e-4
1,11,11,t3289,Male,1.1e-4,1.1e-4
1,12,12,t3289,Male,1.4e-4,1.4e-4
