table,gender,issue_age,duration,q_sel
t3289,Male,0,1,2.4e-4
t3289,Male,0,2,1.5e-4
t3289,Male,0,3,1.3e-4
t3289,Male,0,4,1.2e-4
t3289,Male,0,5,1.1e-4
t3289,Male,0,6,1e-4
t3289,Male,0,7,1e-4
t3289,Male,0,8,9e-5
t3289,Male,0,9,9e-5
t3289,Male,0,10,9e-5
t3289,Male,0,11,1e-4
t3289,Male,0,12,1.1e-4
t3289,Male,0,13,1.4e-4
t3289,Male,0,14,2e-4
t3289,Male,0,15,2.9e-4
t3289,Male,0,16,4.2e-4
t3289,Male,0,17,5.9e-4
t3289,Male,0,18,7.8e-4
t3289,Male,0,19,8e-4
t3289,Male,0,20,8.4e-4
t3289,Male,0,21,8.7e-4
t3289,Male,0,22,9e-4
t3289,Male,0,23,0.00093000000000000005
t3289,Male,0,24,9.6e-4
t3289,Male,0,25,0.001
t3289,Male,1,1,1.5e-4
t3289,Male,1,2,1.3e-4
t3289,Male,1,3,1.2e-4
t3289,Male,1,4,1.1e-4
t3289,Male,1,5,1e-4
t3289,Male,1,6,1e-4
t3289,Male,1,7,9e-5
t3289,Male,1,8,9e-5
t3289,Male,1,9,9e-5
t3289,Male,1,10,1e-4
t3289,Male,1,11,1.1e-4
t3289,Male,1,12,1.4e-4
t3289,Male,1,13,2e-4
t3289,Male,1,14,2.9e-4
t3289,Male,1,15,4.2e-4
t3289,Male,1,16,5.9e-4
t3289,Male,1,17,7.8e-4
t3289,Male,1,18,8e-4
t3289,Male,1,19,8.4e-4
t3289,Male,1,20,8.7e-4
t3289,Male,1,21,9e-4
t3289,Male,1,22,0.00093000000000000005
t3289,Male,1,23,9.6e-4
t3289,Male,1,24,0.001
t3289,Male,1,25,0.00101
t3289,Male,2,1,1.3e-4
t3289,Male,2,2,1.2e-4
t3289,Male,2,3,1.1e-4
t3289,Male,2,4,1e-4
t3289,Male,2,5,1e-4
t3289,Male,2,6,9e-5
t3289,Male,2,7,9e-5
t3289,Male,2,8,9e-5
t3289,Male,2,9,1e-4
t3289,Male,2,10,1.1e-4
t3289,Male,2,11,1.4e-4
t3289,Male,2,12,2e-4
t3289,Male,2,13,2.9e-4
t3289,Male,2,14,4.2e-4
t3289,Male,2,15,5.9e-4
t3289,Male,2,16,7.8e-4
t3289,Male,2,17,8e-4
t3289,Male,2,18,8.4e-4
t3289,Male,2,19,8.7e-4
t3289,Male,2,20,9e-4
t3289,Male,2,21,0.00093000000000000005
t3289,Male,2,22,9.6e-4
t3289,Male,2,23,0.001
t3289,Male,2,24,0.00101
t3289,Male,2,25,0.00101
t3289,Male,3,1,1.2e-4
t3289,Male,3,2,1.1e-4
t3289,Male,3,3,1e-4
t3289,Male,3,4,1e-4
t3289,Male,3,5,9e-5
t3289,Male,3,6,9e-5
t3289,Male,3,7,9e-5
t3289,Male,3,8,1e-4
t3289,Male,3,9,1.1e-4
t3289,Male,3,10,1.4e-4
t3289,Male,3,11,2e-4
t3289,Male,3,12,2.9e-4
t3289,Male,3,13,4.2e-4
t3289,Male,3,14,5.9e-4
t3289,Male,3,15,7.8e-4
t3289,Male,3,16,8e-4
t3289,Male,3,17,8.4e-4
t3289,Male,3,18,8.7e-4
t3289,Male,3,19,9e-4
t3289,Male,3,20,0.00093000000000000005
t3289,Male,3,21,9.6e-4
t3289,Male,3,22,0.001
t3289,Male,3,23,0.00101
t3289,Male,3,24,0.00101
t3289,Male,3,25,0.001
t3289,Male,4,1,1.1e-4
t3289,Male,4,2,1e-4
t3289,Male,4,3,1e-4
t3289,Male,4,4,9e-5
t3289,Male,4,5,9e-5
t3289,Male,4,6,9e-5
