table,gender,attained_age,q_ult
t3289,Male,0,2.4e-4
t3289,Male,1,1.5e-4
t3289,Male,2,1.3e-4
t3289,Male,3,1.2e-4
t3289,Male,4,1.1e-4
t3289,Male,5,1e-4
t3289,Male,6,1e-4
t3289,Male,7,9e-5
t3289,Male,8,9e-5
t3289,Male,9,9e-5
t3289,Male,10,1e-4
t3289,Male,11,1.1e-4
t3289,Male,12,1.4e-4
t3289,Male,13,2e-4
t3289,Male,14,2.9e-4
t3289,Male,15,4.2e-4
t3289,Male,16,5.9e-4
t3289,Male,17,7.8e-4
t3289,Male,18,8e-4
t3289,Male,19,8.4e-4
t3289,Male,20,8.7e-4
t3289,Male,21,9e-4
t3289,Male,22,0.00093000000000000005
t3289,Male,23,9.6e-4
t3289,Male,24,0.001
t3289,Male,25,0.00101
t3289,Male,26,0.00101
t3289,Male,27,0.001
t3289,Male,28,9.8e-4
t3289,Male,29,9.8e-4
t3289,Male,30,0.001
t3289,Male,31,0.00105
t3289,Male,32,0.00113
t3289,Male,33,0.00121
t3289,Male,34,0.0013
t3289,Male,35,0.00141
t3289,Male,36,0.00154
t3289,Male,37,0.00169
t3289,Male,38,0.00183
t3289,Male,39,0.00198
t3289,Male,40,0.00213
t3289,Male,41,0.00227
t3289,Male,42,0.00239
t3289,Male,43,0.00244
t3289,Male,44,0.00251
t3289,Male,45,0.00257
t3289,Male,46,0.00264
t3289,Male,47,0.00271
t3289,Male,48,0.00277
t3289,Male,49,0.00287
t3289,Male,50,0.00301
t3289,Male,51,0.00319
t3289,Male,52,0.00339
t3289,Male,53,0.00363
t3289,Male,54,0.0039
t3289,Male,55,0.00422
t3289,Male,56,0.00458
t3289,Male,57,0.005
t3289,Male,58,0.00548
t3289,Male,59,0.00604
t3289,Male,60,0.00667
t3289,Male,61,0.0074
t3289,Male,62,0.00822
t3289,Male,63,0.00914
t3289,Male,64,0.01013
t3289,Male,65,0.01118
t3289,Male,66,0.0123
t3289,Male,67,0.0135
t3289,Male,68,0.01482
t3289,Male,69,0.01634
t3289,Male,70,0.01811
t3289,Male,71,0.0202
t3289,Male,72,0.02263
t3289,Male,73,0.02538
t3289,Male,74,0.02844
t3289,Male,75,0.03176
t3289,Male,76,0.03533
t3289,Male,77,0.03919
t3289,Male,78,0.04346
t3289,Male,79,0.048280000000000003
t3289,Male,80,0.05379
t3289,Male,81,0.05998
t3289,Male,82,0.06723
t3289,Male,83,0.07584
t3289,Male,84,0.08573
t3289,Male,85,0.09708
t3289,Male,86,0.10998
t3289,Male,87,0.12444
t3289,Male,88,0.14018
t3289,Male,89,0.15684
t3289,Male,90,0.17405
t3289,Male,91,0.19128
t3289,Male,92,0.20825
t3289,Male,93,0.22451
t3289,Male,94,0.23932
t3289,Male,95,0.25486
t3289,Male,96,0.27329
t3289,Male,97,0.29327
t3289,Male,98,0.31494
t3289,Male,99,0.33788
t3289,Male,100,0.36089
t3289,Male,101,0.38306
t3289,Male,102,0.40502
t3289,Male,103,0.42637
t3289,Male,104,0.44673
t3289,Male,105,0.4657
t3289,Male,106,0.48631
t3289,Male,107,0.51238
t3289,Male,108,0.53981
t3289,Male,109,0.56867
t3289,Male,110,0.59903
t3289,Male,111,0.63096
t3289,Male,112,0.66453
t3289,Male,113,0.69981
t3289,Male,114,0.73687
t3289,Male,115,0.77578
t3289,Male,116,0.8166
t3289,Male,117,0.8594
t3289,Male,118,0.90421
t3289,Male,119,0.95108
t3289,Male,120,1
t3290,Female,0,2.6e-4
t3290,Female,1,1.4e-4
t3290,Female,2,9e-5
t3290,Female,3,8e-5
t3290,Female,4,8e-5
t3290,Female,5,9e-5
t3290,Female,6,9e-5
t3290,Female,7,8e-5
t3290,Female,8,8e-5
t3290,Female,9,8e-5
t3290,Female,10,9e-5
t3290,Female,11,9e-5
t3290,Female,12,8e-5
t3290,Female,13,9e-5
t3290,Female,14,1.5e-4
t3290,Female,15,2.3e-4
t3290,Female,16,3e-4
t3290,Female,17,3.3e-4
t3290,Female,18,3.3e-4
t3290,Female,19,3.3e-4
t3290,Female,20,3.2e-4
t3290,Female,21,3.2e-4
t3290,Female,22,3.3e-4
t3290,Female,23,3.6e-4
t3290,Female,24,4e-4
t3290,Female,25,4e-4
t3290,Female,26,4.1e-4
t3290,Female,27,4.1e-4
t3290,Female,28,4.3e-4
t3290,Female,29,4.6e-4
t3290,Female,30,4.9e-4
t3290,Female,31,5.3e-4
t3290,Female,32,5.7e-4
t3290,Female,33,6.2e-4
t3290,Female,34,6.9e-4
t3290,Female,35,7.7e-4
t3290,Female,36,8.6e-4
t3290,Female,37,9.5e-4
t3290,Female,38,0.00104
t3290,Female,39,0.00111
t3290,Female,40,0.00117
t3290,Female,41,0.00122
t3290,Female,42,0.00126
t3290,Female,43,0.00131
t3290,Female,44,0.00136
t3290,Female,45,0.00144
t3290,Female,46,0.00155
t3290,Female,47,0.00167
t3290,Female,48,0.0018
t3290,Female,49,0.00194
t3290,Female,50,0.00211
t3290,Female,51,0.00228
t3290,Female,52,0.00248
t3290,Female,53,0.00271
t3290,Female,54,0.00295
t3290,Female,55,0.00322
t3290,Female,56,0.00353
t3290,Female,57,0.00387
t3290,Female,58,0.00426
t3290,Female,59,0.00469
t3290,Female,60,0.00519
t3290,Female,61,0.00575
t3290,Female,62,0.00639
t3290,Female,63,0.0071
t3290,Female,64,0.00789
t3290,Female,65,0.00877
t3290,Female,66,0.00975
t3290,Female,67,0.01084
t3290,Female,68,0.01203
t3290,Female,69,0.01335
t3290,Female,70,0.01478
t3290,Female,71,0.01635
t3290,Female,72,0.01806
t3290,Female,73,0.01997
t3290,Female,74,0.0221
t3290,Female,75,0.02451
t3290,Female,76,0.02725
t3290,Female,77,0.03034
t3290,Female,78,0.03381
t3290,Female,79,0.03774
t3290,Female,80,0.04232
t3290,Female,81,0.04767
t3290,Female,82,0.05373
t3290,Female,83,0.06066
t3290,Female,84,0.06859
t3290,Female,85,0.07766
t3290,Female,86,0.08775
t3290,Female,87,0.09876
t3290,Female,88,0.11084
t3290,Female,89,0.12397
t3290,Female,90,0.13792
t3290,Female,91,0.15267
t3290,Female,92,0.16839
t3290,Female,93,0.18449
t3290,Female,94,0.20089
t3290,Female,95,0.21964
t3290,Female,96,0.24141
t3290,Female,97,0.26493
t3290,Female,98,0.28997
t3290,Female,99,0.31612
t3290,Female,100,0.34218
t3290,Female,101,0.36726
t3290,Female,102,0.39191
t3290,Female,103,0.41572
t3290,Female,104,0.43829
t3290,Female,105,0.45924
t3290,Female,106,0.48109
t3290,Female,107,0.50727
t3290,Female,108,0.53485
t3290,Female,109,0.56389
t3290,Female,110,0.59447
t3290,Female,111,0.62665
t3290,Female,112,0.66051
t3290,Female,113,0.69612
t3290,Female,114,0.73355
t3290,Female,115,0.77288
t3290,Female,116,0.81418
t3290,Female,117,0.8575
t3290,Female,118,0.90289
t3290,Female,119,0.95039
t3290,Female,120,1
