issue_age,attained_age,duration,table,gender,q_sel,q_ult
0,0,1,t3287,Male,2.8e-4,2.8e-4
0,1,2,t3287,Male,1.6e-4,1.6e-4
0,2,3,t3287,Male,1.4e-4,1.4e-4
0,3,4,t3287,Male,1.2e-4,1.2e-4
0,4,5,t3287,Male,1.1e-4,1.1e-4
0,5,6,t3287,Male,1e-4,1e-4
0,6,7,t3287,Male,1e-4,1e-4
0,7,8,t3287,Male,1e-4,1e-4
0,8,9,t3287,Male,9e-5,9e-5
0,9,10,t3287,Male,9e-5,9e-5
0,10,11,t3287,Male,9e-5,9e-5
0,11,12,t3287,Male,1e-4,1e-4
0,12,13,t3287,Male,1.2e-4,1.2e-4
0,13,14,t3287,Male,1.6e-4,1.6e-4
0,14,15,t3287,Male,2.3e-4,2.3e-4
0,15,16,t3287,Male,3.5e-4,3.5e-4
0,16,17,t3287,Male,5e-4,5e-4
0,17,18,t3287,Male,6.9e-4,6.9e-4
0,18,19,t3287,Male,8.3e-4,8.3e-4
0,19,20,t3287,Male,8.6e-4,8.6e-4
0,20,21,t3287,Male,9e-4,9e-4
0,21,22,t3287,Male,0.00093000000000000005,0.00093000000000000005
0,22,23,t3287,Male,9.6e-4,9.6e-4
0,23,24,t3287,Male,9.9e-4,9.9e-4
0,24,25,t3287,Male,0.00102,0.00102
0,25,26,t3287,Male,NA,0.00105
0,26,27,t3287,Male,NA,0.00105
0,27,28,t3287,Male,NA,0.00103
0,28,29,t3287,Male,NA,0.00101
0,29,30,t3287,Male,NA,0.001
0,30,31,t3287,Male,NA,0.001
0,31,32,t3287,Male,NA,0.00104
0,32,33,t3287,Male,NA,0.00111
0,33,34,t3287,Male,NA,0.00119
0,34,35,t3287,Male,NA,0.00128
0,35,36,t3287,Male,NA,0.00137
0,36,37,t3287,Male,NA,0.0015
0,37,38,t3287,Male,NA,0.00162
0,38,39,t3287,Male,NA,0.00176
0,39,40,t3287,Male,NA,0.0019
0,40,41,t3287,Male,NA,0.00206
0,41,42,t3287,Male,NA,0.00221
0,42,43,t3287,Male,NA,0.00234
0,43,44,t3287,Male,NA,0.0024
0,44,45,t3287,Male,NA,0.00247
0,45,46,t3287,Male,NA,0.00254
0,46,47,t3287,Male,NA,0.00261
0,47,48,t3287,Male,NA,0.00267
0,48,49,t3287,Male,NA,0.00274
0,49,50,t3287,Male,NA,0.00281
0,50,51,t3287,Male,NA,0.00293
0,51,52,t3287,Male,NA,0.00309
0,52,53,t3287,Male,NA,0.00328
0,53,54,t3287,Male,NA,0.0035
0,54,55,t3287,Male,NA,0.00375
0,55,56,t3287,Male,NA,0.00405
0,56,57,t3287,Male,NA,0.00439
0,57,58,t3287,Male,NA,0.00478
0,58,59,t3287,Male,NA,0.00522
0,59,60,t3287,Male,NA,0.00574
0,60,61,t3287,Male,NA,0.00633
0,61,62,t3287,Male,NA,0.00702
0,62,63,t3287,Male,NA,0.00779
0,63,64,t3287,Male,NA,0.00866
0,64,65,t3287,Male,NA,0.00962
0,65,66,t3287,Male,NA,0.01064
0,66,67,t3287,Male,NA,0.01173
0,67,68,t3287,Male,NA,0.01288
0,68,69,t3287,Male,NA,0.01413
