table,gender,issue_age,duration,q_sel
t3287,Male,0,1,2.8e-4
t3287,Male,0,2,1.6e-4
t3287,Male,0,3,1.4e-4
t3287,Male,0,4,1.2e-4
t3287,Male,0,5,1.1e-4
t3287,Male,0,6,1e-4
t3287,Male,0,7,1e-4
t3287,Male,0,8,1e-4
t3287,Male,0,9,9e-5
t3287,Male,0,10,9e-5
t3287,Male,0,11,9e-5
t3287,Male,0,12,1e-4
t3287,Male,0,13,1.2e-4
t3287,Male,0,14,1.6e-4
t3287,Male,0,15,2.3e-4
t3287,Male,0,16,3.5e-4
t3287,Male,0,17,5e-4
t3287,Male,0,18,6.9e-4
t3287,Male,0,19,8.3e-4
t3287,Male,0,20,8.6e-4
t3287,Male,0,21,9e-4
t3287,Male,0,22,0.00093000000000000005
t3287,Male,0,23,9.6e-4
t3287,Male,0,24,9.9e-4
t3287,Male,0,25,0.00102
t3287,Male,1,1,1.6e-4
t3287,Male,1,2,1.4e-4
t3287,Male,1,3,1.2e-4
t3287,Male,1,4,1.1e-4
t3287,Male,1,5,1e-4
t3287,Male,1,6,1e-4
t3287,Male,1,7,1e-4
t3287,Male,1,8,9e-5
t3287,Male,1,9,9e-5
t3287,Male,1,10,9e-5
t3287,Male,1,11,1e-4
t3287,Male,1,12,1.2e-4
t3287,Male,1,13,1.6e-4
t3287,Male,1,14,2.3e-4
t3287,Male,1,15,3.5e-4
t3287,Male,1,16,5e-4
t3287,Male,1,17,6.9e-4
t3287,Male,1,18,8.3e-4
t3287,Male,1,19,8.6e-4
t3287,Male,1,20,9e-4
t3287,Male,1,21,0.00093000000000000005
t3287,Male,1,22,9.6e-4
t3287,Male,1,23,9.9e-4
t3287,Male,1,24,0.00102
t3287,Male,1,25,0.00105
t3287,Male,2,1,1.4e-4
t3287,Male,2,2,1.2e-4
t3287,Male,2,3,1.1e-4
t3287,Male,2,4,1e-4
t3287,Male,2,5,1e-4
t3287,Male,2,6,1e-4
t3287,Male,2,7,9e-5
t3287,Male,2,8,9e-5
t3287,Male,2,9,9e-5
t3287,Male,2,10,1e-4
t3287,Male,2,11,1.2e-4
t3287,Male,2,12,1.6e-4
t3287,Male,2,13,2.3e-4
t3287,Male,2,14,3.5e-4
t3287,Male,2,15,5e-4
t3287,Male,2,16,6.9e-4
t3287,Male,2,17,8.3e-4
t3287,Male,2,18,8.6e-4
t3287,Male,2,19,9e-4
t3287,Male,2,20,0.00093000000000000005
t3287,Male,2,21,9.6e-4
t3287,Male,2,22,9.9e-4
t3287,Male,2,23,0.00102
t3287,Male,2,24,0.00105
t3287,Male,2,25,0.00105
t3287,Male,3,1,1.2e-4
t3287,Male,3,2,1.1e-4
t3287,Male,3,3,1e-4
t3287,Male,3,4,1e-4
t3287,Male,3,5,1e-4
t3287,Male,3,6,9e-5
t3287,Male,3,7,9e-5
t3287,Male,3,8,9e-5
t3287,Male,3,9,1e-4
t3287,Male,3,10,1.2e-4
t3287,Male,3,11,1.6e-4
t3287,Male,3,12,2.3e-4
t3287,Male,3,13,3.5e-4
t3287,Male,3,14,5e-4
t3287,Male,3,15,6.9e-4
t3287,Male,3,16,8.3e-4
t3287,Male,3,17,8.6e-4
t3287,Male,3,18,9e-4
t3287,Male,3,19,0.00093000000000000005
t3287,Male,3,20,9.6e-4
t3287,Male,3,21,9.9e-4
t3287,Male,3,22,0.00102
t3287,Male,3,23,0.00105
t3287,Male,3,24,0.00105
t3287,Male,3,25,0.00103
t3287,Male,4,1,1.1e-4
t3287,Male,4,2,1e-4
t3287,Male,4,3,1e-4
t3287,Male,4,4,1e-4
t3287,Male,4,5,9e-5
t3287,Male,4,6,9e-5
t3287,Male,4,7,9e-5
t3287,Male,4,8,1e-4
t3287,Male,4,9,1.2e-4
t3287,Male,4,10,1.6e-4
t3287,Male,4,11,2.3e-4
t3287,Male,4,12,3.5e-4
t3287,Male,4,13,5e-4
t3287,Male,4,14,6.9e-4
t3287,Male,4,15,8.3e-4
t3287,Male,4,16,8.6e-4
t3287,Male,4,17,9e-4
t3287,Male,4,18,0.00093000000000000005
t3287,Male,4,19,9.6e-4
t3287,Male,4,20,9.9e-4
t3287,Male,4,21,0.00102
t3287,Male,4,22,0.00105
t3287,Male,4,23,0.00105
t3287,Male,4,24,0.00103
t3287,Male,4,25,0.00101
t3287,Male,5,1,1e-4
t3287,Male,5,2,1e-4
t3287,Male,5,3,1e-4
t3287,Male,5,4,9e-5
t3287,Male,5,5,9e-5
t3287,Male,5,6,9e-5
t3287,Male,5,7,1e-4
t3287,Male,5,8,1.2e-4
t3287,Male,5,9,1.6e-4
t3287,Male,5,10,2.3e-4
t3287,Male,5,11,3.5e-4
t3287,Male,5,12,5e-4
t3287,Male,5,13,6.9e-4
t3287,Male,5,14,8.3e-4
t3287,Male,5,15,8.6e-4
t3287,Male,5,16,9e-4
t3287,Male,5,17,0.00093000000000000005
t3287,Male,5,18,9.6e-4
t3287,Male,5,19,9.9e-4
t3287,Male,5,20,0.00102
t3287,Male,5,21,0.00105
t3287,Male,5,22,0.00105
t3287,Male,5,23,0.00103
t3287,Male,5,24,0.00101
t3287,Male,5,25,0.001
t3287,Male,6,1,1e-4
t3287,Male,6,2,1e-4
t3287,Male,6,3,9e-5
t3287,Male,6,4,9e-5
t3287,Male,6,5,9e-5
t3287,Male,6,6,1e-4
t3287,Male,6,7,1.2e-4
t3287,Male,6,8,1.6e-4
t3287,Male,6,9,2.3e-4
t3287,Male,6,10,3.5e-4
t3287,Male,6,11,5e-4
