table,gender,attained_age,q_ult
t3287,Male,0,2.8e-4
t3287,Male,1,1.6e-4
t3287,Male,2,1.4e-4
t3287,Male,3,1.2e-4
t3287,Male,4,1.1e-4
t3287,Male,5,1e-4
t3287,Male,6,1e-4
t3287,Male,7,1e-4
t3287,Male,8,9e-5
t3287,Male,9,9e-5
t3287,Male,10,9e-5
t3287,Male,11,1e-4
t3287,Male,12,1.2e-4
t3287,Male,13,1.6e-4
t3287,Male,14,2.3e-4
t3287,Male,15,3.5e-4
t3287,Male,16,5e-4
t3287,Male,17,6.9e-4
t3287,Male,18,8.3e-4
t3287,Male,19,8.6e-4
t3287,Male,20,9e-4
t3287,Male,21,0.00093000000000000005
t3287,Male,22,9.6e-4
t3287,Male,23,9.9e-4
t3287,Male,24,0.00102
t3287,Male,25,0.00105
t3287,Male,26,0.00105
t3287,Male,27,0.00103
t3287,Male,28,0.00101
t3287,Male,29,0.001
t3287,Male,30,0.001
t3287,Male,31,0.00104
t3287,Male,32,0.00111
t3287,Male,33,0.00119
t3287,Male,34,0.00128
t3287,Male,35,0.00137
t3287,Male,36,0.0015
t3287,Male,37,0.00162
t3287,Male,38,0.00176
t3287,Male,39,0.0019
t3287,Male,40,0.00206
t3287,Male,41,0.00221
t3287,Male,42,0.00234
t3287,Male,43,0.0024
t3287,Male,44,0.00247
t3287,Male,45,0.00254
t3287,Male,46,0.00261
t3287,Male,47,0.00267
t3287,Male,48,0.00274
t3287,Male,49,0.00281
t3287,Male,50,0.00293
t3287,Male,51,0.00309
t3287,Male,52,0.00328
t3287,Male,53,0.0035
t3287,Male,54,0.00375
t3287,Male,55,0.00405
t3287,Male,56,0.00439
t3287,Male,57,0.00478
t3287,Male,58,0.00522
t3287,Male,59,0.00574
t3287,Male,60,0.00633
t3287,Male,61,0.00702
t3287,Male,62,0.00779
t3287,Male,63,0.00866
t3287,Male,64,0.00962
t3287,Male,65,0.01064
t3287,Male,66,0.01173
t3287,Male,67,0.01288
t3287,Male,68,0.01413
t3287,Male,69,0.01553
t3287,Male,70,0.01716
t3287,Male,71,0.01909
t3287,Male,72,0.02134
t3287,Male,73,0.02394
t3287,Male,74,0.02686
t3287,Male,75,0.03006
t3287,Male,76,0.03351
t3287,Male,77,0.03722
t3287,Male,78,0.04125
t3287,Male,79,0.04577
t3287,Male,80,0.05091
t3287,Male,81,0.05683
t3287,Male,82,0.06333
t3287,Male,83,0.07139
t3287,Male,84,0.08063
t3287,Male,85,0.09127
t3287,Male,86,0.10347
t3287,Male,87,0.11724
t3287,Male,88,0.13258
t3287,Male,89,0.14894
t3287,Male,90,0.16612
t3287,Male,91,0.18355
t3287,Male,92,0.20075
