issue_age,attained_age,duration,table,gender_blend,q_sel,q_ult
0,0,1,t3282,20% Male,2.6e-4,2.6e-4
0,1,2,t3282,20% Male,1.4e-4,1.4e-4
0,2,3,t3282,20% Male,1e-4,1e-4
0,3,4,t3282,20% Male,9e-5,9e-5
0,4,5,t3282,20% Male,9e-5,9e-5
0,5,6,t3282,20% Male,9e-5,9e-5
0,6,7,t3282,20% Male,9e-5,9e-5
0,7,8,t3282,20% Male,8e-5,8e-5
0,8,9,t3282,20% Male,8e-5,8e-5
0,9,10,t3282,20% Male,8e-5,8e-5
0,10,11,t3282,20% Male,9e-5,9e-5
0,11,12,t3282,20% Male,9e-5,9e-5
0,12,13,t3282,20% Male,9e-5,9e-5
0,13,14,t3282,20% Male,1.1e-4,1.1e-4
0,14,15,t3282,20% Male,1.8e-4,1.8e-4
0,15,16,t3282,20% Male,2.7e-4,2.7e-4
0,16,17,t3282,20% Male,3.6e-4,3.6e-4
0,17,18,t3282,20% Male,4.2e-4,4.2e-4
0,18,19,t3282,20% Male,4.2e-4,4.2e-4
0,19,20,t3282,20% Male,4.3e-4,4.3e-4
0,20,21,t3282,20% Male,4.3e-4,4.3e-4
0,21,22,t3282,20% Male,4.4e-4,4.4e-4
0,22,23,t3282,20% Male,4.5e-4,4.5e-4
0,23,24,t3282,20% Male,4.8e-4,4.8e-4
0,24,25,t3282,20% Male,5.2e-4,5.2e-4
0,25,26,t3282,20% Male,NA,5.2e-4
0,26,27,t3282,20% Male,NA,5.3e-4
0,27,28,t3282,20% Male,NA,5.3e-4
0,28,29,t3282,20% Male,NA,5.4e-4
0,29,30,t3282,20% Male,NA,5.6e-4
0,30,31,t3282,20% Male,NA,5.9e-4
0,31,32,t3282,20% Male,NA,6.3e-4
0,32,33,t3282,20% Male,NA,6.8e-4
0,33,34,t3282,20% Male,NA,7.4e-4
0,34,35,t3282,20% Male,NA,8.1e-4
0,35,36,t3282,20% Male,NA,9e-4
0,36,37,t3282,20% Male,NA,0.001
0,37,38,t3282,20% Male,NA,0.0011
0,38,39,t3282,20% Male,NA,0.0012
0,39,40,t3282,20% Male,NA,0.00128
0,40,41,t3282,20% Male,NA,0.00136
0,41,42,t3282,20% Male,NA,0.00143
0,42,43,t3282,20% Male,NA,0.00149
0,43,44,t3282,20% Male,NA,0.00154
0,44,45,t3282,20% Male,NA,0.00159
