table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,0,1,2.6e-4
t3282,20% Male,0,2,1.4e-4
t3282,20% Male,0,3,1e-4
t3282,20% Male,0,4,9e-5
t3282,20% Male,0,5,9e-5
t3282,20% Male,0,6,9e-5
t3282,20% Male,0,7,9e-5
t3282,20% Male,0,8,8e-5
t3282,20% Male,0,9,8e-5
t3282,20% Male,0,10,8e-5
t3282,20% Male,0,11,9e-5
t3282,20% Male,0,12,9e-5
t3282,20% Male,0,13,9e-5
t3282,20% Male,0,14,1.1e-4
t3282,20% Male,0,15,1.8e-4
t3282,20% Male,0,16,2.7e-4
t3282,20% Male,0,17,3.6e-4
t3282,20% Male,0,18,4.2e-4
t3282,20% Male,0,19,4.2e-4
t3282,20% Male,0,20,4.3e-4
t3282,20% Male,0,21,4.3e-4
t3282,20% Male,0,22,4.4e-4
t3282,20% Male,0,23,4.5e-4
t3282,20% Male,0,24,4.8e-4
t3282,20% Male,0,25,5.2e-4
t3282,20% Male,1,1,1.4e-4
t3282,20% Male,1,2,1e-4
t3282,20% Male,1,3,9e-5
t3282,20% Male,1,4,9e-5
t3282,20% Male,1,5,9e-5
t3282,20% Male,1,6,9e-5
t3282,20% Male,1,7,8e-5
t3282,20% Male,1,8,8e-5
t3282,20% Male,1,9,8e-5
t3282,20% Male,1,10,9e-5
t3282,20% Male,1,11,9e-5
t3282,20% Male,1,12,9e-5
t3282,20% Male,1,13,1.1e-4
t3282,20% Male,1,14,1.8e-4
t3282,20% Male,1,15,2.7e-4
t3282,20% Male,1,16,3.6e-4
t3282,20% Male,1,17,4.2e-4
t3282,20% Male,1,18,4.2e-4
t3282,20% Male,1,19,4.3e-4
t3282,20% Male,1,20,4.3e-4
t3282,20% Male,1,21,4.4e-4
t3282,20% Male,1,22,4.5e-4
t3282,20% Male,1,23,4.8e-4
t3282,20% Male,1,24,5.2e-4
t3282,20% Male,1,25,5.2e-4
t3282,20% Male,2,1,1e-4
t3282,20% Male,2,2,9e-5
t3282,20% Male,2,3,9e-5
t3282,20% Male,2,4,9e-5
t3282,20% Male,2,5,9e-5
t3282,20% Male,2,6,8e-5
t3282,20% Male,2,7,8e-5
t3282,20% Male,2,8,8e-5
t3282,20% Male,2,9,9e-5
t3282,20% Male,2,10,9e-5
t3282,20% Male,2,11,9e-5
t3282,20% Male,2,12,1.1e-4
t3282,20% Male,2,13,1.8e-4
t3282,20% Male,2,14,2.7e-4
t3282,20% Male,2,15,3.6e-4
t3282,20% Male,2,16,4.2e-4
t3282,20% Male,2,17,4.2e-4
t3282,20% Male,2,18,4.3e-4
t3282,20% Male,2,19,4.3e-4
t3282,20% Male,2,20,4.4e-4
t3282,20% Male,2,21,4.5e-4
t3282,20% Male,2,22,4.8e-4
t3282,20% Male,2,23,5.2e-4
t3282,20% Male,2,24,5.2e-4
t3282,20% Male,2,25,5.3e-4
t3282,20% Male,3,1,9e-5
t3282,20% Male,3,2,9e-5
t3282,20% Male,3,3,9e-5
t3282,20% Male,3,4,9e-5
t3282,20% Male,3,5,8e-5
t3282,20% Male,3,6,8e-5
t3282,20% Male,3,7,8e-5
t3282,20% Male,3,8,9e-5
t3282,20% Male,3,9,9e-5
t3282,20% Male,3,10,9e-5
t3282,20% Male,3,11,1.1e-4
t3282,20% Male,3,12,1.8e-4
t3282,20% Male,3,13,2.7e-4
t3282,20% Male,3,14,3.6e-4
t3282,20% Male,3,15,4.2e-4
t3282,20% Male,3,16,4.2e-4
t3282,20% Male,3,17,4.3e-4
t3282,20% Male,3,18,4.3e-4
t3282,20% Male,3,19,4.4e-4
t3282,20% Male,3,20,4.5e-4
t3282,20% Male,3,21,4.8e-4
t3282,20% Male,3,22,5.2e-4
t3282,20% Male,3,23,5.2e-4
t3282,20% Male,3,24,5.3e-4
t3282,20% Male,3,25,5.3e-4
t3282,20% Male,4,1,9e-5
t3282,20% Male,4,2,9e-5
t3282,20% Male,4,3,9e-5
t3282,20% Male,4,4,8e-5
t3282,20% Male,4,5,8e-5
t3282,20% Male,4,6,8e-5
t3282,20% Male,4,7,9e-5
t3282,20% Male,4,8,9e-5
t3282,20% Male,4,9,9e-5
t3282,20% Male,4,10,1.1e-4
t3282,20% Male,4,11,1.8e-4
t3282,20% Male,4,12,2.7e-4
