table,gender_blend,attained_age,q_ult
t3282,20% Male,0,2.6e-4
t3282,20% Male,1,1.4e-4
t3282,20% Male,2,1e-4
t3282,20% Male,3,9e-5
t3282,20% Male,4,9e-5
t3282,20% Male,5,9e-5
t3282,20% Male,6,9e-5
t3282,20% Male,7,8e-5
t3282,20% Male,8,8e-5
t3282,20% Male,9,8e-5
t3282,20% Male,10,9e-5
t3282,20% Male,11,9e-5
t3282,20% Male,12,9e-5
t3282,20% Male,13,1.1e-4
t3282,20% Male,14,1.8e-4
t3282,20% Male,15,2.7e-4
t3282,20% Male,16,3.6e-4
t3282,20% Male,17,4.2e-4
t3282,20% Male,18,4.2e-4
t3282,20% Male,19,4.3e-4
t3282,20% Male,20,4.3e-4
t3282,20% Male,21,4.4e-4
t3282,20% Male,22,4.5e-4
t3282,20% Male,23,4.8e-4
t3282,20% Male,24,5.2e-4
t3282,20% Male,25,5.2e-4
t3282,20% Male,26,5.3e-4
t3282,20% Male,27,5.3e-4
t3282,20% Male,28,5.4e-4
t3282,20% Male,29,5.6e-4
t3282,20% Male,30,5.9e-4
t3282,20% Male,31,6.3e-4
t3282,20% Male,32,6.8e-4
t3282,20% Male,33,7.4e-4
t3282,20% Male,34,8.1e-4
t3282,20% Male,35,9e-4
t3282,20% Male,36,0.001
t3282,20% Male,37,0.0011
t3282,20% Male,38,0.0012
t3282,20% Male,39,0.00128
t3282,20% Male,40,0.00136
t3282,20% Male,41,0.00143
t3282,20% Male,42,0.00149
t3282,20% Male,43,0.00154
t3282,20% Male,44,0.00159
t3282,20% Male,45,0.00167
t3282,20% Male,46,0.00177
t3282,20% Male,47,0.00188
t3282,20% Male,48,0.00199
t3282,20% Male,49,0.00213
t3282,20% Male,50,0.00229
t3282,20% Male,51,0.00246
t3282,20% Male,52,0.00266
t3282,20% Male,53,0.00289
t3282,20% Male,54,0.00314
t3282,20% Male,55,0.00342
t3282,20% Male,56,0.00374
t3282,20% Male,57,0.0041
t3282,20% Male,58,0.0045
t3282,20% Male,59,0.00496
t3282,20% Male,60,0.00549
t3282,20% Male,61,0.00608
t3282,20% Male,62,0.00676
t3282,20% Male,63,0.00751
t3282,20% Male,64,0.00834
t3282,20% Male,65,0.00925
t3282,20% Male,66,0.01026
t3282,20% Male,67,0.01137
t3282,20% Male,68,0.01259
t3282,20% Male,69,0.01395
t3282,20% Male,70,0.01545
t3282,20% Male,71,0.01712
t3282,20% Male,72,0.01897
t3282,20% Male,73,0.02105
t3282,20% Male,74,0.02337
t3282,20% Male,75,0.02596
t3282,20% Male,76,0.02887
t3282,20% Male,77,0.03211
t3282,20% Male,78,0.03574
t3282,20% Male,79,0.03985
t3282,20% Male,80,0.04461
t3282,20% Male,81,0.05013
t3282,20% Male,82,0.05643
t3282,20% Male,83,0.0637
t3282,20% Male,84,0.07202
t3282,20% Male,85,0.08154
t3282,20% Male,86,0.0922
t3282,20% Male,87,0.1039
t3282,20% Male,88,0.11671
t3282,20% Male,89,0.13054
t3282,20% Male,90,0.14515
t3282,20% Male,91,0.16039
t3282,20% Male,92,0.17636
t3282,20% Male,93,0.19249
t3282,20% Male,94,0.20858
t3282,20% Male,95,0.22668
t3282,20% Male,96,0.24779
t3282,20% Male,97,0.2706
t3282,20% Male,98,0.29496
t3282,20% Male,99,0.32047
t3282,20% Male,100,0.34592
t3282,20% Male,101,0.37042
t3282,20% Male,102,0.39453
t3282,20% Male,103,0.41785
t3282,20% Male,104,0.43998
t3282,20% Male,105,0.46053
t3282,20% Male,106,0.48213
t3282,20% Male,107,0.50829
t3282,20% Male,108,0.53584
t3282,20% Male,109,0.56485
t3282,20% Male,110,0.59538
t3282,20% Male,111,0.62751
t3282,20% Male,112,0.66131
t3282,20% Male,113,0.69686
t3282,20% Male,114,0.73421
t3282,20% Male,115,0.77346
t3282,20% Male,116,0.81466
t3282,20% Male,117,0.85788
t3282,20% Male,118,0.90315
t3282,20% Male,119,0.95053
t3282,20% Male,120,1
t3283,40% Male,0,2.5e-4
t3283,40% Male,1,1.4e-4
t3283,40% Male,2,1.1e-4
t3283,40% Male,3,1e-4
t3283,40% Male,4,9e-5
t3283,40% Male,5,9e-5
t3283,40% Male,6,9e-5
t3283,40% Male,7,8e-5
