issue_age,attained_age,duration,table,gender_blend,q_sel,q_ult
0,0,1,t3277,20% Male,3e-4,3e-4
0,1,2,t3277,20% Male,1.7e-4,1.7e-4
0,2,3,t3277,20% Male,1.2e-4,1.2e-4
0,3,4,t3277,20% Male,9e-5,9e-5
0,4,5,t3277,20% Male,9e-5,9e-5
0,5,6,t3277,20% Male,8e-5,8e-5
0,6,7,t3277,20% Male,9e-5,9e-5
0,7,8,t3277,20% Male,9e-5,9e-5
0,8,9,t3277,20% Male,8e-5,8e-5
0,9,10,t3277,20% Male,8e-5,8e-5
0,10,11,t3277,20% Male,9e-5,9e-5
0,11,12,t3277,20% Male,9e-5,9e-5
0,12,13,t3277,20% Male,1e-4,1e-4
0,13,14,t3277,20% Male,1e-4,1e-4
0,14,15,t3277,20% Male,1.3e-4,1.3e-4
0,15,16,t3277,20% Male,2.2e-4,2.2e-4
0,16,17,t3277,20% Male,3.2e-4,3.2e-4
0,17,18,t3277,20% Male,3.9e-4,3.9e-4
0,18,19,t3277,20% Male,4.3e-4,4.3e-4
0,19,20,t3277,20% Male,4.4e-4,4.4e-4
0,20,21,t3277,20% Male,4.4e-4,4.4e-4
0,21,22,t3277,20% Male,4.5e-4,4.5e-4
0,22,23,t3277,20% Male,4.6e-4,4.6e-4
0,23,24,t3277,20% Male,4.8e-4,4.8e-4
0,24,25,t3277,20% Male,5.2e-4,5.2e-4
0,25,26,t3277,20% Male,NA,5.4e-4
0,26,27,t3277,20% Male,NA,5.4e-4
0,27,28,t3277,20% Male,NA,5.3e-4
0,28,29,t3277,20% Male,NA,5.4e-4
0,29,30,t3277,20% Male,NA,5.5e-4
0,30,31,t3277,20% Male,NA,5.8e-4
0,31,32,t3277,20% Male,NA,6.2e-4
0,32,33,t3277,20% Male,NA,6.5e-4
0,33,34,t3277,20% Male,NA,7.1e-4
0,34,35,t3277,20% Male,NA,7.8e-4
0,35,36,t3277,20% Male,NA,8.5e-4
0,36,37,t3277,20% Male,NA,9.5e-4
0,37,38,t3277,20% Male,NA,0.00105
0,38,39,t3277,20% Male,NA,0.00115
0,39,40,t3277,20% Male,NA,0.00124
0,40,41,t3277,20% Male,NA,0.00132
0,41,42,t3277,20% Male,NA,0.0014
0,42,43,t3277,20% Male,NA,0.00146
0,43,44,t3277,20% Male,NA,0.0015
0,44,45,t3277,20% Male,NA,0.00156
0,45,46,t3277,20% Male,NA,0.00161
0,46,47,t3277,20% Male,NA,0.00171
0,47,48,t3277,20% Male,NA,0.00181
0,48,49,t3277,20% Male,NA,0.00193
0,49,50,t3277,20% Male,NA,0.00206
0,50,51,t3277,20% Male,NA,0.0022
0,51,52,t3277,20% Male,NA,0.00237
0,52,53,t3277,20% Male,NA,0.00256
0,53,54,t3277,20% Male,NA,0.00277
0,54,55,t3277,20% Male,NA,0.00301
0,55,56,t3277,20% Male,NA,0.00327
0,56,57,t3277,20% Male,NA,0.00357
0,57,58,t3277,20% Male,NA,0.00391
0,58,59,t3277,20% Male,NA,0.00428
0,59,60,t3277,20% Male,NA,0.00472
0,60,61,t3277,20% Male,NA,0.00521
0,61,62,t3277,20% Male,NA,0.00577
0,62,63,t3277,20% Male,NA,0.0064
0,63,64,t3277,20% Male,NA,0.00711
0,64,65,t3277,20% Male,NA,0.0079
0,65,66,t3277,20% Male,NA,0.00878
0,66,67,t3277,20% Male,NA,0.00974
0,67,68,t3277,20% Male,NA,0.01079
0,68,69,t3277,20% Male,NA,0.01195
0,69,70,t3277,20% Male,NA,0.01323
0,70,71,t3277,20% Male,NA,0.01466
0,71,72,t3277,20% Male,NA,0.01624
0,72,73,t3277,20% Male,NA,0.018
0,73,74,t3277,20% Male,NA,0.01996
0,74,75,t3277,20% Male,NA,0.02216
0,75,76,t3277,20% Male,NA,0.02461
0,76,77,t3277,20% Male,NA,0.02734
0,77,78,t3277,20% Male,NA,0.03042
0,78,79,t3277,20% Male,NA,0.03384
0,79,80,t3277,20% Male,NA,0.03771
0,80,81,t3277,20% Male,NA,0.04207
0,81,82,t3277,20% Male,NA,0.04727
0,82,83,t3277,20% Male,NA,0.05315
0,83,84,t3277,20% Male,NA,0.05991
0,84,85,t3277,20% Male,NA,0.06772
0,85,86,t3277,20% Male,NA,0.07664
0,86,87,t3277,20% Male,NA,0.08686
0,87,88,t3277,20% Male,NA,0.09804
0,88,89,t3277,20% Male,NA,0.11039
0,89,90,t3277,20% Male,NA,0.12382
0,90,91,t3277,20% Male,NA,0.13822
0,91,92,t3277,20% Male,NA,0.15319
0,92,93,t3277,20% Male,NA,0.16891
0,93,94,t3277,20% Male,NA,0.18532
0,94,95,t3277,20% Male,NA,0.20129
0,95,96,t3277,20% Male,NA,0.21768
0,96,97,t3277,20% Male,NA,0.23817
0,97,98,t3277,20% Male,NA,0.26039
0,98,99,t3277,20% Male,NA,0.28439
0,99,100,t3277,20% Male,NA,0.30974
0,100,101,t3277,20% Male,NA,0.33601
0,101,102,t3277,20% Male,NA,0.36083
0,102,103,t3277,20% Male,NA,0.38542
0,103,104,t3277,20% Male,NA,0.40936
0,104,105,t3277,20% Male,NA,0.43223
0,105,106,t3277,20% Male,NA,0.45362
0,106,107,t3277,20% Male,NA,0.47317
0,107,108,t3277,20% Male,NA,0.49915
0,108,109,t3277,20% Male,NA,0.52655
0,109,110,t3277,20% Male,NA,0.55546
0,110,111,t3277,20% Male,NA,0.58596
0,111,112,t3277,20% Male,NA,0.61813
0,112,113,t3277,20% Male,NA,0.65207
0,113,114,t3277,20% Male,NA,0.68787
0,114,115,t3277,20% Male,NA,0.72564
0,115,116,t3277,20% Male,NA,0.76548
0,116,117,t3277,20% Male,NA,0.80751
0,117,118,t3277,20% Male,NA,0.85184
0,118,119,t3277,20% Male,NA,0.89862
0,119,120,t3277,20% Male,NA,0.94795
0,120,121,t3277,20% Male,NA,1
1,1,1,t3277,20% Male,1.7e-4,1.7e-4
1,2,2,t3277,20% Male,1.2e-4,1.2e-4
1,3,3,t3277,20% Male,9e-5,9e-5
1,4,4,t3277,20% Male,9e-5,9e-5
1,5,5,t3277,20% Male,8e-5,8e-5
1,6,6,t3277,20% Male,9e-5,9e-5
1,7,7,t3277,20% Male,9e-5,9e-5
1,8,8,t3277,20% Male,8e-5,8e-5
1,9,9,t3277,20% Male,8e-5,8e-5
1,10,10,t3277,20% Male,9e-5,9e-5
1,11,11,t3277,20% Male,9e-5,9e-5
1,12,12,t3277,20% Male,1e-4,1e-4
1,13,13,t3277,20% Male,1e-4,1e-4
1,14,14,t3277,20% Male,1.3e-4,1.3e-4
1,15,15,t3277,20% Male,2.2e-4,2.2e-4
1,16,16,t3277,20% Male,3.2e-4,3.2e-4
1,17,17,t3277,20% Male,3.9e-4,3.9e-4
1,18,18,t3277,20% Male,4.3e-4,4.3e-4
1,19,19,t3277,20% Male,4.4e-4,4.4e-4
1,20,20,t3277,20% Male,4.4e-4,4.4e-4
1,21,21,t3277,20% Male,4.5e-4,4.5e-4
1,22,22,t3277,20% Male,4.6e-4,4.6e-4
1,23,23,t3277,20% Male,4.8e-4,4.8e-4
1,24,24,t3277,20% Male,5.2e-4,5.2e-4
1,25,25,t3277,20% Male,5.4e-4,5.4e-4
1,26,26,t3277,20% Male,NA,5.4e-4
1,27,27,t3277,20% Male,NA,5.3e-4
1,28,28,t3277,20% Male,NA,5.4e-4
1,29,29,t3277,20% Male,NA,5.5e-4
1,30,30,t3277,20% Male,NA,5.8e-4
1,31,31,t3277,20% Male,NA,6.2e-4
1,32,32,t3277,20% Male,NA,6.5e-4
1,33,33,t3277,20% Male,NA,7.1e-4
1,34,34,t3277,20% Male,NA,7.8e-4
1,35,35,t3277,20% Male,NA,8.5e-4
1,36,36,t3277,20% Male,NA,9.5e-4
1,37,37,t3277,20% Male,NA,0.00105
1,38,38,t3277,20% Male,NA,0.00115
1,39,39,t3277,20% Male,NA,0.00124
1,40,40,t3277,20% Male,NA,0.00132
1,41,41,t3277,20% Male,NA,0.0014
1,42,42,t3277,20% Male,NA,0.00146
1,43,43,t3277,20% Male,NA,0.0015
1,44,44,t3277,20% Male,NA,0.00156
1,45,45,t3277,20% Male,NA,0.00161
1,46,46,t3277,20% Male,NA,0.00171
1,47,47,t3277,20% Male,NA,0.00181
1,48,48,t3277,20% Male,NA,0.00193
1,49,49,t3277,20% Male,NA,0.00206
1,50,50,t3277,20% Male,NA,0.0022
1,51,51,t3277,20% Male,NA,0.00237
1,52,52,t3277,20% Male,NA,0.00256
1,53,53,t3277,20% Male,NA,0.00277
1,54,54,t3277,20% Male,NA,0.00301
1,55,55,t3277,20% Male,NA,0.00327
1,56,56,t3277,20% Male,NA,0.00357
1,57,57,t3277,20% Male,NA,0.00391
1,58,58,t3277,20% Male,NA,0.00428
1,59,59,t3277,20% Male,NA,0.00472
1,60,60,t3277,20% Male,NA,0.00521
1,61,61,t3277,20% Male,NA,0.00577
1,62,62,t3277,20% Male,NA,0.0064
1,63,63,t3277,20% Male,NA,0.00711
1,64,64,t3277,20% Male,NA,0.0079
1,65,65,t3277,20% Male,NA,0.00878
1,66,66,t3277,20% Male,NA,0.00974
1,67,67,t3277,20% Male,NA,0.01079
1,68,68,t3277,20% Male,NA,0.01195
1,69,69,t3277,20% Male,NA,0.01323
1,70,70,t3277,20% Male,NA,0.01466
1,71,71,t3277,20% Male,NA,0.01624
1,72,72,t3277,20% Male,NA,0.018
1,73,73,t3277,20% Male,NA,0.01996
1,74,74,t3277,20% Male,NA,0.02216
1,75,75,t3277,20% Male,NA,0.02461
1,76,76,t3277,20% Male,NA,0.02734
1,77,77,t3277,20% Male,NA,0.03042
1,78,78,t3277,20% Male,NA,0.03384
1,79,79,t3277,20% Male,NA,0.03771
1,80,80,t3277,20% Male,NA,0.04207
1,81,81,t3277,20% Male,NA,0.04727
1,82,82,t3277,20% Male,NA,0.05315
1,83,83,t3277,20% Male,NA,0.05991
1,84,84,t3277,20% Male,NA,0.06772
1,85,85,t3277,20% Male,NA,0.07664
1,86,86,t3277,20% Male,NA,0.08686
1,87,87,t3277,20% Male,NA,0.09804
1,88,88,t3277,20% Male,NA,0.11039
1,89,89,t3277,20% Male,NA,0.12382
1,90,90,t3277,20% Male,NA,0.13822
1,91,91,t3277,20% Male,NA,0.15319
1,92,92,t3277,20% Male,NA,0.16891
1,93,93,t3277,20% Male,NA,0.18532
1,94,94,t3277,20% Male,NA,0.20129
1,95,95,t3277,20% Male,NA,0.21768
1,96,96,t3277,20% Male,NA,0.23817
1,97,97,t3277,20% Male,NA,0.26039
1,98,98,t3277,20% Male,NA,0.28439
1,99,99,t3277,20% Male,NA,0.30974
1,100,100,t3277,20% Male,NA,0.33601
1,101,101,t3277,20% Male,NA,0.36083
1,102,102,t3277,20% Male,NA,0.38542
1,103,103,t3277,20% Male,NA,0.40936
1,104,104,t3277,20% Male,NA,0.43223
1,105,105,t3277,20% Male,NA,0.45362
1,106,106,t3277,20% Male,NA,0.47317
1,107,107,t3277,20% Male,NA,0.49915
1,108,108,t3277,20% Male,NA,0.52655
1,109,109,t3277,20% Male,NA,0.55546
1,110,110,t3277,20% Male,NA,0.58596
1,111,111,t3277,20% Male,NA,0.61813
1,112,112,t3277,20% Male,NA,0.65207
1,113,113,t3277,20% Male,NA,0.68787
1,114,114,t3277,20% Male,NA,0.72564
1,115,115,t3277,20% Male,NA,0.76548
1,116,116,t3277,20% Male,NA,0.80751
1,117,117,t3277,20% Male,NA,0.85184
1,118,118,t3277,20% Male,NA,0.89862
1,119,119,t3277,20% Male,NA,0.94795
1,120,120,t3277,20% Male,NA,1
2,2,1,t3277,20% Male,1.2e-4,1.2e-4
2,3,2,t3277,20% Male,9e-5,9e-5
2,4,3,t3277,20% Male,9e-5,9e-5
2,5,4,t3277,20% Male,8e-5,8e-5
2,6,5,t3277,20% Male,9e-5,9e-5
2,7,6,t3277,20% Male,9e-5,9e-5
2,8,7,t3277,20% Male,8e-5,8e-5
2,9,8,t3277,20% Male,8e-5,8e-5
2,10,9,t3277,20% Male,9e-5,9e-5
2,11,10,t3277,20% Male,9e-5,9e-5
2,12,11,t3277,20% Male,1e-4,1e-4
2,13,12,t3277,20% Male,1e-4,1e-4
