table,gender_blend,issue_age,duration,q_sel
t3277,20% Male,0,1,3e-4
t3277,20% Male,0,2,1.7e-4
t3277,20% Male,0,3,1.2e-4
t3277,20% Male,0,4,9e-5
t3277,20% Male,0,5,9e-5
t3277,20% Male,0,6,8e-5
t3277,20% Male,0,7,9e-5
t3277,20% Male,0,8,9e-5
t3277,20% Male,0,9,8e-5
t3277,20% Male,0,10,8e-5
t3277,20% Male,0,11,9e-5
t3277,20% Male,0,12,9e-5
t3277,20% Male,0,13,1e-4
t3277,20% Male,0,14,1e-4
t3277,20% Male,0,15,1.3e-4
t3277,20% Male,0,16,2.2e-4
t3277,20% Male,0,17,3.2e-4
t3277,20% Male,0,18,3.9e-4
t3277,20% Male,0,19,4.3e-4
t3277,20% Male,0,20,4.4e-4
t3277,20% Male,0,21,4.4e-4
t3277,20% Male,0,22,4.5e-4
t3277,20% Male,0,23,4.6e-4
t3277,20% Male,0,24,4.8e-4
t3277,20% Male,0,25,5.2e-4
t3277,20% Male,1,1,1.7e-4
t3277,20% Male,1,2,1.2e-4
t3277,20% Male,1,3,9e-5
t3277,20% Male,1,4,9e-5
t3277,20% Male,1,5,8e-5
t3277,20% Male,1,6,9e-5
t3277,20% Male,1,7,9e-5
t3277,20% Male,1,8,8e-5
t3277,20% Male,1,9,8e-5
t3277,20% Male,1,10,9e-5
t3277,20% Male,1,11,9e-5
t3277,20% Male,1,12,1e-4
t3277,20% Male,1,13,1e-4
t3277,20% Male,1,14,1.3e-4
t3277,20% Male,1,15,2.2e-4
t3277,20% Male,1,16,3.2e-4
t3277,20% Male,1,17,3.9e-4
t3277,20% Male,1,18,4.3e-4
t3277,20% Male,1,19,4.4e-4
t3277,20% Male,1,20,4.4e-4
t3277,20% Male,1,21,4.5e-4
t3277,20% Male,1,22,4.6e-4
t3277,20% Male,1,23,4.8e-4
t3277,20% Male,1,24,5.2e-4
t3277,20% Male,1,25,5.4e-4
t3277,20% Male,2,1,1.2e-4
t3277,20% Male,2,2,9e-5
t3277,20% Male,2,3,9e-5
t3277,20% Male,2,4,8e-5
t3277,20% Male,2,5,9e-5
t3277,20% Male,2,6,9e-5
t3277,20% Male,2,7,8e-5
t3277,20% Male,2,8,8e-5
t3277,20% Male,2,9,9e-5
t3277,20% Male,2,10,9e-5
t3277,20% Male,2,11,1e-4
t3277,20% Male,2,12,1e-4
t3277,20% Male,2,13,1.3e-4
t3277,20% Male,2,14,2.2e-4
t3277,20% Male,2,15,3.2e-4
t3277,20% Male,2,16,3.9e-4
t3277,20% Male,2,17,4.3e-4
t3277,20% Male,2,18,4.4e-4
t3277,20% Male,2,19,4.4e-4
t3277,20% Male,2,20,4.5e-4
t3277,20% Male,2,21,4.6e-4
t3277,20% Male,2,22,4.8e-4
t3277,20% Male,2,23,5.2e-4
t3277,20% Male,2,24,5.4e-4
t3277,20% Male,2,25,5.4e-4
t3277,20% Male,3,1,9e-5
t3277,20% Male,3,2,9e-5
t3277,20% Male,3,3,8e-5
t3277,20% Male,3,4,9e-5
t3277,20% Male,3,5,9e-5
t3277,20% Male,3,6,8e-5
t3277,20% Male,3,7,8e-5
t3277,20% Male,3,8,9e-5
t3277,20% Male,3,9,9e-5
t3277,20% Male,3,10,1e-4
t3277,20% Male,3,11,1e-4
t3277,20% Male,3,12,1.3e-4
t3277,20% Male,3,13,2.2e-4
t3277,20% Male,3,14,3.2e-4
t3277,20% Male,3,15,3.9e-4
t3277,20% Male,3,16,4.3e-4
t3277,20% Male,3,17,4.4e-4
t3277,20% Male,3,18,4.4e-4
t3277,20% Male,3,19,4.5e-4
t3277,20% Male,3,20,4.6e-4
t3277,20% Male,3,21,4.8e-4
t3277,20% Male,3,22,5.2e-4
t3277,20% Male,3,23,5.4e-4
t3277,20% Male,3,24,5.4e-4
t3277,20% Male,3,25,5.3e-4
t3277,20% Male,4,1,9e-5
t3277,20% Male,4,2,8e-5
t3277,20% Male,4,3,9e-5
t3277,20% Male,4,4,9e-5
t3277,20% Male,4,5,8e-5
t3277,20% Male,4,6,8e-5
t3277,20% Male,4,7,9e-5
t3277,20% Male,4,8,9e-5
t3277,20% Male,4,9,1e-4
t3277,20% Male,4,10,1e-4
t3277,20% Male,4,11,1.3e-4
t3277,20% Male,4,12,2.2e-4
t3277,20% Male,4,13,3.2e-4
t3277,20% Male,4,14,3.9e-4
t3277,20% Male,4,15,4.3e-4
t3277,20% Male,4,16,4.4e-4
t3277,20% Male,4,17,4.4e-4
t3277,20% Male,4,18,4.5e-4
t3277,20% Male,4,19,4.6e-4
t3277,20% Male,4,20,4.8e-4
t3277,20% Male,4,21,5.2e-4
t3277,20% Male,4,22,5.4e-4
t3277,20% Male,4,23,5.4e-4
t3277,20% Male,4,24,5.3e-4
t3277,20% Male,4,25,5.4e-4
t3277,20% Male,5,1,8e-5
t3277,20% Male,5,2,9e-5
t3277,20% Male,5,3,9e-5
t3277,20% Male,5,4,8e-5
t3277,20% Male,5,5,8e-5
t3277,20% Male,5,6,9e-5
t3277,20% Male,5,7,9e-5
t3277,20% Male,5,8,1e-4
t3277,20% Male,5,9,1e-4
t3277,20% Male,5,10,1.3e-4
t3277,20% Male,5,11,2.2e-4
t3277,20% Male,5,12,3.2e-4
t3277,20% Male,5,13,3.9e-4
t3277,20% Male,5,14,4.3e-4
t3277,20% Male,5,15,4.4e-4
t3277,20% Male,5,16,4.4e-4
t3277,20% Male,5,17,4.5e-4
t3277,20% Male,5,18,4.6e-4
t3277,20% Male,5,19,4.8e-4
t3277,20% Male,5,20,5.2e-4
t3277,20% Male,5,21,5.4e-4
t3277,20% Male,5,22,5.4e-4
t3277,20% Male,5,23,5.3e-4
t3277,20% Male,5,24,5.4e-4
t3277,20% Male,5,25,5.5e-4
t3277,20% Male,6,1,9e-5
t3277,20% Male,6,2,9e-5
t3277,20% Male,6,3,8e-5
t3277,20% Male,6,4,8e-5
t3277,20% Male,6,5,9e-5
t3277,20% Male,6,6,9e-5
t3277,20% Male,6,7,1e-4
t3277,20% Male,6,8,1e-4
t3277,20% Male,6,9,1.3e-4
t3277,20% Male,6,10,2.2e-4
t3277,20% Male,6,11,3.2e-4
t3277,20% Male,6,12,3.9e-4
t3277,20% Male,6,13,4.3e-4
t3277,20% Male,6,14,4.4e-4
t3277,20% Male,6,15,4.4e-4
t3277,20% Male,6,16,4.5e-4
t3277,20% Male,6,17,4.6e-4
t3277,20% Male,6,18,4.8e-4
t3277,20% Male,6,19,5.2e-4
t3277,20% Male,6,20,5.4e-4
t3277,20% Male,6,21,5.4e-4
t3277,20% Male,6,22,5.3e-4
t3277,20% Male,6,23,5.4e-4
t3277,20% Male,6,24,5.5e-4
t3277,20% Male,6,25,5.8e-4
t3277,20% Male,7,1,9e-5
t3277,20% Male,7,2,8e-5
t3277,20% Male,7,3,8e-5
t3277,20% Male,7,4,9e-5
t3277,20% Male,7,5,9e-5
t3277,20% Male,7,6,1e-4
t3277,20% Male,7,7,1e-4
t3277,20% Male,7,8,1.3e-4
t3277,20% Male,7,9,2.2e-4
t3277,20% Male,7,10,3.2e-4
t3277,20% Male,7,11,3.9e-4
t3277,20% Male,7,12,4.3e-4
t3277,20% Male,7,13,4.4e-4
t3277,20% Male,7,14,4.4e-4
t3277,20% Male,7,15,4.5e-4
t3277,20% Male,7,16,4.6e-4
t3277,20% Male,7,17,4.8e-4
t3277,20% Male,7,18,5.2e-4
t3277,20% Male,7,19,5.4e-4
t3277,20% Male,7,20,5.4e-4
