table,gender_blend,attained_age,q_ult
t3277,20% Male,0,3e-4
t3277,20% Male,1,1.7e-4
t3277,20% Male,2,1.2e-4
t3277,20% Male,3,9e-5
t3277,20% Male,4,9e-5
t3277,20% Male,5,8e-5
t3277,20% Male,6,9e-5
t3277,20% Male,7,9e-5
t3277,20% Male,8,8e-5
t3277,20% Male,9,8e-5
t3277,20% Male,10,9e-5
t3277,20% Male,11,9e-5
t3277,20% Male,12,1e-4
t3277,20% Male,13,1e-4
t3277,20% Male,14,1.3e-4
t3277,20% Male,15,2.2e-4
t3277,20% Male,16,3.2e-4
t3277,20% Male,17,3.9e-4
t3277,20% Male,18,4.3e-4
t3277,20% Male,19,4.4e-4
t3277,20% Male,20,4.4e-4
t3277,20% Male,21,4.5e-4
t3277,20% Male,22,4.6e-4
t3277,20% Male,23,4.8e-4
t3277,20% Male,24,5.2e-4
t3277,20% Male,25,5.4e-4
t3277,20% Male,26,5.4e-4
t3277,20% Male,27,5.3e-4
t3277,20% Male,28,5.4e-4
t3277,20% Male,29,5.5e-4
t3277,20% Male,30,5.8e-4
t3277,20% Male,31,6.2e-4
t3277,20% Male,32,6.5e-4
t3277,20% Male,33,7.1e-4
t3277,20% Male,34,7.8e-4
t3277,20% Male,35,8.5e-4
t3277,20% Male,36,9.5e-4
t3277,20% Male,37,0.00105
t3277,20% Male,38,0.00115
t3277,20% Male,39,0.00124
t3277,20% Male,40,0.00132
t3277,20% Male,41,0.0014
t3277,20% Male,42,0.00146
t3277,20% Male,43,0.0015
t3277,20% Male,44,0.00156
t3277,20% Male,45,0.00161
t3277,20% Male,46,0.00171
t3277,20% Male,47,0.00181
t3277,20% Male,48,0.00193
t3277,20% Male,49,0.00206
t3277,20% Male,50,0.0022
t3277,20% Male,51,0.00237
t3277,20% Male,52,0.00256
t3277,20% Male,53,0.00277
t3277,20% Male,54,0.00301
t3277,20% Male,55,0.00327
t3277,20% Male,56,0.00357
t3277,20% Male,57,0.00391
t3277,20% Male,58,0.00428
t3277,20% Male,59,0.00472
t3277,20% Male,60,0.00521
t3277,20% Male,61,0.00577
t3277,20% Male,62,0.0064
t3277,20% Male,63,0.00711
t3277,20% Male,64,0.0079
t3277,20% Male,65,0.00878
t3277,20% Male,66,0.00974
t3277,20% Male,67,0.01079
t3277,20% Male,68,0.01195
t3277,20% Male,69,0.01323
t3277,20% Male,70,0.01466
t3277,20% Male,71,0.01624
t3277,20% Male,72,0.018
t3277,20% Male,73,0.01996
t3277,20% Male,74,0.02216
t3277,20% Male,75,0.02461
t3277,20% Male,76,0.02734
t3277,20% Male,77,0.03042
t3277,20% Male,78,0.03384
t3277,20% Male,79,0.03771
t3277,20% Male,80,0.04207
t3277,20% Male,81,0.04727
t3277,20% Male,82,0.05315
t3277,20% Male,83,0.05991
t3277,20% Male,84,0.06772
t3277,20% Male,85,0.07664
t3277,20% Male,86,0.08686
t3277,20% Male,87,0.09804
t3277,20% Male,88,0.11039
t3277,20% Male,89,0.12382
t3277,20% Male,90,0.13822
t3277,20% Male,91,0.15319
t3277,20% Male,92,0.16891
t3277,20% Male,93,0.18532
t3277,20% Male,94,0.20129
t3277,20% Male,95,0.21768
t3277,20% Male,96,0.23817
t3277,20% Male,97,0.26039
t3277,20% Male,98,0.28439
t3277,20% Male,99,0.30974
t3277,20% Male,100,0.33601
t3277,20% Male,101,0.36083
t3277,20% Male,102,0.38542
t3277,20% Male,103,0.40936
t3277,20% Male,104,0.43223
t3277,20% Male,105,0.45362
t3277,20% Male,106,0.47317
t3277,20% Male,107,0.49915
t3277,20% Male,108,0.52655
t3277,20% Male,109,0.55546
t3277,20% Male,110,0.58596
t3277,20% Male,111,0.61813
t3277,20% Male,112,0.65207
t3277,20% Male,113,0.68787
t3277,20% Male,114,0.72564
t3277,20% Male,115,0.76548
t3277,20% Male,116,0.80751
t3277,20% Male,117,0.85184
t3277,20% Male,118,0.89862
t3277,20% Male,119,0.94795
t3277,20% Male,120,1
t3278,40% Male,0,2.9e-4
t3278,40% Male,1,1.7e-4
