issue_age,attained_age,duration,table,gender,risk,q_sel,q_ult
0,0,1,t3309,Male,SuperPref Nonsmoker,NA,NA
0,1,2,t3309,Male,SuperPref Nonsmoker,NA,NA
0,2,3,t3309,Male,SuperPref Nonsmoker,NA,NA
0,3,4,t3309,Male,SuperPref Nonsmoker,NA,NA
0,4,5,t3309,Male,SuperPref Nonsmoker,NA,NA
0,5,6,t3309,Male,SuperPref Nonsmoker,NA,NA
0,6,7,t3309,Male,SuperPref Nonsmoker,NA,NA
0,7,8,t3309,Male,SuperPref Nonsmoker,NA,NA
0,8,9,t3309,Male,SuperPref Nonsmoker,NA,NA
0,9,10,t3309,Male,SuperPref Nonsmoker,NA,NA
0,10,11,t3309,Male,SuperPref Nonsmoker,NA,NA
0,11,12,t3309,Male,SuperPref Nonsmoker,NA,NA
0,12,13,t3309,Male,SuperPref Nonsmoker,NA,NA
0,13,14,t3309,Male,SuperPref Nonsmoker,NA,NA
0,14,15,t3309,Male,SuperPref Nonsmoker,NA,NA
0,15,16,t3309,Male,SuperPref Nonsmoker,NA,NA
0,16,17,t3309,Male,SuperPref Nonsmoker,NA,NA
0,17,18,t3309,Male,SuperPref Nonsmoker,NA,NA
0,18,19,t3309,Male,SuperPref Nonsmoker,NA,6.7e-4
0,19,20,t3309,Male,SuperPref Nonsmoker,NA,7e-4
0,20,21,t3309,Male,SuperPref Nonsmoker,NA,7.2e-4
0,21,22,t3309,Male,SuperPref Nonsmoker,NA,7.2e-4
0,22,23,t3309,Male,SuperPref Nonsmoker,NA,7e-4
0,23,24,t3309,Male,SuperPref Nonsmoker,NA,6.9e-4
0,24,25,t3309,Male,SuperPref Nonsmoker,NA,6.9e-4
0,25,26,t3309,Male,SuperPref Nonsmoker,NA,6.6e-4
0,26,27,t3309,Male,SuperPref Nonsmoker,NA,5.7e-4
0,27,28,t3309,Male,SuperPref Nonsmoker,NA,5.2e-4
0,28,29,t3309,Male,SuperPref Nonsmoker,NA,5e-4
0,29,30,t3309,Male,SuperPref Nonsmoker,NA,4.7e-4
0,30,31,t3309,Male,SuperPref Nonsmoker,NA,4.6e-4
0,31,32,t3309,Male,SuperPref Nonsmoker,NA,4.9e-4
0,32,33,t3309,Male,SuperPref Nonsmoker,NA,5.2e-4
0,33,34,t3309,Male,SuperPref Nonsmoker,NA,5.7e-4
0,34,35,t3309,Male,SuperPref Nonsmoker,NA,6.6e-4
0,35,36,t3309,Male,SuperPref Nonsmoker,NA,7.7e-4
0,36,37,t3309,Male,SuperPref Nonsmoker,NA,8.9e-4
0,37,38,t3309,Male,SuperPref Nonsmoker,NA,0.00101
0,38,39,t3309,Male,SuperPref Nonsmoker,NA,0.0011
0,39,40,t3309,Male,SuperPref Nonsmoker,NA,0.00117
0,40,41,t3309,Male,SuperPref Nonsmoker,NA,0.00123
0,41,42,t3309,Male,SuperPref Nonsmoker,NA,0.0013
0,42,43,t3309,Male,SuperPref Nonsmoker,NA,0.00138
0,43,44,t3309,Male,SuperPref Nonsmoker,NA,0.00147
0,44,45,t3309,Male,SuperPref Nonsmoker,NA,0.00152
0,45,46,t3309,Male,SuperPref Nonsmoker,NA,0.00157
0,46,47,t3309,Male,SuperPref Nonsmoker,NA,0.00163
0,47,48,t3309,Male,SuperPref Nonsmoker,NA,0.00169
0,48,49,t3309,Male,SuperPref Nonsmoker,NA,0.00177
0,49,50,t3309,Male,SuperPref Nonsmoker,NA,0.0018600000000000001
0,50,51,t3309,Male,SuperPref Nonsmoker,NA,0.00197
0,51,52,t3309,Male,SuperPref Nonsmoker,NA,0.00212
