table,gender,risk,issue_age,duration,q_sel
t3309,Male,SuperPref Nonsmoker,18,1,6.7e-4
t3309,Male,SuperPref Nonsmoker,18,2,7e-4
t3309,Male,SuperPref Nonsmoker,18,3,7.2e-4
t3309,Male,SuperPref Nonsmoker,18,4,7.2e-4
t3309,Male,SuperPref Nonsmoker,18,5,7e-4
t3309,Male,SuperPref Nonsmoker,18,6,6.9e-4
t3309,Male,SuperPref Nonsmoker,18,7,6.9e-4
t3309,Male,SuperPref Nonsmoker,18,8,6.6e-4
t3309,Male,SuperPref Nonsmoker,18,9,5.7e-4
t3309,Male,SuperPref Nonsmoker,18,10,5.2e-4
t3309,Male,SuperPref Nonsmoker,18,11,5e-4
t3309,Male,SuperPref Nonsmoker,18,12,4.7e-4
t3309,Male,SuperPref Nonsmoker,18,13,4.6e-4
t3309,Male,SuperPref Nonsmoker,18,14,4.9e-4
t3309,Male,SuperPref Nonsmoker,18,15,5.2e-4
t3309,Male,SuperPref Nonsmoker,18,16,5.7e-4
t3309,Male,SuperPref Nonsmoker,18,17,6.6e-4
t3309,Male,SuperPref Nonsmoker,18,18,7.7e-4
t3309,Male,SuperPref Nonsmoker,18,19,8.9e-4
t3309,Male,SuperPref Nonsmoker,18,20,0.00101
t3309,Male,SuperPref Nonsmoker,18,21,0.0011
t3309,Male,SuperPref Nonsmoker,18,22,0.00117
t3309,Male,SuperPref Nonsmoker,18,23,0.00123
t3309,Male,SuperPref Nonsmoker,18,24,0.0013
t3309,Male,SuperPref Nonsmoker,18,25,0.00138
t3309,Male,SuperPref Nonsmoker,19,1,6e-4
t3309,Male,SuperPref Nonsmoker,19,2,6.2e-4
t3309,Male,SuperPref Nonsmoker,19,3,6.6e-4
t3309,Male,SuperPref Nonsmoker,19,4,6.3e-4
t3309,Male,SuperPref Nonsmoker,19,5,6.2e-4
t3309,Male,SuperPref Nonsmoker,19,6,6.2e-4
t3309,Male,SuperPref Nonsmoker,19,7,6.1e-4
t3309,Male,SuperPref Nonsmoker,19,8,5.6e-4
