table,gender,risk,attained_age,q_ult
t3309,Male,SuperPref Nonsmoker,18,6.7e-4
t3309,Male,SuperPref Nonsmoker,19,7e-4
t3309,Male,SuperPref Nonsmoker,20,7.2e-4
t3309,Male,SuperPref Nonsmoker,21,7.2e-4
t3309,Male,SuperPref Nonsmoker,22,7e-4
t3309,Male,SuperPref Nonsmoker,23,6.9e-4
t3309,Male,SuperPref Nonsmoker,24,6.9e-4
t3309,Male,SuperPref Nonsmoker,25,6.6e-4
t3309,Male,SuperPref Nonsmoker,26,5.7e-4
t3309,Male,SuperPref Nonsmoker,27,5.2e-4
t3309,Male,SuperPref Nonsmoker,28,5e-4
t3309,Male,SuperPref Nonsmoker,29,4.7e-4
t3309,Male,SuperPref Nonsmoker,30,4.6e-4
t3309,Male,SuperPref Nonsmoker,31,4.9e-4
t3309,Male,SuperPref Nonsmoker,32,5.2e-4
t3309,Male,SuperPref Nonsmoker,33,5.7e-4
t3309,Male,SuperPref Nonsmoker,34,6.6e-4
t3309,Male,SuperPref Nonsmoker,35,7.7e-4
t3309,Male,SuperPref Nonsmoker,36,8.9e-4
t3309,Male,SuperPref Nonsmoker,37,0.00101
t3309,Male,SuperPref Nonsmoker,38,0.0011
t3309,Male,SuperPref Nonsmoker,39,0.00117
t3309,Male,SuperPref Nonsmoker,40,0.00123
t3309,Male,SuperPref Nonsmoker,41,0.0013
t3309,Male,SuperPref Nonsmoker,42,0.00138
t3309,Male,SuperPref Nonsmoker,43,0.00147
t3309,Male,SuperPref Nonsmoker,44,0.00152
t3309,Male,SuperPref Nonsmoker,45,0.00157
t3309,Male,SuperPref Nonsmoker,46,0.00163
t3309,Male,SuperPref Nonsmoker,47,0.00169
t3309,Male,SuperPref Nonsmoker,48,0.00177
t3309,Male,SuperPref Nonsmoker,49,0.0018600000000000001
t3309,Male,SuperPref Nonsmoker,50,0.00197
t3309,Male,SuperPref Nonsmoker,51,0.00212
t3309,Male,SuperPref Nonsmoker,52,0.0023
t3309,Male,SuperPref Nonsmoker,53,0.00248
t3309,Male,SuperPref Nonsmoker,54,0.00267
t3309,Male,SuperPref Nonsmoker,55,0.00285
t3309,Male,SuperPref Nonsmoker,56,0.00301
