issue_age,attained_age,duration,table,gender,risk,q_sel,q_ult
0,0,1,t3299,Male,SuperPref Nonsmoker,NA,NA
0,1,2,t3299,Male,SuperPref Nonsmoker,NA,NA
0,2,3,t3299,Male,SuperPref Nonsmoker,NA,NA
0,3,4,t3299,Male,SuperPref Nonsmoker,NA,NA
0,4,5,t3299,Male,SuperPref Nonsmoker,NA,NA
0,5,6,t3299,Male,SuperPref Nonsmoker,NA,NA
0,6,7,t3299,Male,SuperPref Nonsmoker,NA,NA
0,7,8,t3299,Male,SuperPref Nonsmoker,NA,NA
0,8,9,t3299,Male,SuperPref Nonsmoker,NA,NA
0,9,10,t3299,Male,SuperPref Nonsmoker,NA,NA
0,10,11,t3299,Male,SuperPref Nonsmoker,NA,NA
0,11,12,t3299,Male,SuperPref Nonsmoker,NA,NA
0,12,13,t3299,Male,SuperPref Nonsmoker,NA,NA
0,13,14,t3299,Male,SuperPref Nonsmoker,NA,NA
0,14,15,t3299,Male,SuperPref Nonsmoker,NA,NA
0,15,16,t3299,Male,SuperPref Nonsmoker,NA,NA
0,16,17,t3299,Male,SuperPref Nonsmoker,NA,NA
0,17,18,t3299,Male,SuperPref Nonsmoker,NA,NA
0,18,19,t3299,Male,SuperPref Nonsmoker,NA,7e-4
0,19,20,t3299,Male,SuperPref Nonsmoker,NA,7.2e-4
0,20,21,t3299,Male,SuperPref Nonsmoker,NA,7.5e-4
0,21,22,t3299,Male,SuperPref Nonsmoker,NA,7.8e-4
0,22,23,t3299,Male,SuperPref Nonsmoker,NA,7.5e-4
0,23,24,t3299,Male,SuperPref Nonsmoker,NA,7.2e-4
0,24,25,t3299,Male,SuperPref Nonsmoker,NA,7.2e-4
0,25,26,t3299,Male,SuperPref Nonsmoker,NA,7.2e-4
0,26,27,t3299,Male,SuperPref Nonsmoker,NA,6.1e-4
0,27,28,t3299,Male,SuperPref Nonsmoker,NA,5.8e-4
0,28,29,t3299,Male,SuperPref Nonsmoker,NA,5.3e-4
0,29,30,t3299,Male,SuperPref Nonsmoker,NA,4.9e-4
0,30,31,t3299,Male,SuperPref Nonsmoker,NA,4.6e-4
0,31,32,t3299,Male,SuperPref Nonsmoker,NA,4.8e-4
0,32,33,t3299,Male,SuperPref Nonsmoker,NA,5e-4
0,33,34,t3299,Male,SuperPref Nonsmoker,NA,5.7e-4
0,34,35,t3299,Male,SuperPref Nonsmoker,NA,6.5e-4
0,35,36,t3299,Male,SuperPref Nonsmoker,NA,7.5e-4
0,36,37,t3299,Male,SuperPref Nonsmoker,NA,8.8e-4
0,37,38,t3299,Male,SuperPref Nonsmoker,NA,9.9e-4
0,38,39,t3299,Male,SuperPref Nonsmoker,NA,0.00109
0,39,40,t3299,Male,SuperPref Nonsmoker,NA,0.00115
0,40,41,t3299,Male,SuperPref Nonsmoker,NA,0.0012
0,41,42,t3299,Male,SuperPref Nonsmoker,NA,0.00127
0,42,43,t3299,Male,SuperPref Nonsmoker,NA,0.00135
0,43,44,t3299,Male,SuperPref Nonsmoker,NA,0.00143
0,44,45,t3299,Male,SuperPref Nonsmoker,NA,0.0015
0,45,46,t3299,Male,SuperPref Nonsmoker,NA,0.00154
0,46,47,t3299,Male,SuperPref Nonsmoker,NA,0.0016
0,47,48,t3299,Male,SuperPref Nonsmoker,NA,0.00166
0,48,49,t3299,Male,SuperPref Nonsmoker,NA,0.00173
0,49,50,t3299,Male,SuperPref Nonsmoker,NA,0.00181
0,50,51,t3299,Male,SuperPref Nonsmoker,NA,0.0019
0,51,52,t3299,Male,SuperPref Nonsmoker,NA,0.00204
0,52,53,t3299,Male,SuperPref Nonsmoker,NA,0.0022
0,53,54,t3299,Male,SuperPref Nonsmoker,NA,0.00239
0,54,55,t3299,Male,SuperPref Nonsmoker,NA,0.00258
