table,gender,risk,issue_age,duration,q_sel
t3299,Male,SuperPref Nonsmoker,18,1,7e-4
t3299,Male,SuperPref Nonsmoker,18,2,7.2e-4
t3299,Male,SuperPref Nonsmoker,18,3,7.5e-4
t3299,Male,SuperPref Nonsmoker,18,4,7.8e-4
t3299,Male,SuperPref Nonsmoker,18,5,7.5e-4
t3299,Male,SuperPref Nonsmoker,18,6,7.2e-4
t3299,Male,SuperPref Nonsmoker,18,7,7.2e-4
t3299,Male,SuperPref Nonsmoker,18,8,7.2e-4
t3299,Male,SuperPref Nonsmoker,18,9,6.1e-4
t3299,Male,SuperPref Nonsmoker,18,10,5.8e-4
t3299,Male,SuperPref Nonsmoker,18,11,5.3e-4
t3299,Male,SuperPref Nonsmoker,18,12,4.9e-4
t3299,Male,SuperPref Nonsmoker,18,13,4.6e-4
t3299,Male,SuperPref Nonsmoker,18,14,4.8e-4
t3299,Male,SuperPref Nonsmoker,18,15,5e-4
t3299,Male,SuperPref Nonsmoker,18,16,5.7e-4
t3299,Male,SuperPref Nonsmoker,18,17,6.5e-4
t3299,Male,SuperPref Nonsmoker,18,18,7.5e-4
t3299,Male,SuperPref Nonsmoker,18,19,8.8e-4
t3299,Male,SuperPref Nonsmoker,18,20,9.9e-4
t3299,Male,SuperPref Nonsmoker,18,21,0.00109
t3299,Male,SuperPref Nonsmoker,18,22,0.00115
t3299,Male,SuperPref Nonsmoker,18,23,0.0012
t3299,Male,SuperPref Nonsmoker,18,24,0.00127
t3299,Male,SuperPref Nonsmoker,18,25,0.00135
t3299,Male,SuperPref Nonsmoker,19,1,6.5e-4
t3299,Male,SuperPref Nonsmoker,19,2,6.8e-4
t3299,Male,SuperPref Nonsmoker,19,3,6.9e-4
t3299,Male,SuperPref Nonsmoker,19,4,6.5e-4
t3299,Male,SuperPref Nonsmoker,19,5,6.5e-4
t3299,Male,SuperPref Nonsmoker,19,6,6.6e-4
t3299,Male,SuperPref Nonsmoker,19,7,6.6e-4
t3299,Male,SuperPref Nonsmoker,19,8,6.1e-4
t3299,Male,SuperPref Nonsmoker,19,9,5.3e-4
t3299,Male,SuperPref Nonsmoker,19,10,4.6e-4
t3299,Male,SuperPref Nonsmoker,19,11,4.8e-4
t3299,Male,SuperPref Nonsmoker,19,12,4.6e-4
t3299,Male,SuperPref Nonsmoker,19,13,4.5e-4
t3299,Male,SuperPref Nonsmoker,19,14,4.9e-4
t3299,Male,SuperPref Nonsmoker,19,15,5.4e-4
t3299,Male,SuperPref Nonsmoker,19,16,5.8e-4
t3299,Male,SuperPref Nonsmoker,19,17,6.7e-4
t3299,Male,SuperPref Nonsmoker,19,18,7.8e-4
t3299,Male,SuperPref Nonsmoker,19,19,9e-4
t3299,Male,SuperPref Nonsmoker,19,20,0.00102
t3299,Male,SuperPref Nonsmoker,19,21,0.00112
t3299,Male,SuperPref Nonsmoker,19,22,0.00118
t3299,Male,SuperPref Nonsmoker,19,23,0.00125
t3299,Male,SuperPref Nonsmoker,19,24,0.00133
t3299,Male,SuperPref Nonsmoker,19,25,0.00141
t3299,Male,SuperPref Nonsmoker,20,1,5.6e-4
t3299,Male,SuperPref Nonsmoker,20,2,5.7e-4
t3299,Male,SuperPref Nonsmoker,20,3,6.3e-4
t3299,Male,SuperPref Nonsmoker,20,4,6.1e-4
t3299,Male,SuperPref Nonsmoker,20,5,5.9e-4
t3299,Male,SuperPref Nonsmoker,20,6,5.8e-4
t3299,Male,SuperPref Nonsmoker,20,7,5.6e-4
t3299,Male,SuperPref Nonsmoker,20,8,5.1e-4
t3299,Male,SuperPref Nonsmoker,20,9,4.6e-4
