table,gender,risk,attained_age,q_ult
t3299,Male,SuperPref Nonsmoker,18,7e-4
t3299,Male,SuperPref Nonsmoker,19,7.2e-4
t3299,Male,SuperPref Nonsmoker,20,7.5e-4
t3299,Male,SuperPref Nonsmoker,21,7.8e-4
t3299,Male,SuperPref Nonsmoker,22,7.5e-4
t3299,Male,SuperPref Nonsmoker,23,7.2e-4
t3299,Male,SuperPref Nonsmoker,24,7.2e-4
t3299,Male,SuperPref Nonsmoker,25,7.2e-4
t3299,Male,SuperPref Nonsmoker,26,6.1e-4
t3299,Male,SuperPref Nonsmoker,27,5.8e-4
t3299,Male,SuperPref Nonsmoker,28,5.3e-4
t3299,Male,SuperPref Nonsmoker,29,4.9e-4
t3299,Male,SuperPref Nonsmoker,30,4.6e-4
t3299,Male,SuperPref Nonsmoker,31,4.8e-4
t3299,Male,SuperPref Nonsmoker,32,5e-4
t3299,Male,SuperPref Nonsmoker,33,5.7e-4
t3299,Male,SuperPref Nonsmoker,34,6.5e-4
t3299,Male,SuperPref Nonsmoker,35,7.5e-4
t3299,Male,SuperPref Nonsmoker,36,8.8e-4
t3299,Male,SuperPref Nonsmoker,37,9.9e-4
t3299,Male,SuperPref Nonsmoker,38,0.00109
t3299,Male,SuperPref Nonsmoker,39,0.00115
t3299,Male,SuperPref Nonsmoker,40,0.0012
t3299,Male,SuperPref Nonsmoker,41,0.00127
t3299,Male,SuperPref Nonsmoker,42,0.00135
t3299,Male,SuperPref Nonsmoker,43,0.00143
t3299,Male,SuperPref Nonsmoker,44,0.0015
t3299,Male,SuperPref Nonsmoker,45,0.00154
t3299,Male,SuperPref Nonsmoker,46,0.0016
t3299,Male,SuperPref Nonsmoker,47,0.00166
t3299,Male,SuperPref Nonsmoker,48,0.00173
t3299,Male,SuperPref Nonsmoker,49,0.00181
t3299,Male,SuperPref Nonsmoker,50,0.0019
t3299,Male,SuperPref Nonsmoker,51,0.00204
t3299,Male,SuperPref Nonsmoker,52,0.0022
t3299,Male,SuperPref Nonsmoker,53,0.00239
t3299,Male,SuperPref Nonsmoker,54,0.00258
t3299,Male,SuperPref Nonsmoker,55,0.00276
t3299,Male,SuperPref Nonsmoker,56,0.00293
t3299,Male,SuperPref Nonsmoker,57,0.00309
t3299,Male,SuperPref Nonsmoker,58,0.00326
t3299,Male,SuperPref Nonsmoker,59,0.00346
t3299,Male,SuperPref Nonsmoker,60,0.00371
t3299,Male,SuperPref Nonsmoker,61,0.00406
t3299,Male,SuperPref Nonsmoker,62,0.0045
t3299,Male,SuperPref Nonsmoker,63,0.00501
