issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3295,Male,Nonsmoker,NA,NA
0,1,2,t3295,Male,Nonsmoker,NA,NA
0,2,3,t3295,Male,Nonsmoker,NA,NA
0,3,4,t3295,Male,Nonsmoker,NA,NA
0,4,5,t3295,Male,Nonsmoker,NA,NA
0,5,6,t3295,Male,Nonsmoker,NA,NA
0,6,7,t3295,Male,Nonsmoker,NA,NA
0,7,8,t3295,Male,Nonsmoker,NA,NA
0,8,9,t3295,Male,Nonsmoker,NA,NA
0,9,10,t3295,Male,Nonsmoker,NA,NA
0,10,11,t3295,Male,Nonsmoker,NA,NA
0,11,12,t3295,Male,Nonsmoker,NA,NA
0,12,13,t3295,Male,Nonsmoker,NA,NA
0,13,14,t3295,Male,Nonsmoker,NA,NA
0,14,15,t3295,Male,Nonsmoker,NA,NA
0,15,16,t3295,Male,Nonsmoker,NA,NA
0,16,17,t3295,Male,Nonsmoker,NA,NA
0,17,18,t3295,Male,Nonsmoker,NA,NA
0,18,19,t3295,Male,Nonsmoker,NA,8e-4
0,19,20,t3295,Male,Nonsmoker,NA,8.3e-4
0,20,21,t3295,Male,Nonsmoker,NA,8.5e-4
0,21,22,t3295,Male,Nonsmoker,NA,8.5e-4
0,22,23,t3295,Male,Nonsmoker,NA,8.3e-4
0,23,24,t3295,Male,Nonsmoker,NA,8.2e-4
0,24,25,t3295,Male,Nonsmoker,NA,8.2e-4
0,25,26,t3295,Male,Nonsmoker,NA,7.9e-4
0,26,27,t3295,Male,Nonsmoker,NA,6.8e-4
0,27,28,t3295,Male,Nonsmoker,NA,6.2e-4
0,28,29,t3295,Male,Nonsmoker,NA,6e-4
0,29,30,t3295,Male,Nonsmoker,NA,5.6e-4
0,30,31,t3295,Male,Nonsmoker,NA,5.4e-4
0,31,32,t3295,Male,Nonsmoker,NA,5.8e-4
0,32,33,t3295,Male,Nonsmoker,NA,6.2e-4
0,33,34,t3295,Male,Nonsmoker,NA,6.8e-4
0,34,35,t3295,Male,Nonsmoker,NA,7.9e-4
0,35,36,t3295,Male,Nonsmoker,NA,9.2e-4
0,36,37,t3295,Male,Nonsmoker,NA,0.00106
0,37,38,t3295,Male,Nonsmoker,NA,0.0012
0,38,39,t3295,Male,Nonsmoker,NA,0.00131
0,39,40,t3295,Male,Nonsmoker,NA,0.00139
0,40,41,t3295,Male,Nonsmoker,NA,0.00146
0,41,42,t3295,Male,Nonsmoker,NA,0.00155
0,42,43,t3295,Male,Nonsmoker,NA,0.00165
0,43,44,t3295,Male,Nonsmoker,NA,0.00175
0,44,45,t3295,Male,Nonsmoker,NA,0.00181
0,45,46,t3295,Male,Nonsmoker,NA,0.00187
0,46,47,t3295,Male,Nonsmoker,NA,0.00194
0,47,48,t3295,Male,Nonsmoker,NA,0.00201
0,48,49,t3295,Male,Nonsmoker,NA,0.0021
0,49,50,t3295,Male,Nonsmoker,NA,0.0022
0,50,51,t3295,Male,Nonsmoker,NA,0.00233
0,51,52,t3295,Male,Nonsmoker,NA,0.00252
0,52,53,t3295,Male,Nonsmoker,NA,0.00276
0,53,54,t3295,Male,Nonsmoker,NA,0.00301
0,54,55,t3295,Male,Nonsmoker,NA,0.00327
0,55,56,t3295,Male,Nonsmoker,NA,0.00352
0,56,57,t3295,Male,Nonsmoker,NA,0.00375
0,57,58,t3295,Male,Nonsmoker,NA,0.00399
0,58,59,t3295,Male,Nonsmoker,NA,0.00425
0,59,60,t3295,Male,Nonsmoker,NA,0.00457
0,60,61,t3295,Male,Nonsmoker,NA,0.00497
0,61,62,t3295,Male,Nonsmoker,NA,0.0055
0,62,63,t3295,Male,Nonsmoker,NA,0.00611
0,63,64,t3295,Male,Nonsmoker,NA,0.00681
0,64,65,t3295,Male,Nonsmoker,NA,0.00757
0,65,66,t3295,Male,Nonsmoker,NA,0.00839
0,66,67,t3295,Male,Nonsmoker,NA,0.00926
0,67,68,t3295,Male,Nonsmoker,NA,0.01022
0,68,69,t3295,Male,Nonsmoker,NA,0.01129
0,69,70,t3295,Male,Nonsmoker,NA,0.01253
0,70,71,t3295,Male,Nonsmoker,NA,0.014
0,71,72,t3295,Male,Nonsmoker,NA,0.01574
0,72,73,t3295,Male,Nonsmoker,NA,0.01779
0,73,74,t3295,Male,Nonsmoker,NA,0.02015
0,74,75,t3295,Male,Nonsmoker,NA,0.02282
0,75,76,t3295,Male,Nonsmoker,NA,0.02576
0,76,77,t3295,Male,Nonsmoker,NA,0.02899
0,77,78,t3295,Male,Nonsmoker,NA,0.03256
0,78,79,t3295,Male,Nonsmoker,NA,0.03657
0,79,80,t3295,Male,Nonsmoker,NA,0.04117
0,80,81,t3295,Male,Nonsmoker,NA,0.04651
0,81,82,t3295,Male,Nonsmoker,NA,0.05261
0,82,83,t3295,Male,Nonsmoker,NA,0.05959
0,83,84,t3295,Male,Nonsmoker,NA,0.06768
0,84,85,t3295,Male,Nonsmoker,NA,0.07708
0,85,86,t3295,Male,Nonsmoker,NA,0.08797
0,86,87,t3295,Male,Nonsmoker,NA,0.10052
0,87,88,t3295,Male,Nonsmoker,NA,0.11482
0,88,89,t3295,Male,Nonsmoker,NA,0.13065
0,89,90,t3295,Male,Nonsmoker,NA,0.14767
0,90,91,t3295,Male,Nonsmoker,NA,0.16549
0,91,92,t3295,Male,Nonsmoker,NA,0.18356
0,92,93,t3295,Male,Nonsmoker,NA,0.20154
0,93,94,t3295,Male,Nonsmoker,NA,0.21893
0,94,95,t3295,Male,Nonsmoker,NA,0.23491
0,95,96,t3295,Male,Nonsmoker,NA,0.2516
0,96,97,t3295,Male,Nonsmoker,NA,0.27103
0,97,98,t3295,Male,Nonsmoker,NA,0.29189
0,98,99,t3295,Male,Nonsmoker,NA,0.31426
0,99,100,t3295,Male,Nonsmoker,NA,0.33768
0,100,101,t3295,Male,Nonsmoker,NA,0.36089
0,101,102,t3295,Male,Nonsmoker,NA,0.38306
0,102,103,t3295,Male,Nonsmoker,NA,0.40502
0,103,104,t3295,Male,Nonsmoker,NA,0.42637
0,104,105,t3295,Male,Nonsmoker,NA,0.44673
0,105,106,t3295,Male,Nonsmoker,NA,0.4657
0,106,107,t3295,Male,Nonsmoker,NA,0.48631
0,107,108,t3295,Male,Nonsmoker,NA,0.51238
0,108,109,t3295,Male,Nonsmoker,NA,0.53981
0,109,110,t3295,Male,Nonsmoker,NA,0.56867
0,110,111,t3295,Male,Nonsmoker,NA,0.59903
0,111,112,t3295,Male,Nonsmoker,NA,0.63096
0,112,113,t3295,Male,Nonsmoker,NA,0.66453
0,113,114,t3295,Male,Nonsmoker,NA,0.69981
0,114,115,t3295,Male,Nonsmoker,NA,0.73687
0,115,116,t3295,Male,Nonsmoker,NA,0.77578
0,116,117,t3295,Male,Nonsmoker,NA,0.8166
0,117,118,t3295,Male,Nonsmoker,NA,0.8594
0,118,119,t3295,Male,Nonsmoker,NA,0.90421
0,119,120,t3295,Male,Nonsmoker,NA,0.95108
0,120,121,t3295,Male,Nonsmoker,NA,1
1,1,1,t3295,Male,Nonsmoker,NA,NA
1,2,2,t3295,Male,Nonsmoker,NA,NA
1,3,3,t3295,Male,Nonsmoker,NA,NA
1,4,4,t3295,Male,Nonsmoker,NA,NA
1,5,5,t3295,Male,Nonsmoker,NA,NA
1,6,6,t3295,Male,Nonsmoker,NA,NA
1,7,7,t3295,Male,Nonsmoker,NA,NA
1,8,8,t3295,Male,Nonsmoker,NA,NA
1,9,9,t3295,Male,Nonsmoker,NA,NA
1,10,10,t3295,Male,Nonsmoker,NA,NA
1,11,11,t3295,Male,Nonsmoker,NA,NA
1,12,12,t3295,Male,Nonsmoker,NA,NA
1,13,13,t3295,Male,Nonsmoker,NA,NA
1,14,14,t3295,Male,Nonsmoker,NA,NA
1,15,15,t3295,Male,Nonsmoker,NA,NA
1,16,16,t3295,Male,Nonsmoker,NA,NA
1,17,17,t3295,Male,Nonsmoker,NA,NA
1,18,18,t3295,Male,Nonsmoker,NA,8e-4
1,19,19,t3295,Male,Nonsmoker,NA,8.3e-4
1,20,20,t3295,Male,Nonsmoker,NA,8.5e-4
1,21,21,t3295,Male,Nonsmoker,NA,8.5e-4
1,22,22,t3295,Male,Nonsmoker,NA,8.3e-4
1,23,23,t3295,Male,Nonsmoker,NA,8.2e-4
1,24,24,t3295,Male,Nonsmoker,NA,8.2e-4
1,25,25,t3295,Male,Nonsmoker,NA,7.9e-4
1,26,26,t3295,Male,Nonsmoker,NA,6.8e-4
1,27,27,t3295,Male,Nonsmoker,NA,6.2e-4
1,28,28,t3295,Male,Nonsmoker,NA,6e-4
1,29,29,t3295,Male,Nonsmoker,NA,5.6e-4
1,30,30,t3295,Male,Nonsmoker,NA,5.4e-4
1,31,31,t3295,Male,Nonsmoker,NA,5.8e-4
1,32,32,t3295,Male,Nonsmoker,NA,6.2e-4
1,33,33,t3295,Male,Nonsmoker,NA,6.8e-4
1,34,34,t3295,Male,Nonsmoker,NA,7.9e-4
1,35,35,t3295,Male,Nonsmoker,NA,9.2e-4
1,36,36,t3295,Male,Nonsmoker,NA,0.00106
1,37,37,t3295,Male,Nonsmoker,NA,0.0012
1,38,38,t3295,Male,Nonsmoker,NA,0.00131
1,39,39,t3295,Male,Nonsmoker,NA,0.00139
1,40,40,t3295,Male,Nonsmoker,NA,0.00146
1,41,41,t3295,Male,Nonsmoker,NA,0.00155
1,42,42,t3295,Male,Nonsmoker,NA,0.00165
1,43,43,t3295,Male,Nonsmoker,NA,0.00175
1,44,44,t3295,Male,Nonsmoker,NA,0.00181
1,45,45,t3295,Male,Nonsmoker,NA,0.00187
1,46,46,t3295,Male,Nonsmoker,NA,0.00194
1,47,47,t3295,Male,Nonsmoker,NA,0.00201
1,48,48,t3295,Male,Nonsmoker,NA,0.0021
1,49,49,t3295,Male,Nonsmoker,NA,0.0022
1,50,50,t3295,Male,Nonsmoker,NA,0.00233
1,51,51,t3295,Male,Nonsmoker,NA,0.00252
1,52,52,t3295,Male,Nonsmoker,NA,0.00276
1,53,53,t3295,Male,Nonsmoker,NA,0.00301
1,54,54,t3295,Male,Nonsmoker,NA,0.00327
1,55,55,t3295,Male,Nonsmoker,NA,0.00352
1,56,56,t3295,Male,Nonsmoker,NA,0.00375
1,57,57,t3295,Male,Nonsmoker,NA,0.00399
1,58,58,t3295,Male,Nonsmoker,NA,0.00425
1,59,59,t3295,Male,Nonsmoker,NA,0.00457
1,60,60,t3295,Male,Nonsmoker,NA,0.00497
1,61,61,t3295,Male,Nonsmoker,NA,0.0055
1,62,62,t3295,Male,Nonsmoker,NA,0.00611
1,63,63,t3295,Male,Nonsmoker,NA,0.00681
1,64,64,t3295,Male,Nonsmoker,NA,0.00757
1,65,65,t3295,Male,Nonsmoker,NA,0.00839
1,66,66,t3295,Male,Nonsmoker,NA,0.00926
1,67,67,t3295,Male,Nonsmoker,NA,0.01022
1,68,68,t3295,Male,Nonsmoker,NA,0.01129
1,69,69,t3295,Male,Nonsmoker,NA,0.01253
1,70,70,t3295,Male,Nonsmoker,NA,0.014
1,71,71,t3295,Male,Nonsmoker,NA,0.01574
1,72,72,t3295,Male,Nonsmoker,NA,0.01779
1,73,73,t3295,Male,Nonsmoker,NA,0.02015
1,74,74,t3295,Male,Nonsmoker,NA,0.02282
1,75,75,t3295,Male,Nonsmoker,NA,0.02576
1,76,76,t3295,Male,Nonsmoker,NA,0.02899
1,77,77,t3295,Male,Nonsmoker,NA,0.03256
1,78,78,t3295,Male,Nonsmoker,NA,0.03657
1,79,79,t3295,Male,Nonsmoker,NA,0.04117
1,80,80,t3295,Male,Nonsmoker,NA,0.04651
1,81,81,t3295,Male,Nonsmoker,NA,0.05261
1,82,82,t3295,Male,Nonsmoker,NA,0.05959
1,83,83,t3295,Male,Nonsmoker,NA,0.06768
1,84,84,t3295,Male,Nonsmoker,NA,0.07708
1,85,85,t3295,Male,Nonsmoker,NA,0.08797
1,86,86,t3295,Male,Nonsmoker,NA,0.10052
1,87,87,t3295,Male,Nonsmoker,NA,0.11482
1,88,88,t3295,Male,Nonsmoker,NA,0.13065
1,89,89,t3295,Male,Nonsmoker,NA,0.14767
1,90,90,t3295,Male,Nonsmoker,NA,0.16549
1,91,91,t3295,Male,Nonsmoker,NA,0.18356
1,92,92,t3295,Male,Nonsmoker,NA,0.20154
1,93,93,t3295,Male,Nonsmoker,NA,0.21893
1,94,94,t3295,Male,Nonsmoker,NA,0.23491
1,95,95,t3295,Male,Nonsmoker,NA,0.2516
1,96,96,t3295,Male,Nonsmoker,NA,0.27103
1,97,97,t3295,Male,Nonsmoker,NA,0.29189
1,98,98,t3295,Male,Nonsmoker,NA,0.31426
1,99,99,t3295,Male,Nonsmoker,NA,0.33768
1,100,100,t3295,Male,Nonsmoker,NA,0.36089
1,101,101,t3295,Male,Nonsmoker,NA,0.38306
1,102,102,t3295,Male,Nonsmoker,NA,0.40502
1,103,103,t3295,Male,Nonsmoker,NA,0.42637
1,104,104,t3295,Male,Nonsmoker,NA,0.44673
1,105,105,t3295,Male,Nonsmoker,NA,0.4657
1,106,106,t3295,Male,Nonsmoker,NA,0.48631
1,107,107,t3295,Male,Nonsmoker,NA,0.51238
1,108,108,t3295,Male,Nonsmoker,NA,0.53981
1,109,109,t3295,Male,Nonsmoker,NA,0.56867
1,110,110,t3295,Male,Nonsmoker,NA,0.59903
1,111,111,t3295,Male,Nonsmoker,NA,0.63096
1,112,112,t3295,Male,Nonsmoker,NA,0.66453
1,113,113,t3295,Male,Nonsmoker,NA,0.69981
1,114,114,t3295,Male,Nonsmoker,NA,0.73687
1,115,115,t3295,Male,Nonsmoker,NA,0.77578
1,116,116,t3295,Male,Nonsmoker,NA,0.8166
1,117,117,t3295,Male,Nonsmoker,NA,0.8594
1,118,118,t3295,Male,Nonsmoker,NA,0.90421
1,119,119,t3295,Male,Nonsmoker,NA,0.95108
1,120,120,t3295,Male,Nonsmoker,NA,1
2,2,1,t3295,Male,Nonsmoker,NA,NA
2,3,2,t3295,Male,Nonsmoker,NA,NA
2,4,3,t3295,Male,Nonsmoker,NA,NA
2,5,4,t3295,Male,Nonsmoker,NA,NA
2,6,5,t3295,Male,Nonsmoker,NA,NA
2,7,6,t3295,Male,Nonsmoker,NA,NA
2,8,7,t3295,Male,Nonsmoker,NA,NA
2,9,8,t3295,Male,Nonsmoker,NA,NA
2,10,9,t3295,Male,Nonsmoker,NA,NA
2,11,10,t3295,Male,Nonsmoker,NA,NA
2,12,11,t3295,Male,Nonsmoker,NA,NA
2,13,12,t3295,Male,Nonsmoker,NA,NA
2,14,13,t3295,Male,Nonsmoker,NA,NA
2,15,14,t3295,Male,Nonsmoker,NA,NA
2,16,15,t3295,Male,Nonsmoker,NA,NA
2,17,16,t3295,Male,Nonsmoker,NA,NA
2,18,17,t3295,Male,Nonsmoker,NA,8e-4
2,19,18,t3295,Male,Nonsmoker,NA,8.3e-4
2,20,19,t3295,Male,Nonsmoker,NA,8.5e-4
2,21,20,t3295,Male,Nonsmoker,NA,8.5e-4
2,22,21,t3295,Male,Nonsmoker,NA,8.3e-4
2,23,22,t3295,Male,Nonsmoker,NA,8.2e-4
2,24,23,t3295,Male,Nonsmoker,NA,8.2e-4
2,25,24,t3295,Male,Nonsmoker,NA,7.9e-4
2,26,25,t3295,Male,Nonsmoker,NA,6.8e-4
2,27,26,t3295,Male,Nonsmoker,NA,6.2e-4
2,28,27,t3295,Male,Nonsmoker,NA,6e-4
2,29,28,t3295,Male,Nonsmoker,NA,5.6e-4
2,30,29,t3295,Male,Nonsmoker,NA,5.4e-4
2,31,30,t3295,Male,Nonsmoker,NA,5.8e-4
2,32,31,t3295,Male,Nonsmoker,NA,6.2e-4
2,33,32,t3295,Male,Nonsmoker,NA,6.8e-4
2,34,33,t3295,Male,Nonsmoker,NA,7.9e-4
2,35,34,t3295,Male,Nonsmoker,NA,9.2e-4
2,36,35,t3295,Male,Nonsmoker,NA,0.00106
2,37,36,t3295,Male,Nonsmoker,NA,0.0012
2,38,37,t3295,Male,Nonsmoker,NA,0.00131
2,39,38,t3295,Male,Nonsmoker,NA,0.00139
2,40,39,t3295,Male,Nonsmoker,NA,0.00146
2,41,40,t3295,Male,Nonsmoker,NA,0.00155
2,42,41,t3295,Male,Nonsmoker,NA,0.00165
2,43,42,t3295,Male,Nonsmoker,NA,0.00175
2,44,43,t3295,Male,Nonsmoker,NA,0.00181
2,45,44,t3295,Male,Nonsmoker,NA,0.00187
2,46,45,t3295,Male,Nonsmoker,NA,0.00194
2,47,46,t3295,Male,Nonsmoker,NA,0.00201
2,48,47,t3295,Male,Nonsmoker,NA,0.0021
2,49,48,t3295,Male,Nonsmoker,NA,0.0022
2,50,49,t3295,Male,Nonsmoker,NA,0.00233
2,51,50,t3295,Male,Nonsmoker,NA,0.00252
2,52,51,t3295,Male,Nonsmoker,NA,0.00276
2,53,52,t3295,Male,Nonsmoker,NA,0.00301
2,54,53,t3295,Male,Nonsmoker,NA,0.00327
2,55,54,t3295,Male,Nonsmoker,NA,0.00352
2,56,55,t3295,Male,Nonsmoker,NA,0.00375
2,57,56,t3295,Male,Nonsmoker,NA,0.00399
2,58,57,t3295,Male,Nonsmoker,NA,0.00425
2,59,58,t3295,Male,Nonsmoker,NA,0.00457
2,60,59,t3295,Male,Nonsmoker,NA,0.00497
2,61,60,t3295,Male,Nonsmoker,NA,0.0055
2,62,61,t3295,Male,Nonsmoker,NA,0.00611
2,63,62,t3295,Male,Nonsmoker,NA,0.00681
2,64,63,t3295,Male,Nonsmoker,NA,0.00757
2,65,64,t3295,Male,Nonsmoker,NA,0.00839
2,66,65,t3295,Male,Nonsmoker,NA,0.00926
2,67,66,t3295,Male,Nonsmoker,NA,0.01022
2,68,67,t3295,Male,Nonsmoker,NA,0.01129
2,69,68,t3295,Male,Nonsmoker,NA,0.01253
2,70,69,t3295,Male,Nonsmoker,NA,0.014
2,71,70,t3295,Male,Nonsmoker,NA,0.01574
2,72,71,t3295,Male,Nonsmoker,NA,0.01779
2,73,72,t3295,Male,Nonsmoker,NA,0.02015
2,74,73,t3295,Male,Nonsmoker,NA,0.02282
2,75,74,t3295,Male,Nonsmoker,NA,0.02576
2,76,75,t3295,Male,Nonsmoker,NA,0.02899
2,77,76,t3295,Male,Nonsmoker,NA,0.03256
2,78,77,t3295,Male,Nonsmoker,NA,0.03657
2,79,78,t3295,Male,Nonsmoker,NA,0.04117
2,80,79,t3295,Male,Nonsmoker,NA,0.04651
2,81,80,t3295,Male,Nonsmoker,NA,0.05261
2,82,81,t3295,Male,Nonsmoker,NA,0.05959
2,83,82,t3295,Male,Nonsmoker,NA,0.06768
2,84,83,t3295,Male,Nonsmoker,NA,0.07708
2,85,84,t3295,Male,Nonsmoker,NA,0.08797
2,86,85,t3295,Male,Nonsmoker,NA,0.10052
2,87,86,t3295,Male,Nonsmoker,NA,0.11482
2,88,87,t3295,Male,Nonsmoker,NA,0.13065
2,89,88,t3295,Male,Nonsmoker,NA,0.14767
2,90,89,t3295,Male,Nonsmoker,NA,0.16549
