table,gender,tobacco,issue_age,duration,q_sel
t3295,Male,Nonsmoker,18,1,8e-4
t3295,Male,Nonsmoker,18,2,8.3e-4
t3295,Male,Nonsmoker,18,3,8.5e-4
t3295,Male,Nonsmoker,18,4,8.5e-4
t3295,Male,Nonsmoker,18,5,8.3e-4
t3295,Male,Nonsmoker,18,6,8.2e-4
t3295,Male,Nonsmoker,18,7,8.2e-4
t3295,Male,Nonsmoker,18,8,7.9e-4
t3295,Male,Nonsmoker,18,9,6.8e-4
t3295,Male,Nonsmoker,18,10,6.2e-4
t3295,Male,Nonsmoker,18,11,6e-4
t3295,Male,Nonsmoker,18,12,5.6e-4
t3295,Male,Nonsmoker,18,13,5.4e-4
t3295,Male,Nonsmoker,18,14,5.8e-4
t3295,Male,Nonsmoker,18,15,6.2e-4
t3295,Male,Nonsmoker,18,16,6.8e-4
t3295,Male,Nonsmoker,18,17,7.9e-4
t3295,Male,Nonsmoker,18,18,9.2e-4
t3295,Male,Nonsmoker,18,19,0.00106
t3295,Male,Nonsmoker,18,20,0.0012
t3295,Male,Nonsmoker,18,21,0.00131
t3295,Male,Nonsmoker,18,22,0.00139
t3295,Male,Nonsmoker,18,23,0.00146
t3295,Male,Nonsmoker,18,24,0.00155
t3295,Male,Nonsmoker,18,25,0.00165
t3295,Male,Nonsmoker,19,1,7.2e-4
t3295,Male,Nonsmoker,19,2,7.4e-4
t3295,Male,Nonsmoker,19,3,7.9e-4
t3295,Male,Nonsmoker,19,4,7.5e-4
t3295,Male,Nonsmoker,19,5,7.4e-4
t3295,Male,Nonsmoker,19,6,7.3e-4
t3295,Male,Nonsmoker,19,7,7.2e-4
t3295,Male,Nonsmoker,19,8,6.7e-4
t3295,Male,Nonsmoker,19,9,5.9e-4
t3295,Male,Nonsmoker,19,10,5.5e-4
t3295,Male,Nonsmoker,19,11,5.5e-4
t3295,Male,Nonsmoker,19,12,5.4e-4
t3295,Male,Nonsmoker,19,13,5.4e-4
t3295,Male,Nonsmoker,19,14,5.9e-4
t3295,Male,Nonsmoker,19,15,6.5e-4
t3295,Male,Nonsmoker,19,16,7.1e-4
t3295,Male,Nonsmoker,19,17,8.1e-4
t3295,Male,Nonsmoker,19,18,9.4e-4
t3295,Male,Nonsmoker,19,19,0.00109
t3295,Male,Nonsmoker,19,20,0.00123
t3295,Male,Nonsmoker,19,21,0.00135
t3295,Male,Nonsmoker,19,22,0.00142
t3295,Male,Nonsmoker,19,23,0.0015
t3295,Male,Nonsmoker,19,24,0.0016
t3295,Male,Nonsmoker,19,25,0.0017
t3295,Male,Nonsmoker,20,1,6.1e-4
t3295,Male,Nonsmoker,20,2,6.8e-4
t3295,Male,Nonsmoker,20,3,6.8e-4
t3295,Male,Nonsmoker,20,4,6.6e-4
t3295,Male,Nonsmoker,20,5,6.4e-4
t3295,Male,Nonsmoker,20,6,6.2e-4
t3295,Male,Nonsmoker,20,7,6.1e-4
t3295,Male,Nonsmoker,20,8,5.6e-4
t3295,Male,Nonsmoker,20,9,5.1e-4
t3295,Male,Nonsmoker,20,10,5.3e-4
t3295,Male,Nonsmoker,20,11,5.2e-4
t3295,Male,Nonsmoker,20,12,5.3e-4
t3295,Male,Nonsmoker,20,13,5.5e-4
t3295,Male,Nonsmoker,20,14,6.1e-4
t3295,Male,Nonsmoker,20,15,6.7e-4
t3295,Male,Nonsmoker,20,16,7.3e-4
t3295,Male,Nonsmoker,20,17,8.4e-4
t3295,Male,Nonsmoker,20,18,9.7e-4
t3295,Male,Nonsmoker,20,19,0.00111
t3295,Male,Nonsmoker,20,20,0.00126
t3295,Male,Nonsmoker,20,21,0.00137
t3295,Male,Nonsmoker,20,22,0.00144
t3295,Male,Nonsmoker,20,23,0.00152
t3295,Male,Nonsmoker,20,24,0.00163
t3295,Male,Nonsmoker,20,25,0.00175
t3295,Male,Nonsmoker,21,1,5.5e-4
t3295,Male,Nonsmoker,21,2,6.2e-4
t3295,Male,Nonsmoker,21,3,5.6e-4
