table,gender,tobacco,attained_age,q_ult
t3295,Male,Nonsmoker,18,8e-4
t3295,Male,Nonsmoker,19,8.3e-4
t3295,Male,Nonsmoker,20,8.5e-4
t3295,Male,Nonsmoker,21,8.5e-4
t3295,Male,Nonsmoker,22,8.3e-4
t3295,Male,Nonsmoker,23,8.2e-4
t3295,Male,Nonsmoker,24,8.2e-4
t3295,Male,Nonsmoker,25,7.9e-4
t3295,Male,Nonsmoker,26,6.8e-4
t3295,Male,Nonsmoker,27,6.2e-4
t3295,Male,Nonsmoker,28,6e-4
t3295,Male,Nonsmoker,29,5.6e-4
t3295,Male,Nonsmoker,30,5.4e-4
t3295,Male,Nonsmoker,31,5.8e-4
t3295,Male,Nonsmoker,32,6.2e-4
t3295,Male,Nonsmoker,33,6.8e-4
t3295,Male,Nonsmoker,34,7.9e-4
t3295,Male,Nonsmoker,35,9.2e-4
t3295,Male,Nonsmoker,36,0.00106
t3295,Male,Nonsmoker,37,0.0012
t3295,Male,Nonsmoker,38,0.00131
t3295,Male,Nonsmoker,39,0.00139
t3295,Male,Nonsmoker,40,0.00146
t3295,Male,Nonsmoker,41,0.00155
t3295,Male,Nonsmoker,42,0.00165
t3295,Male,Nonsmoker,43,0.00175
t3295,Male,Nonsmoker,44,0.00181
t3295,Male,Nonsmoker,45,0.00187
t3295,Male,Nonsmoker,46,0.00194
t3295,Male,Nonsmoker,47,0.00201
t3295,Male,Nonsmoker,48,0.0021
t3295,Male,Nonsmoker,49,0.0022
t3295,Male,Nonsmoker,50,0.00233
t3295,Male,Nonsmoker,51,0.00252
t3295,Male,Nonsmoker,52,0.00276
t3295,Male,Nonsmoker,53,0.00301
t3295,Male,Nonsmoker,54,0.00327
t3295,Male,Nonsmoker,55,0.00352
t3295,Male,Nonsmoker,56,0.00375
t3295,Male,Nonsmoker,57,0.00399
t3295,Male,Nonsmoker,58,0.00425
t3295,Male,Nonsmoker,59,0.00457
t3295,Male,Nonsmoker,60,0.00497
t3295,Male,Nonsmoker,61,0.0055
t3295,Male,Nonsmoker,62,0.00611
t3295,Male,Nonsmoker,63,0.00681
t3295,Male,Nonsmoker,64,0.00757
t3295,Male,Nonsmoker,65,0.00839
t3295,Male,Nonsmoker,66,0.00926
t3295,Male,Nonsmoker,67,0.01022
t3295,Male,Nonsmoker,68,0.01129
t3295,Male,Nonsmoker,69,0.01253
t3295,Male,Nonsmoker,70,0.014
t3295,Male,Nonsmoker,71,0.01574
t3295,Male,Nonsmoker,72,0.01779
t3295,Male,Nonsmoker,73,0.02015
t3295,Male,Nonsmoker,74,0.02282
t3295,Male,Nonsmoker,75,0.02576
t3295,Male,Nonsmoker,76,0.02899
t3295,Male,Nonsmoker,77,0.03256
t3295,Male,Nonsmoker,78,0.03657
t3295,Male,Nonsmoker,79,0.04117
t3295,Male,Nonsmoker,80,0.04651
t3295,Male,Nonsmoker,81,0.05261
t3295,Male,Nonsmoker,82,0.05959
t3295,Male,Nonsmoker,83,0.06768
t3295,Male,Nonsmoker,84,0.07708
t3295,Male,Nonsmoker,85,0.08797
t3295,Male,Nonsmoker,86,0.10052
t3295,Male,Nonsmoker,87,0.11482
t3295,Male,Nonsmoker,88,0.13065
t3295,Male,Nonsmoker,89,0.14767
t3295,Male,Nonsmoker,90,0.16549
t3295,Male,Nonsmoker,91,0.18356
t3295,Male,Nonsmoker,92,0.20154
t3295,Male,Nonsmoker,93,0.21893
t3295,Male,Nonsmoker,94,0.23491
t3295,Male,Nonsmoker,95,0.2516
t3295,Male,Nonsmoker,96,0.27103
t3295,Male,Nonsmoker,97,0.29189
t3295,Male,Nonsmoker,98,0.31426
t3295,Male,Nonsmoker,99,0.33768
t3295,Male,Nonsmoker,100,0.36089
t3295,Male,Nonsmoker,101,0.38306
t3295,Male,Nonsmoker,102,0.40502
t3295,Male,Nonsmoker,103,0.42637
t3295,Male,Nonsmoker,104,0.44673
t3295,Male,Nonsmoker,105,0.4657
t3295,Male,Nonsmoker,106,0.48631
t3295,Male,Nonsmoker,107,0.51238
t3295,Male,Nonsmoker,108,0.53981
t3295,Male,Nonsmoker,109,0.56867
t3295,Male,Nonsmoker,110,0.59903
t3295,Male,Nonsmoker,111,0.63096
t3295,Male,Nonsmoker,112,0.66453
t3295,Male,Nonsmoker,113,0.69981
