issue_age,attained_age,duration,table,gender,tobacco,q_sel,q_ult
0,0,1,t3291,Male,Nonsmoker,NA,NA
0,1,2,t3291,Male,Nonsmoker,NA,NA
0,2,3,t3291,Male,Nonsmoker,NA,NA
0,3,4,t3291,Male,Nonsmoker,NA,NA
0,4,5,t3291,Male,Nonsmoker,NA,NA
0,5,6,t3291,Male,Nonsmoker,NA,NA
0,6,7,t3291,Male,Nonsmoker,NA,NA
0,7,8,t3291,Male,Nonsmoker,NA,NA
0,8,9,t3291,Male,Nonsmoker,NA,NA
0,9,10,t3291,Male,Nonsmoker,NA,NA
0,10,11,t3291,Male,Nonsmoker,NA,NA
0,11,12,t3291,Male,Nonsmoker,NA,NA
0,12,13,t3291,Male,Nonsmoker,NA,NA
0,13,14,t3291,Male,Nonsmoker,NA,NA
0,14,15,t3291,Male,Nonsmoker,NA,NA
0,15,16,t3291,Male,Nonsmoker,NA,NA
0,16,17,t3291,Male,Nonsmoker,NA,NA
0,17,18,t3291,Male,Nonsmoker,NA,NA
0,18,19,t3291,Male,Nonsmoker,NA,8.3e-4
0,19,20,t3291,Male,Nonsmoker,NA,8.6e-4
0,20,21,t3291,Male,Nonsmoker,NA,8.9e-4
0,21,22,t3291,Male,Nonsmoker,NA,0.00093000000000000005
0,22,23,t3291,Male,Nonsmoker,NA,8.9e-4
0,23,24,t3291,Male,Nonsmoker,NA,8.6e-4
0,24,25,t3291,Male,Nonsmoker,NA,8.5e-4
0,25,26,t3291,Male,Nonsmoker,NA,8.5e-4
0,26,27,t3291,Male,Nonsmoker,NA,7.2e-4
0,27,28,t3291,Male,Nonsmoker,NA,6.9e-4
0,28,29,t3291,Male,Nonsmoker,NA,6.3e-4
0,29,30,t3291,Male,Nonsmoker,NA,5.8e-4
0,30,31,t3291,Male,Nonsmoker,NA,5.5e-4
0,31,32,t3291,Male,Nonsmoker,NA,5.7e-4
0,32,33,t3291,Male,Nonsmoker,NA,5.9e-4
0,33,34,t3291,Male,Nonsmoker,NA,6.7e-4
0,34,35,t3291,Male,Nonsmoker,NA,7.8e-4
0,35,36,t3291,Male,Nonsmoker,NA,9e-4
0,36,37,t3291,Male,Nonsmoker,NA,0.00105
0,37,38,t3291,Male,Nonsmoker,NA,0.00118
0,38,39,t3291,Male,Nonsmoker,NA,0.0013
0,39,40,t3291,Male,Nonsmoker,NA,0.00137
0,40,41,t3291,Male,Nonsmoker,NA,0.00143
0,41,42,t3291,Male,Nonsmoker,NA,0.00151
0,42,43,t3291,Male,Nonsmoker,NA,0.00161
0,43,44,t3291,Male,Nonsmoker,NA,0.0017
0,44,45,t3291,Male,Nonsmoker,NA,0.00179
0,45,46,t3291,Male,Nonsmoker,NA,0.00183
0,46,47,t3291,Male,Nonsmoker,NA,0.00191
0,47,48,t3291,Male,Nonsmoker,NA,0.00197
0,48,49,t3291,Male,Nonsmoker,NA,0.00205
0,49,50,t3291,Male,Nonsmoker,NA,0.00214
0,50,51,t3291,Male,Nonsmoker,NA,0.00225
0,51,52,t3291,Male,Nonsmoker,NA,0.00242
0,52,53,t3291,Male,Nonsmoker,NA,0.00263
0,53,54,t3291,Male,Nonsmoker,NA,0.00288
0,54,55,t3291,Male,Nonsmoker,NA,0.00314
0,55,56,t3291,Male,Nonsmoker,NA,0.0034
0,56,57,t3291,Male,Nonsmoker,NA,0.00364
0,57,58,t3291,Male,Nonsmoker,NA,0.00387
0,58,59,t3291,Male,Nonsmoker,NA,0.00411
0,59,60,t3291,Male,Nonsmoker,NA,0.00439
0,60,61,t3291,Male,Nonsmoker,NA,0.00474
0,61,62,t3291,Male,Nonsmoker,NA,0.00521
0,62,63,t3291,Male,Nonsmoker,NA,0.00579
0,63,64,t3291,Male,Nonsmoker,NA,0.00644
0,64,65,t3291,Male,Nonsmoker,NA,0.00717
0,65,66,t3291,Male,Nonsmoker,NA,0.00796
0,66,67,t3291,Male,Nonsmoker,NA,0.00881
0,67,68,t3291,Male,Nonsmoker,NA,0.00972
0,68,69,t3291,Male,Nonsmoker,NA,0.01073
0,69,70,t3291,Male,Nonsmoker,NA,0.01187
0,70,71,t3291,Male,Nonsmoker,NA,0.01321
0,71,72,t3291,Male,Nonsmoker,NA,0.0148
0,72,73,t3291,Male,Nonsmoker,NA,0.0167
0,73,74,t3291,Male,Nonsmoker,NA,0.01891
0,74,75,t3291,Male,Nonsmoker,NA,0.02143
0,75,76,t3291,Male,Nonsmoker,NA,0.02424
0,76,77,t3291,Male,Nonsmoker,NA,0.02732
0,77,78,t3291,Male,Nonsmoker,NA,0.03071
0,78,79,t3291,Male,Nonsmoker,NA,0.03446
0,79,80,t3291,Male,Nonsmoker,NA,0.03874
0,80,81,t3291,Male,Nonsmoker,NA,0.04368
0,81,82,t3291,Male,Nonsmoker,NA,0.04946
0,82,83,t3291,Male,Nonsmoker,NA,0.05593
0,83,84,t3291,Male,Nonsmoker,NA,0.06346
0,84,85,t3291,Male,Nonsmoker,NA,0.07219
0,85,86,t3291,Male,Nonsmoker,NA,0.08234
0,86,87,t3291,Male,Nonsmoker,NA,0.09409
0,87,88,t3291,Male,Nonsmoker,NA,0.10761
0,88,89,t3291,Male,Nonsmoker,NA,0.1229
0,89,90,t3291,Male,Nonsmoker,NA,0.13949
