table,gender,tobacco,issue_age,duration,q_sel
t3291,Male,Nonsmoker,18,1,8.3e-4
t3291,Male,Nonsmoker,18,2,8.6e-4
t3291,Male,Nonsmoker,18,3,8.9e-4
t3291,Male,Nonsmoker,18,4,0.00093000000000000005
t3291,Male,Nonsmoker,18,5,8.9e-4
t3291,Male,Nonsmoker,18,6,8.6e-4
t3291,Male,Nonsmoker,18,7,8.5e-4
t3291,Male,Nonsmoker,18,8,8.5e-4
t3291,Male,Nonsmoker,18,9,7.2e-4
t3291,Male,Nonsmoker,18,10,6.9e-4
t3291,Male,Nonsmoker,18,11,6.3e-4
t3291,Male,Nonsmoker,18,12,5.8e-4
t3291,Male,Nonsmoker,18,13,5.5e-4
t3291,Male,Nonsmoker,18,14,5.7e-4
t3291,Male,Nonsmoker,18,15,5.9e-4
t3291,Male,Nonsmoker,18,16,6.7e-4
t3291,Male,Nonsmoker,18,17,7.8e-4
t3291,Male,Nonsmoker,18,18,9e-4
t3291,Male,Nonsmoker,18,19,0.00105
t3291,Male,Nonsmoker,18,20,0.00118
t3291,Male,Nonsmoker,18,21,0.0013
t3291,Male,Nonsmoker,18,22,0.00137
t3291,Male,Nonsmoker,18,23,0.00143
t3291,Male,Nonsmoker,18,24,0.00151
t3291,Male,Nonsmoker,18,25,0.00161
t3291,Male,Nonsmoker,19,1,7.7e-4
t3291,Male,Nonsmoker,19,2,8e-4
t3291,Male,Nonsmoker,19,3,8.2e-4
t3291,Male,Nonsmoker,19,4,7.8e-4
t3291,Male,Nonsmoker,19,5,7.7e-4
t3291,Male,Nonsmoker,19,6,7.8e-4
t3291,Male,Nonsmoker,19,7,7.8e-4
t3291,Male,Nonsmoker,19,8,7.2e-4
t3291,Male,Nonsmoker,19,9,6.3e-4
t3291,Male,Nonsmoker,19,10,5.5e-4
t3291,Male,Nonsmoker,19,11,5.7e-4
t3291,Male,Nonsmoker,19,12,5.4e-4
t3291,Male,Nonsmoker,19,13,5.4e-4
t3291,Male,Nonsmoker,19,14,5.8e-4
t3291,Male,Nonsmoker,19,15,6.4e-4
t3291,Male,Nonsmoker,19,16,7e-4
t3291,Male,Nonsmoker,19,17,8e-4
t3291,Male,Nonsmoker,19,18,0.00093000000000000005
t3291,Male,Nonsmoker,19,19,0.00107
t3291,Male,Nonsmoker,19,20,0.00121
t3291,Male,Nonsmoker,19,21,0.00133
t3291,Male,Nonsmoker,19,22,0.00141
t3291,Male,Nonsmoker,19,23,0.00149
t3291,Male,Nonsmoker,19,24,0.00158
t3291,Male,Nonsmoker,19,25,0.00168
t3291,Male,Nonsmoker,20,1,6.6e-4
t3291,Male,Nonsmoker,20,2,6.8e-4
t3291,Male,Nonsmoker,20,3,7.6e-4
t3291,Male,Nonsmoker,20,4,7.3e-4
t3291,Male,Nonsmoker,20,5,7e-4
t3291,Male,Nonsmoker,20,6,6.9e-4
t3291,Male,Nonsmoker,20,7,6.7e-4
t3291,Male,Nonsmoker,20,8,6.1e-4
t3291,Male,Nonsmoker,20,9,5.4e-4
t3291,Male,Nonsmoker,20,10,5.5e-4
t3291,Male,Nonsmoker,20,11,5.3e-4
t3291,Male,Nonsmoker,20,12,5.3e-4
t3291,Male,Nonsmoker,20,13,5.4e-4
t3291,Male,Nonsmoker,20,14,6e-4
t3291,Male,Nonsmoker,20,15,6.6e-4
t3291,Male,Nonsmoker,20,16,7.2e-4
t3291,Male,Nonsmoker,20,17,8.3e-4
t3291,Male,Nonsmoker,20,18,9.6e-4
t3291,Male,Nonsmoker,20,19,0.0011
t3291,Male,Nonsmoker,20,20,0.00124
t3291,Male,Nonsmoker,20,21,0.00137
t3291,Male,Nonsmoker,20,22,0.00144
t3291,Male,Nonsmoker,20,23,0.00151
t3291,Male,Nonsmoker,20,24,0.00161
t3291,Male,Nonsmoker,20,25,0.00172
t3291,Male,Nonsmoker,21,1,5.6e-4
t3291,Male,Nonsmoker,21,2,6.8e-4
