table,gender,tobacco,attained_age,q_ult
t3291,Male,Nonsmoker,18,8.3e-4
t3291,Male,Nonsmoker,19,8.6e-4
t3291,Male,Nonsmoker,20,8.9e-4
t3291,Male,Nonsmoker,21,0.00093000000000000005
t3291,Male,Nonsmoker,22,8.9e-4
t3291,Male,Nonsmoker,23,8.6e-4
t3291,Male,Nonsmoker,24,8.5e-4
t3291,Male,Nonsmoker,25,8.5e-4
t3291,Male,Nonsmoker,26,7.2e-4
t3291,Male,Nonsmoker,27,6.9e-4
t3291,Male,Nonsmoker,28,6.3e-4
t3291,Male,Nonsmoker,29,5.8e-4
t3291,Male,Nonsmoker,30,5.5e-4
t3291,Male,Nonsmoker,31,5.7e-4
t3291,Male,Nonsmoker,32,5.9e-4
t3291,Male,Nonsmoker,33,6.7e-4
t3291,Male,Nonsmoker,34,7.8e-4
t3291,Male,Nonsmoker,35,9e-4
t3291,Male,Nonsmoker,36,0.00105
t3291,Male,Nonsmoker,37,0.00118
t3291,Male,Nonsmoker,38,0.0013
t3291,Male,Nonsmoker,39,0.00137
t3291,Male,Nonsmoker,40,0.00143
t3291,Male,Nonsmoker,41,0.00151
t3291,Male,Nonsmoker,42,0.00161
t3291,Male,Nonsmoker,43,0.0017
t3291,Male,Nonsmoker,44,0.00179
t3291,Male,Nonsmoker,45,0.00183
t3291,Male,Nonsmoker,46,0.00191
t3291,Male,Nonsmoker,47,0.00197
t3291,Male,Nonsmoker,48,0.00205
t3291,Male,Nonsmoker,49,0.00214
t3291,Male,Nonsmoker,50,0.00225
t3291,Male,Nonsmoker,51,0.00242
t3291,Male,Nonsmoker,52,0.00263
t3291,Male,Nonsmoker,53,0.00288
t3291,Male,Nonsmoker,54,0.00314
t3291,Male,Nonsmoker,55,0.0034
t3291,Male,Nonsmoker,56,0.00364
t3291,Male,Nonsmoker,57,0.00387
t3291,Male,Nonsmoker,58,0.00411
t3291,Male,Nonsmoker,59,0.00439
t3291,Male,Nonsmoker,60,0.00474
t3291,Male,Nonsmoker,61,0.00521
t3291,Male,Nonsmoker,62,0.00579
t3291,Male,Nonsmoker,63,0.00644
t3291,Male,Nonsmoker,64,0.00717
t3291,Male,Nonsmoker,65,0.00796
t3291,Male,Nonsmoker,66,0.00881
t3291,Male,Nonsmoker,67,0.00972
t3291,Male,Nonsmoker,68,0.01073
t3291,Male,Nonsmoker,69,0.01187
t3291,Male,Nonsmoker,70,0.01321
t3291,Male,Nonsmoker,71,0.0148
t3291,Male,Nonsmoker,72,0.0167
t3291,Male,Nonsmoker,73,0.01891
t3291,Male,Nonsmoker,74,0.02143
t3291,Male,Nonsmoker,75,0.02424
t3291,Male,Nonsmoker,76,0.02732
t3291,Male,Nonsmoker,77,0.03071
t3291,Male,Nonsmoker,78,0.03446
