issue_age,attained_age,duration,table,gender_blend,tobacco,q_sel,q_ult
0,0,1,t3324,20% Male,Nonsmoker,NA,NA
0,1,2,t3324,20% Male,Nonsmoker,NA,NA
0,2,3,t3324,20% Male,Nonsmoker,NA,NA
0,3,4,t3324,20% Male,Nonsmoker,NA,NA
0,4,5,t3324,20% Male,Nonsmoker,NA,NA
0,5,6,t3324,20% Male,Nonsmoker,NA,NA
0,6,7,t3324,20% Male,Nonsmoker,NA,NA
0,7,8,t3324,20% Male,Nonsmoker,NA,NA
0,8,9,t3324,20% Male,Nonsmoker,NA,NA
0,9,10,t3324,20% Male,Nonsmoker,NA,NA
0,10,11,t3324,20% Male,Nonsmoker,NA,NA
0,11,12,t3324,20% Male,Nonsmoker,NA,NA
0,12,13,t3324,20% Male,Nonsmoker,NA,NA
0,13,14,t3324,20% Male,Nonsmoker,NA,NA
0,14,15,t3324,20% Male,Nonsmoker,NA,NA
0,15,16,t3324,20% Male,Nonsmoker,NA,NA
0,16,17,t3324,20% Male,Nonsmoker,NA,NA
0,17,18,t3324,20% Male,Nonsmoker,NA,NA
0,18,19,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,19,20,t3324,20% Male,Nonsmoker,NA,4.3e-4
0,20,21,t3324,20% Male,Nonsmoker,NA,4.3e-4
0,21,22,t3324,20% Male,Nonsmoker,NA,4.3e-4
0,22,23,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,23,24,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,24,25,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,25,26,t3324,20% Male,Nonsmoker,NA,4.1e-4
0,26,27,t3324,20% Male,Nonsmoker,NA,3.9e-4
0,27,28,t3324,20% Male,Nonsmoker,NA,4e-4
0,28,29,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,29,30,t3324,20% Male,Nonsmoker,NA,4.2e-4
0,30,31,t3324,20% Male,Nonsmoker,NA,4.4e-4
0,31,32,t3324,20% Male,Nonsmoker,NA,4.6e-4
0,32,33,t3324,20% Male,Nonsmoker,NA,5.1e-4
0,33,34,t3324,20% Male,Nonsmoker,NA,5.8e-4
0,34,35,t3324,20% Male,Nonsmoker,NA,6.8e-4
0,35,36,t3324,20% Male,Nonsmoker,NA,7.8e-4
0,36,37,t3324,20% Male,Nonsmoker,NA,8.8e-4
0,37,38,t3324,20% Male,Nonsmoker,NA,9.8e-4
0,38,39,t3324,20% Male,Nonsmoker,NA,0.00105
0,39,40,t3324,20% Male,Nonsmoker,NA,0.00109
0,40,41,t3324,20% Male,Nonsmoker,NA,0.00112
