table,gender_blend,tobacco,issue_age,duration,q_sel
t3324,20% Male,Nonsmoker,18,1,4.2e-4
t3324,20% Male,Nonsmoker,18,2,4.3e-4
t3324,20% Male,Nonsmoker,18,3,4.3e-4
t3324,20% Male,Nonsmoker,18,4,4.3e-4
t3324,20% Male,Nonsmoker,18,5,4.2e-4
t3324,20% Male,Nonsmoker,18,6,4.2e-4
t3324,20% Male,Nonsmoker,18,7,4.2e-4
t3324,20% Male,Nonsmoker,18,8,4.1e-4
t3324,20% Male,Nonsmoker,18,9,3.9e-4
t3324,20% Male,Nonsmoker,18,10,4e-4
t3324,20% Male,Nonsmoker,18,11,4.2e-4
t3324,20% Male,Nonsmoker,18,12,4.2e-4
t3324,20% Male,Nonsmoker,18,13,4.4e-4
t3324,20% Male,Nonsmoker,18,14,4.6e-4
t3324,20% Male,Nonsmoker,18,15,5.1e-4
t3324,20% Male,Nonsmoker,18,16,5.8e-4
t3324,20% Male,Nonsmoker,18,17,6.8e-4
t3324,20% Male,Nonsmoker,18,18,7.8e-4
t3324,20% Male,Nonsmoker,18,19,8.8e-4
t3324,20% Male,Nonsmoker,18,20,9.8e-4
t3324,20% Male,Nonsmoker,18,21,0.00105
t3324,20% Male,Nonsmoker,18,22,0.00109
t3324,20% Male,Nonsmoker,18,23,0.00112
t3324,20% Male,Nonsmoker,18,24,0.00114
t3324,20% Male,Nonsmoker,18,25,0.00116
t3324,20% Male,Nonsmoker,19,1,3.9e-4
t3324,20% Male,Nonsmoker,19,2,3.9e-4
t3324,20% Male,Nonsmoker,19,3,4e-4
t3324,20% Male,Nonsmoker,19,4,3.9e-4
t3324,20% Male,Nonsmoker,19,5,4e-4
t3324,20% Male,Nonsmoker,19,6,3.9e-4
t3324,20% Male,Nonsmoker,19,7,3.8e-4
t3324,20% Male,Nonsmoker,19,8,3.7e-4
t3324,20% Male,Nonsmoker,19,9,3.7e-4
t3324,20% Male,Nonsmoker,19,10,3.8e-4
t3324,20% Male,Nonsmoker,19,11,4e-4
t3324,20% Male,Nonsmoker,19,12,4.1e-4
t3324,20% Male,Nonsmoker,19,13,4.3e-4
t3324,20% Male,Nonsmoker,19,14,4.6e-4
t3324,20% Male,Nonsmoker,19,15,5.2e-4
t3324,20% Male,Nonsmoker,19,16,6.1e-4
t3324,20% Male,Nonsmoker,19,17,7.1e-4
t3324,20% Male,Nonsmoker,19,18,8.2e-4
t3324,20% Male,Nonsmoker,19,19,0.00093000000000000005
t3324,20% Male,Nonsmoker,19,20,0.00102
t3324,20% Male,Nonsmoker,19,21,0.00109
t3324,20% Male,Nonsmoker,19,22,0.00111
t3324,20% Male,Nonsmoker,19,23,0.00113
t3324,20% Male,Nonsmoker,19,24,0.00115
t3324,20% Male,Nonsmoker,19,25,0.00117
t3324,20% Male,Nonsmoker,20,1,3.3e-4
t3324,20% Male,Nonsmoker,20,2,3.5e-4
t3324,20% Male,Nonsmoker,20,3,3.6e-4
t3324,20% Male,Nonsmoker,20,4,3.6e-4
t3324,20% Male,Nonsmoker,20,5,3.5e-4
t3324,20% Male,Nonsmoker,20,6,3.4e-4
t3324,20% Male,Nonsmoker,20,7,3.4e-4
t3324,20% Male,Nonsmoker,20,8,3.4e-4
t3324,20% Male,Nonsmoker,20,9,3.5e-4
t3324,20% Male,Nonsmoker,20,10,3.8e-4
t3324,20% Male,Nonsmoker,20,11,3.9e-4
t3324,20% Male,Nonsmoker,20,12,4.1e-4
t3324,20% Male,Nonsmoker,20,13,4.2e-4
t3324,20% Male,Nonsmoker,20,14,4.7e-4
t3324,20% Male,Nonsmoker,20,15,5.4e-4
t3324,20% Male,Nonsmoker,20,16,6.3e-4
t3324,20% Male,Nonsmoker,20,17,7.4e-4
t3324,20% Male,Nonsmoker,20,18,8.5e-4
t3324,20% Male,Nonsmoker,20,19,9.5e-4
t3324,20% Male,Nonsmoker,20,20,0.00104
t3324,20% Male,Nonsmoker,20,21,0.0011
t3324,20% Male,Nonsmoker,20,22,0.00112
t3324,20% Male,Nonsmoker,20,23,0.00114
t3324,20% Male,Nonsmoker,20,24,0.00116
t3324,20% Male,Nonsmoker,20,25,0.00119
t3324,20% Male,Nonsmoker,21,1,2.8e-4
t3324,20% Male,Nonsmoker,21,2,3.2e-4
t3324,20% Male,Nonsmoker,21,3,3.3e-4
t3324,20% Male,Nonsmoker,21,4,3.1e-4
t3324,20% Male,Nonsmoker,21,5,3e-4
t3324,20% Male,Nonsmoker,21,6,2.9e-4
t3324,20% Male,Nonsmoker,21,7,3e-4
t3324,20% Male,Nonsmoker,21,8,3.2e-4
t3324,20% Male,Nonsmoker,21,9,3.5e-4
t3324,20% Male,Nonsmoker,21,10,3.8e-4
t3324,20% Male,Nonsmoker,21,11,3.9e-4
t3324,20% Male,Nonsmoker,21,12,4e-4
t3324,20% Male,Nonsmoker,21,13,4.3e-4
t3324,20% Male,Nonsmoker,21,14,4.9e-4
t3324,20% Male,Nonsmoker,21,15,5.7e-4
t3324,20% Male,Nonsmoker,21,16,6.6e-4
t3324,20% Male,Nonsmoker,21,17,7.6e-4
t3324,20% Male,Nonsmoker,21,18,8.6e-4
t3324,20% Male,Nonsmoker,21,19,9.7e-4
t3324,20% Male,Nonsmoker,21,20,0.00106
t3324,20% Male,Nonsmoker,21,21,0.00111
t3324,20% Male,Nonsmoker,21,22,0.00112
t3324,20% Male,Nonsmoker,21,23,0.00114
t3324,20% Male,Nonsmoker,21,24,0.00117
t3324,20% Male,Nonsmoker,21,25,0.00122
t3324,20% Male,Nonsmoker,22,1,2.5e-4
t3324,20% Male,Nonsmoker,22,2,2.9e-4
t3324,20% Male,Nonsmoker,22,3,2.8e-4
t3324,20% Male,Nonsmoker,22,4,2.7e-4
t3324,20% Male,Nonsmoker,22,5,2.6e-4
t3324,20% Male,Nonsmoker,22,6,2.7e-4
t3324,20% Male,Nonsmoker,22,7,2.8e-4
t3324,20% Male,Nonsmoker,22,8,3.2e-4
t3324,20% Male,Nonsmoker,22,9,3.4e-4
t3324,20% Male,Nonsmoker,22,10,3.8e-4
t3324,20% Male,Nonsmoker,22,11,3.9e-4
t3324,20% Male,Nonsmoker,22,12,4.1e-4
t3324,20% Male,Nonsmoker,22,13,4.5e-4
t3324,20% Male,Nonsmoker,22,14,5.2e-4
t3324,20% Male,Nonsmoker,22,15,6.1e-4
t3324,20% Male,Nonsmoker,22,16,6.9e-4
t3324,20% Male,Nonsmoker,22,17,7.8e-4
t3324,20% Male,Nonsmoker,22,18,8.8e-4
t3324,20% Male,Nonsmoker,22,19,9.7e-4
t3324,20% Male,Nonsmoker,22,20,0.00106
t3324,20% Male,Nonsmoker,22,21,0.00111
t3324,20% Male,Nonsmoker,22,22,0.00112
t3324,20% Male,Nonsmoker,22,23,0.00115
t3324,20% Male,Nonsmoker,22,24,0.00119
t3324,20% Male,Nonsmoker,22,25,0.00126
t3324,20% Male,Nonsmoker,23,1,2.2e-4
t3324,20% Male,Nonsmoker,23,2,2.5e-4
t3324,20% Male,Nonsmoker,23,3,2.5e-4
t3324,20% Male,Nonsmoker,23,4,2.3e-4
t3324,20% Male,Nonsmoker,23,5,2.4e-4
t3324,20% Male,Nonsmoker,23,6,2.6e-4
t3324,20% Male,Nonsmoker,23,7,2.8e-4
t3324,20% Male,Nonsmoker,23,8,3.2e-4
t3324,20% Male,Nonsmoker,23,9,3.5e-4
t3324,20% Male,Nonsmoker,23,10,3.8e-4
t3324,20% Male,Nonsmoker,23,11,4e-4
t3324,20% Male,Nonsmoker,23,12,4.3e-4
t3324,20% Male,Nonsmoker,23,13,4.8e-4
t3324,20% Male,Nonsmoker,23,14,5.6e-4
t3324,20% Male,Nonsmoker,23,15,6.5e-4
t3324,20% Male,Nonsmoker,23,16,7.2e-4
t3324,20% Male,Nonsmoker,23,17,8e-4
t3324,20% Male,Nonsmoker,23,18,8.9e-4
t3324,20% Male,Nonsmoker,23,19,9.8e-4
t3324,20% Male,Nonsmoker,23,20,0.00106
t3324,20% Male,Nonsmoker,23,21,0.00111
t3324,20% Male,Nonsmoker,23,22,0.00113
t3324,20% Male,Nonsmoker,23,23,0.00116
t3324,20% Male,Nonsmoker,23,24,0.00123
t3324,20% Male,Nonsmoker,23,25,0.00132
t3324,20% Male,Nonsmoker,24,1,1.8e-4
t3324,20% Male,Nonsmoker,24,2,2.3e-4
t3324,20% Male,Nonsmoker,24,3,2.2e-4
t3324,20% Male,Nonsmoker,24,4,2.2e-4
t3324,20% Male,Nonsmoker,24,5,2.2e-4
t3324,20% Male,Nonsmoker,24,6,2.5e-4
t3324,20% Male,Nonsmoker,24,7,2.8e-4
t3324,20% Male,Nonsmoker,24,8,3.2e-4
t3324,20% Male,Nonsmoker,24,9,3.5e-4
t3324,20% Male,Nonsmoker,24,10,3.8e-4
t3324,20% Male,Nonsmoker,24,11,4.2e-4
t3324,20% Male,Nonsmoker,24,12,4.6e-4
t3324,20% Male,Nonsmoker,24,13,5.2e-4
t3324,20% Male,Nonsmoker,24,14,6.1e-4
t3324,20% Male,Nonsmoker,24,15,6.9e-4
t3324,20% Male,Nonsmoker,24,16,7.5e-4
t3324,20% Male,Nonsmoker,24,17,8.2e-4
t3324,20% Male,Nonsmoker,24,18,9.1e-4
t3324,20% Male,Nonsmoker,24,19,0.001
t3324,20% Male,Nonsmoker,24,20,0.00106
t3324,20% Male,Nonsmoker,24,21,0.00112
t3324,20% Male,Nonsmoker,24,22,0.00115
t3324,20% Male,Nonsmoker,24,23,0.0012
t3324,20% Male,Nonsmoker,24,24,0.00129
t3324,20% Male,Nonsmoker,24,25,0.00139
t3324,20% Male,Nonsmoker,25,1,1.6e-4
t3324,20% Male,Nonsmoker,25,2,1.9e-4
t3324,20% Male,Nonsmoker,25,3,2e-4
t3324,20% Male,Nonsmoker,25,4,2e-4
t3324,20% Male,Nonsmoker,25,5,2.3e-4
t3324,20% Male,Nonsmoker,25,6,2.5e-4
t3324,20% Male,Nonsmoker,25,7,2.8e-4
t3324,20% Male,Nonsmoker,25,8,3.2e-4
t3324,20% Male,Nonsmoker,25,9,3.6e-4
t3324,20% Male,Nonsmoker,25,10,4.1e-4
t3324,20% Male,Nonsmoker,25,11,4.5e-4
