table,gender_blend,tobacco,issue_age,duration,q_sel
t3319,20% Male,Nonsmoker,18,1,4.3e-4
t3319,20% Male,Nonsmoker,18,2,4.4e-4
t3319,20% Male,Nonsmoker,18,3,4.4e-4
t3319,20% Male,Nonsmoker,18,4,4.5e-4
t3319,20% Male,Nonsmoker,18,5,4.4e-4
t3319,20% Male,Nonsmoker,18,6,4.4e-4
t3319,20% Male,Nonsmoker,18,7,4.3e-4
t3319,20% Male,Nonsmoker,18,8,4.3e-4
t3319,20% Male,Nonsmoker,18,9,4.1e-4
t3319,20% Male,Nonsmoker,18,10,4.2e-4
t3319,20% Male,Nonsmoker,18,11,4.2e-4
t3319,20% Male,Nonsmoker,18,12,4.3e-4
t3319,20% Male,Nonsmoker,18,13,4.4e-4
t3319,20% Male,Nonsmoker,18,14,4.7e-4
t3319,20% Male,Nonsmoker,18,15,5e-4
t3319,20% Male,Nonsmoker,18,16,5.7e-4
t3319,20% Male,Nonsmoker,18,17,6.5e-4
t3319,20% Male,Nonsmoker,18,18,7.5e-4
t3319,20% Male,Nonsmoker,18,19,8.5e-4
t3319,20% Male,Nonsmoker,18,20,9.5e-4
t3319,20% Male,Nonsmoker,18,21,0.00104
t3319,20% Male,Nonsmoker,18,22,0.00108
t3319,20% Male,Nonsmoker,18,23,0.00111
t3319,20% Male,Nonsmoker,18,24,0.00113
t3319,20% Male,Nonsmoker,18,25,0.00115
t3319,20% Male,Nonsmoker,19,1,4.2e-4
t3319,20% Male,Nonsmoker,19,2,4.2e-4
t3319,20% Male,Nonsmoker,19,3,4.1e-4
t3319,20% Male,Nonsmoker,19,4,4e-4
t3319,20% Male,Nonsmoker,19,5,4.1e-4
t3319,20% Male,Nonsmoker,19,6,4.1e-4
t3319,20% Male,Nonsmoker,19,7,4e-4
t3319,20% Male,Nonsmoker,19,8,3.8e-4
t3319,20% Male,Nonsmoker,19,9,3.7e-4
t3319,20% Male,Nonsmoker,19,10,3.8e-4
t3319,20% Male,Nonsmoker,19,11,4e-4
t3319,20% Male,Nonsmoker,19,12,4.2e-4
t3319,20% Male,Nonsmoker,19,13,4.3e-4
t3319,20% Male,Nonsmoker,19,14,4.6e-4
t3319,20% Male,Nonsmoker,19,15,5.1e-4
t3319,20% Male,Nonsmoker,19,16,6e-4
t3319,20% Male,Nonsmoker,19,17,7e-4
t3319,20% Male,Nonsmoker,19,18,8.1e-4
t3319,20% Male,Nonsmoker,19,19,9.2e-4
t3319,20% Male,Nonsmoker,19,20,0.00101
t3319,20% Male,Nonsmoker,19,21,0.00107
t3319,20% Male,Nonsmoker,19,22,0.00111
t3319,20% Male,Nonsmoker,19,23,0.00113
t3319,20% Male,Nonsmoker,19,24,0.00115
t3319,20% Male,Nonsmoker,19,25,0.00117
t3319,20% Male,Nonsmoker,20,1,3.6e-4
t3319,20% Male,Nonsmoker,20,2,3.6e-4
t3319,20% Male,Nonsmoker,20,3,3.8e-4
t3319,20% Male,Nonsmoker,20,4,3.9e-4
t3319,20% Male,Nonsmoker,20,5,3.8e-4
t3319,20% Male,Nonsmoker,20,6,3.7e-4
t3319,20% Male,Nonsmoker,20,7,3.6e-4
t3319,20% Male,Nonsmoker,20,8,3.5e-4
t3319,20% Male,Nonsmoker,20,9,3.5e-4
t3319,20% Male,Nonsmoker,20,10,3.8e-4
t3319,20% Male,Nonsmoker,20,11,3.9e-4
t3319,20% Male,Nonsmoker,20,12,4.1e-4
t3319,20% Male,Nonsmoker,20,13,4.2e-4
t3319,20% Male,Nonsmoker,20,14,4.6e-4
t3319,20% Male,Nonsmoker,20,15,5.3e-4
t3319,20% Male,Nonsmoker,20,16,6.2e-4
t3319,20% Male,Nonsmoker,20,17,7.3e-4
t3319,20% Male,Nonsmoker,20,18,8.4e-4
t3319,20% Male,Nonsmoker,20,19,9.4e-4
t3319,20% Male,Nonsmoker,20,20,0.00103
t3319,20% Male,Nonsmoker,20,21,0.0011
t3319,20% Male,Nonsmoker,20,22,0.00112
t3319,20% Male,Nonsmoker,20,23,0.00113
t3319,20% Male,Nonsmoker,20,24,0.00115
t3319,20% Male,Nonsmoker,20,25,0.00118
t3319,20% Male,Nonsmoker,21,1,3e-4
t3319,20% Male,Nonsmoker,21,2,3.4e-4
t3319,20% Male,Nonsmoker,21,3,3.4e-4
t3319,20% Male,Nonsmoker,21,4,3.4e-4
t3319,20% Male,Nonsmoker,21,5,3.3e-4
t3319,20% Male,Nonsmoker,21,6,3.1e-4
t3319,20% Male,Nonsmoker,21,7,3.2e-4
t3319,20% Male,Nonsmoker,21,8,3.3e-4
t3319,20% Male,Nonsmoker,21,9,3.4e-4
t3319,20% Male,Nonsmoker,21,10,3.7e-4
