table,gender_blend,tobacco,attained_age,q_ult
t3319,20% Male,Nonsmoker,18,4.3e-4
t3319,20% Male,Nonsmoker,19,4.4e-4
t3319,20% Male,Nonsmoker,20,4.4e-4
t3319,20% Male,Nonsmoker,21,4.5e-4
t3319,20% Male,Nonsmoker,22,4.4e-4
t3319,20% Male,Nonsmoker,23,4.4e-4
t3319,20% Male,Nonsmoker,24,4.3e-4
t3319,20% Male,Nonsmoker,25,4.3e-4
t3319,20% Male,Nonsmoker,26,4.1e-4
t3319,20% Male,Nonsmoker,27,4.2e-4
t3319,20% Male,Nonsmoker,28,4.2e-4
t3319,20% Male,Nonsmoker,29,4.3e-4
t3319,20% Male,Nonsmoker,30,4.4e-4
t3319,20% Male,Nonsmoker,31,4.7e-4
t3319,20% Male,Nonsmoker,32,5e-4
t3319,20% Male,Nonsmoker,33,5.7e-4
t3319,20% Male,Nonsmoker,34,6.5e-4
t3319,20% Male,Nonsmoker,35,7.5e-4
t3319,20% Male,Nonsmoker,36,8.5e-4
t3319,20% Male,Nonsmoker,37,9.5e-4
t3319,20% Male,Nonsmoker,38,0.00104
t3319,20% Male,Nonsmoker,39,0.00108
t3319,20% Male,Nonsmoker,40,0.00111
t3319,20% Male,Nonsmoker,41,0.00113
t3319,20% Male,Nonsmoker,42,0.00115
t3319,20% Male,Nonsmoker,43,0.00117
t3319,20% Male,Nonsmoker,44,0.0012
t3319,20% Male,Nonsmoker,45,0.00121
t3319,20% Male,Nonsmoker,46,0.00125
t3319,20% Male,Nonsmoker,47,0.00131
t3319,20% Male,Nonsmoker,48,0.00137
t3319,20% Male,Nonsmoker,49,0.00145
t3319,20% Male,Nonsmoker,50,0.00155
t3319,20% Male,Nonsmoker,51,0.00169
t3319,20% Male,Nonsmoker,52,0.00187
t3319,20% Male,Nonsmoker,53,0.00209
t3319,20% Male,Nonsmoker,54,0.00232
t3319,20% Male,Nonsmoker,55,0.00257
t3319,20% Male,Nonsmoker,56,0.0028
t3319,20% Male,Nonsmoker,57,0.00302
t3319,20% Male,Nonsmoker,58,0.00325
t3319,20% Male,Nonsmoker,59,0.0035
t3319,20% Male,Nonsmoker,60,0.00379
t3319,20% Male,Nonsmoker,61,0.00413
t3319,20% Male,Nonsmoker,62,0.00454
t3319,20% Male,Nonsmoker,63,0.00501
t3319,20% Male,Nonsmoker,64,0.00553
t3319,20% Male,Nonsmoker,65,0.0061
t3319,20% Male,Nonsmoker,66,0.0067
t3319,20% Male,Nonsmoker,67,0.00735
t3319,20% Male,Nonsmoker,68,0.00807
t3319,20% Male,Nonsmoker,69,0.00888
t3319,20% Male,Nonsmoker,70,0.00982
t3319,20% Male,Nonsmoker,71,0.01094
t3319,20% Male,Nonsmoker,72,0.01227
t3319,20% Male,Nonsmoker,73,0.01381
t3319,20% Male,Nonsmoker,74,0.0156
t3319,20% Male,Nonsmoker,75,0.01765
t3319,20% Male,Nonsmoker,76,0.01995
t3319,20% Male,Nonsmoker,77,0.0226
t3319,20% Male,Nonsmoker,78,0.02564
t3319,20% Male,Nonsmoker,79,0.02922
t3319,20% Male,Nonsmoker,80,0.03352
t3319,20% Male,Nonsmoker,81,0.0385
t3319,20% Male,Nonsmoker,82,0.04357
t3319,20% Male,Nonsmoker,83,0.0492
t3319,20% Male,Nonsmoker,84,0.05589
t3319,20% Male,Nonsmoker,85,0.06552
t3319,20% Male,Nonsmoker,86,0.0746
t3319,20% Male,Nonsmoker,87,0.08485
t3319,20% Male,Nonsmoker,88,0.09676
t3319,20% Male,Nonsmoker,89,0.10991
t3319,20% Male,Nonsmoker,90,0.12424
t3319,20% Male,Nonsmoker,91,0.13937
t3319,20% Male,Nonsmoker,92,0.15549
t3319,20% Male,Nonsmoker,93,0.17256
t3319,20% Male,Nonsmoker,94,0.18952
t3319,20% Male,Nonsmoker,95,0.20715
t3319,20% Male,Nonsmoker,96,0.22903
t3319,20% Male,Nonsmoker,97,0.25295
t3319,20% Male,Nonsmoker,98,0.27901
t3319,20% Male,Nonsmoker,99,0.30684
t3319,20% Male,Nonsmoker,100,0.33601
t3319,20% Male,Nonsmoker,101,0.36083
