issue_age,attained_age,duration,table,gender,q_sel,q_ult
0,0,1,t3363,Male,1.9e-4,1.9e-4
0,1,2,t3363,Male,1.2e-4,1.2e-4
0,2,3,t3363,Male,1.1e-4,1.1e-4
0,3,4,t3363,Male,9e-5,9e-5
0,4,5,t3363,Male,9e-5,9e-5
0,5,6,t3363,Male,8e-5,8e-5
0,6,7,t3363,Male,8e-5,8e-5
0,7,8,t3363,Male,8e-5,8e-5
0,8,9,t3363,Male,7e-5,7e-5
0,9,10,t3363,Male,8e-5,8e-5
0,10,11,t3363,Male,8e-5,8e-5
0,11,12,t3363,Male,9e-5,9e-5
0,12,13,t3363,Male,1.1e-4,1.1e-4
0,13,14,t3363,Male,1.6e-4,1.6e-4
0,14,15,t3363,Male,2.3e-4,2.3e-4
0,15,16,t3363,Male,3.4e-4,3.4e-4
0,16,17,t3363,Male,4.8e-4,4.8e-4
0,17,18,t3363,Male,6.3e-4,6.3e-4
0,18,19,t3363,Male,7.5e-4,7.5e-4
0,19,20,t3363,Male,8.2e-4,8.2e-4
0,20,21,t3363,Male,8.5e-4,8.5e-4
0,21,22,t3363,Male,8.6e-4,8.6e-4
0,22,23,t3363,Male,8.6e-4,8.6e-4
0,23,24,t3363,Male,8.6e-4,8.6e-4
0,24,25,t3363,Male,8.6e-4,8.6e-4
0,25,26,t3363,Male,NA,8.6e-4
0,26,27,t3363,Male,NA,8.5e-4
0,27,28,t3363,Male,NA,8.4e-4
0,28,29,t3363,Male,NA,8.3e-4
0,29,30,t3363,Male,NA,8.2e-4
0,30,31,t3363,Male,NA,8.4e-4
0,31,32,t3363,Male,NA,8.8e-4
0,32,33,t3363,Male,NA,9.5e-4
0,33,34,t3363,Male,NA,0.00102
0,34,35,t3363,Male,NA,0.0011
0,35,36,t3363,Male,NA,0.0012
0,36,37,t3363,Male,NA,0.0013
0,37,38,t3363,Male,NA,0.0014
0,38,39,t3363,Male,NA,0.00151
0,39,40,t3363,Male,NA,0.00163
0,40,41,t3363,Male,NA,0.00176
0,41,42,t3363,Male,NA,0.00188
0,42,43,t3363,Male,NA,0.00198
0,43,44,t3363,Male,NA,0.00202
0,44,45,t3363,Male,NA,0.00208
0,45,46,t3363,Male,NA,0.00214
0,46,47,t3363,Male,NA,0.00219
0,47,48,t3363,Male,NA,0.00225
0,48,49,t3363,Male,NA,0.00231
0,49,50,t3363,Male,NA,0.00239
0,50,51,t3363,Male,NA,0.00251
0,51,52,t3363,Male,NA,0.00266
0,52,53,t3363,Male,NA,0.00283
0,53,54,t3363,Male,NA,0.00303
0,54,55,t3363,Male,NA,0.00327
0,55,56,t3363,Male,NA,0.00353
0,56,57,t3363,Male,NA,0.00384
0,57,58,t3363,Male,NA,0.0042
0,58,59,t3363,Male,NA,0.0046
0,59,60,t3363,Male,NA,0.00507
0,60,61,t3363,Male,NA,0.00562
0,61,62,t3363,Male,NA,0.00623
0,62,63,t3363,Male,NA,0.00693
0,63,64,t3363,Male,NA,0.00771
0,64,65,t3363,Male,NA,0.00855
0,65,66,t3363,Male,NA,0.00945
0,66,67,t3363,Male,NA,0.0104
0,67,68,t3363,Male,NA,0.01143
0,68,69,t3363,Male,NA,0.01256
0,69,70,t3363,Male,NA,0.01386
0,70,71,t3363,Male,NA,0.01538
0,71,72,t3363,Male,NA,0.01716
0,72,73,t3363,Male,NA,0.01924
0,73,74,t3363,Male,NA,0.0216
0,74,75,t3363,Male,NA,0.02423
0,75,76,t3363,Male,NA,0.02708
0,76,77,t3363,Male,NA,0.03015
0,77,78,t3363,Male,NA,0.03347
0,78,79,t3363,Male,NA,0.03715
0,79,80,t3363,Male,NA,0.04131
0,80,81,t3363,Male,NA,0.04606
0,81,82,t3363,Male,NA,0.05141
0,82,83,t3363,Male,NA,0.05768
0,83,84,t3363,Male,NA,0.06513
0,84,85,t3363,Male,NA,0.07369
0,85,86,t3363,Male,NA,0.08352
0,86,87,t3363,Male,NA,0.09471
0,87,88,t3363,Male,NA,0.10726
0,88,89,t3363,Male,NA,0.12094
0,89,90,t3363,Male,NA,0.13544
0,90,91,t3363,Male,NA,0.15043
0,91,92,t3363,Male,NA,0.16548
0,92,93,t3363,Male,NA,0.18031
0,93,94,t3363,Male,NA,0.19455
0,94,95,t3363,Male,NA,0.20755
0,95,96,t3363,Male,NA,0.22127
0,96,97,t3363,Male,NA,0.2375
0,97,98,t3363,Male,NA,0.25511
0,98,99,t3363,Male,NA,0.27422
0,99,100,t3363,Male,NA,0.29448
0,100,101,t3363,Male,NA,0.31552
0,101,102,t3363,Male,NA,0.33699
0,102,103,t3363,Male,NA,0.35854
0,103,104,t3363,Male,NA,0.37981
0,104,105,t3363,Male,NA,0.40044
0,105,106,t3363,Male,NA,0.42009
0,106,107,t3363,Male,NA,0.4384
0,107,108,t3363,Male,NA,0.45501
0,108,109,t3363,Male,NA,0.46956
0,109,110,t3363,Male,NA,0.4817
0,110,111,t3363,Male,NA,0.49107
0,111,112,t3363,Male,NA,0.49731
0,112,113,t3363,Male,NA,0.5
0,113,114,t3363,Male,NA,0.5
0,114,115,t3363,Male,NA,0.5
0,115,116,t3363,Male,NA,0.5
0,116,117,t3363,Male,NA,0.5
0,117,118,t3363,Male,NA,0.5
0,118,119,t3363,Male,NA,0.5
0,119,120,t3363,Male,NA,0.5
0,120,121,t3363,Male,NA,0.5
1,1,1,t3363,Male,1.2e-4,1.2e-4
1,2,2,t3363,Male,1.1e-4,1.1e-4
1,3,3,t3363,Male,9e-5,9e-5
1,4,4,t3363,Male,9e-5,9e-5
