table,gender,issue_age,duration,q_sel
t3363,Male,0,1,1.9e-4
t3363,Male,0,2,1.2e-4
t3363,Male,0,3,1.1e-4
t3363,Male,0,4,9e-5
t3363,Male,0,5,9e-5
t3363,Male,0,6,8e-5
t3363,Male,0,7,8e-5
t3363,Male,0,8,8e-5
t3363,Male,0,9,7e-5
t3363,Male,0,10,8e-5
t3363,Male,0,11,8e-5
t3363,Male,0,12,9e-5
t3363,Male,0,13,1.1e-4
t3363,Male,0,14,1.6e-4
t3363,Male,0,15,2.3e-4
t3363,Male,0,16,3.4e-4
t3363,Male,0,17,4.8e-4
t3363,Male,0,18,6.3e-4
t3363,Male,0,19,7.5e-4
t3363,Male,0,20,8.2e-4
t3363,Male,0,21,8.5e-4
t3363,Male,0,22,8.6e-4
t3363,Male,0,23,8.6e-4
t3363,Male,0,24,8.6e-4
t3363,Male,0,25,8.6e-4
t3363,Male,1,1,1.2e-4
t3363,Male,1,2,1.1e-4
t3363,Male,1,3,9e-5
t3363,Male,1,4,9e-5
t3363,Male,1,5,8e-5
t3363,Male,1,6,8e-5
t3363,Male,1,7,8e-5
t3363,Male,1,8,7e-5
t3363,Male,1,9,8e-5
t3363,Male,1,10,8e-5
t3363,Male,1,11,9e-5
t3363,Male,1,12,1.1e-4
t3363,Male,1,13,1.6e-4
t3363,Male,1,14,2.3e-4
t3363,Male,1,15,3.4e-4
t3363,Male,1,16,4.8e-4
t3363,Male,1,17,6.3e-4
t3363,Male,1,18,7.5e-4
t3363,Male,1,19,8.2e-4
t3363,Male,1,20,8.5e-4
t3363,Male,1,21,8.6e-4
t3363,Male,1,22,8.6e-4
t3363,Male,1,23,8.6e-4
t3363,Male,1,24,8.6e-4
t3363,Male,1,25,8.6e-4
t3363,Male,2,1,1.1e-4
t3363,Male,2,2,9e-5
t3363,Male,2,3,9e-5
t3363,Male,2,4,8e-5
t3363,Male,2,5,8e-5
t3363,Male,2,6,8e-5
t3363,Male,2,7,7e-5
t3363,Male,2,8,8e-5
t3363,Male,2,9,8e-5
t3363,Male,2,10,9e-5
t3363,Male,2,11,1.1e-4
t3363,Male,2,12,1.6e-4
t3363,Male,2,13,2.3e-4
t3363,Male,2,14,3.4e-4
t3363,Male,2,15,4.8e-4
t3363,Male,2,16,6.3e-4
t3363,Male,2,17,7.5e-4
t3363,Male,2,18,8.2e-4
t3363,Male,2,19,8.5e-4
t3363,Male,2,20,8.6e-4
t3363,Male,2,21,8.6e-4
t3363,Male,2,22,8.6e-4
t3363,Male,2,23,8.6e-4
t3363,Male,2,24,8.6e-4
t3363,Male,2,25,8.5e-4
t3363,Male,3,1,9e-5
t3363,Male,3,2,9e-5
t3363,Male,3,3,8e-5
t3363,Male,3,4,8e-5
t3363,Male,3,5,8e-5
t3363,Male,3,6,7e-5
t3363,Male,3,7,8e-5
t3363,Male,3,8,8e-5
t3363,Male,3,9,9e-5
t3363,Male,3,10,1.1e-4
t3363,Male,3,11,1.6e-4
t3363,Male,3,12,2.3e-4
t3363,Male,3,13,3.4e-4
t3363,Male,3,14,4.8e-4
t3363,Male,3,15,6.3e-4
t3363,Male,3,16,7.5e-4
t3363,Male,3,17,8.2e-4
t3363,Male,3,18,8.5e-4
t3363,Male,3,19,8.6e-4
t3363,Male,3,20,8.6e-4
t3363,Male,3,21,8.6e-4
t3363,Male,3,22,8.6e-4
t3363,Male,3,23,8.6e-4
t3363,Male,3,24,8.5e-4
t3363,Male,3,25,8.4e-4
t3363,Male,4,1,9e-5
t3363,Male,4,2,8e-5
t3363,Male,4,3,8e-5
t3363,Male,4,4,8e-5
t3363,Male,4,5,7e-5
t3363,Male,4,6,8e-5
t3363,Male,4,7,8e-5
t3363,Male,4,8,9e-5
t3363,Male,4,9,1.1e-4
t3363,Male,4,10,1.6e-4
t3363,Male,4,11,2.3e-4
t3363,Male,4,12,3.4e-4
t3363,Male,4,13,4.8e-4
t3363,Male,4,14,6.3e-4
t3363,Male,4,15,7.5e-4
t3363,Male,4,16,8.2e-4
t3363,Male,4,17,8.5e-4
t3363,Male,4,18,8.6e-4
t3363,Male,4,19,8.6e-4
t3363,Male,4,20,8.6e-4
t3363,Male,4,21,8.6e-4
t3363,Male,4,22,8.6e-4
t3363,Male,4,23,8.5e-4
t3363,Male,4,24,8.4e-4
t3363,Male,4,25,8.3e-4
t3363,Male,5,1,8e-5
t3363,Male,5,2,8e-5
t3363,Male,5,3,8e-5
t3363,Male,5,4,7e-5
t3363,Male,5,5,8e-5
t3363,Male,5,6,8e-5
t3363,Male,5,7,9e-5
t3363,Male,5,8,1.1e-4
t3363,Male,5,9,1.6e-4
t3363,Male,5,10,2.3e-4
t3363,Male,5,11,3.4e-4
t3363,Male,5,12,4.8e-4
t3363,Male,5,13,6.3e-4
t3363,Male,5,14,7.5e-4
t3363,Male,5,15,8.2e-4
t3363,Male,5,16,8.5e-4
t3363,Male,5,17,8.6e-4
t3363,Male,5,18,8.6e-4
t3363,Male,5,19,8.6e-4
t3363,Male,5,20,8.6e-4
t3363,Male,5,21,8.6e-4
t3363,Male,5,22,8.5e-4
t3363,Male,5,23,8.4e-4
t3363,Male,5,24,8.3e-4
t3363,Male,5,25,8.2e-4
t3363,Male,6,1,8e-5
t3363,Male,6,2,8e-5
t3363,Male,6,3,7e-5
t3363,Male,6,4,8e-5
t3363,Male,6,5,8e-5
t3363,Male,6,6,9e-5
t3363,Male,6,7,1.1e-4
t3363,Male,6,8,1.6e-4
t3363,Male,6,9,2.3e-4
t3363,Male,6,10,3.4e-4
t3363,Male,6,11,4.8e-4
t3363,Male,6,12,6.3e-4
t3363,Male,6,13,7.5e-4
t3363,Male,6,14,8.2e-4
t3363,Male,6,15,8.5e-4
t3363,Male,6,16,8.6e-4
t3363,Male,6,17,8.6e-4
t3363,Male,6,18,8.6e-4
t3363,Male,6,19,8.6e-4
t3363,Male,6,20,8.6e-4
t3363,Male,6,21,8.5e-4
t3363,Male,6,22,8.4e-4
t3363,Male,6,23,8.3e-4
t3363,Male,6,24,8.2e-4
t3363,Male,6,25,8.4e-4
t3363,Male,7,1,8e-5
t3363,Male,7,2,7e-5
t3363,Male,7,3,8e-5
t3363,Male,7,4,8e-5
t3363,Male,7,5,9e-5
t3363,Male,7,6,1.1e-4
t3363,Male,7,7,1.6e-4
t3363,Male,7,8,2.3e-4
t3363,Male,7,9,3.4e-4
t3363,Male,7,10,4.8e-4
t3363,Male,7,11,6.3e-4
t3363,Male,7,12,7.5e-4
t3363,Male,7,13,8.2e-4
t3363,Male,7,14,8.5e-4
t3363,Male,7,15,8.6e-4
t3363,Male,7,16,8.6e-4
t3363,Male,7,17,8.6e-4
t3363,Male,7,18,8.6e-4
t3363,Male,7,19,8.6e-4
t3363,Male,7,20,8.5e-4
