table,gender,attained_age,q_ult
t3363,Male,0,1.9e-4
t3363,Male,1,1.2e-4
t3363,Male,2,1.1e-4
t3363,Male,3,9e-5
t3363,Male,4,9e-5
t3363,Male,5,8e-5
t3363,Male,6,8e-5
t3363,Male,7,8e-5
t3363,Male,8,7e-5
t3363,Male,9,8e-5
t3363,Male,10,8e-5
t3363,Male,11,9e-5
t3363,Male,12,1.1e-4
t3363,Male,13,1.6e-4
t3363,Male,14,2.3e-4
t3363,Male,15,3.4e-4
t3363,Male,16,4.8e-4
t3363,Male,17,6.3e-4
t3363,Male,18,7.5e-4
t3363,Male,19,8.2e-4
t3363,Male,20,8.5e-4
t3363,Male,21,8.6e-4
t3363,Male,22,8.6e-4
t3363,Male,23,8.6e-4
t3363,Male,24,8.6e-4
t3363,Male,25,8.6e-4
t3363,Male,26,8.5e-4
t3363,Male,27,8.4e-4
t3363,Male,28,8.3e-4
t3363,Male,29,8.2e-4
t3363,Male,30,8.4e-4
t3363,Male,31,8.8e-4
t3363,Male,32,9.5e-4
t3363,Male,33,0.00102
t3363,Male,34,0.0011
t3363,Male,35,0.0012
t3363,Male,36,0.0013
t3363,Male,37,0.0014
t3363,Male,38,0.00151
t3363,Male,39,0.00163
t3363,Male,40,0.00176
t3363,Male,41,0.00188
t3363,Male,42,0.00198
t3363,Male,43,0.00202
t3363,Male,44,0.00208
t3363,Male,45,0.00214
t3363,Male,46,0.00219
t3363,Male,47,0.00225
t3363,Male,48,0.00231
t3363,Male,49,0.00239
t3363,Male,50,0.00251
t3363,Male,51,0.00266
t3363,Male,52,0.00283
t3363,Male,53,0.00303
t3363,Male,54,0.00327
t3363,Male,55,0.00353
t3363,Male,56,0.00384
t3363,Male,57,0.0042
t3363,Male,58,0.0046
t3363,Male,59,0.00507
t3363,Male,60,0.00562
t3363,Male,61,0.00623
t3363,Male,62,0.00693
t3363,Male,63,0.00771
t3363,Male,64,0.00855
t3363,Male,65,0.00945
t3363,Male,66,0.0104
t3363,Male,67,0.01143
t3363,Male,68,0.01256
t3363,Male,69,0.01386
t3363,Male,70,0.01538
t3363,Male,71,0.01716
t3363,Male,72,0.01924
t3363,Male,73,0.0216
t3363,Male,74,0.02423
t3363,Male,75,0.02708
t3363,Male,76,0.03015
t3363,Male,77,0.03347
t3363,Male,78,0.03715
t3363,Male,79,0.04131
t3363,Male,80,0.04606
t3363,Male,81,0.05141
t3363,Male,82,0.05768
t3363,Male,83,0.06513
t3363,Male,84,0.07369
t3363,Male,85,0.08352
t3363,Male,86,0.09471
t3363,Male,87,0.10726
t3363,Male,88,0.12094
t3363,Male,89,0.13544
t3363,Male,90,0.15043
t3363,Male,91,0.16548
t3363,Male,92,0.18031
t3363,Male,93,0.19455
t3363,Male,94,0.20755
t3363,Male,95,0.22127
t3363,Male,96,0.2375
t3363,Male,97,0.25511
t3363,Male,98,0.27422
t3363,Male,99,0.29448
t3363,Male,100,0.31552
t3363,Male,101,0.33699
t3363,Male,102,0.35854
t3363,Male,103,0.37981
t3363,Male,104,0.40044
t3363,Male,105,0.42009
t3363,Male,106,0.4384
t3363,Male,107,0.45501
t3363,Male,108,0.46956
t3363,Male,109,0.4817
t3363,Male,110,0.49107
