issue_age,attained_age,duration,table,gender,q_sel,q_ult
0,0,1,t3361,Male,2.3e-4,2.3e-4
0,1,2,t3361,Male,1.3e-4,1.3e-4
0,2,3,t3361,Male,1.1e-4,1.1e-4
0,3,4,t3361,Male,1e-4,1e-4
0,4,5,t3361,Male,9e-5,9e-5
0,5,6,t3361,Male,8e-5,8e-5
0,6,7,t3361,Male,8e-5,8e-5
0,7,8,t3361,Male,8e-5,8e-5
0,8,9,t3361,Male,8e-5,8e-5
0,9,10,t3361,Male,7e-5,7e-5
0,10,11,t3361,Male,8e-5,8e-5
0,11,12,t3361,Male,8e-5,8e-5
0,12,13,t3361,Male,1e-4,1e-4
0,13,14,t3361,Male,1.3e-4,1.3e-4
0,14,15,t3361,Male,1.9e-4,1.9e-4
0,15,16,t3361,Male,2.8e-4,2.8e-4
0,16,17,t3361,Male,4.1e-4,4.1e-4
0,17,18,t3361,Male,5.6e-4,5.6e-4
0,18,19,t3361,Male,7e-4,7e-4
0,19,20,t3361,Male,8e-4,8e-4
0,20,21,t3361,Male,8.4e-4,8.4e-4
0,21,22,t3361,Male,8.6e-4,8.6e-4
0,22,23,t3361,Male,8.6e-4,8.6e-4
0,23,24,t3361,Male,8.6e-4,8.6e-4
0,24,25,t3361,Male,8.6e-4,8.6e-4
0,25,26,t3361,Male,NA,8.6e-4
0,26,27,t3361,Male,NA,8.6e-4
0,27,28,t3361,Male,NA,8.5e-4
0,28,29,t3361,Male,NA,8.3e-4
0,29,30,t3361,Male,NA,8.2e-4
0,30,31,t3361,Male,NA,8.2e-4
0,31,32,t3361,Male,NA,8.6e-4
0,32,33,t3361,Male,NA,9.1e-4
0,33,34,t3361,Male,NA,9.8e-4
0,34,35,t3361,Male,NA,0.00106
0,35,36,t3361,Male,NA,0.00115
0,36,37,t3361,Male,NA,0.00125
0,37,38,t3361,Male,NA,0.00135
0,38,39,t3361,Male,NA,0.00146
0,39,40,t3361,Male,NA,0.00157
0,40,41,t3361,Male,NA,0.0017
0,41,42,t3361,Male,NA,0.00183
0,42,43,t3361,Male,NA,0.00194
0,43,44,t3361,Male,NA,0.00199
0,44,45,t3361,Male,NA,0.00205
0,45,46,t3361,Male,NA,0.00211
0,46,47,t3361,Male,NA,0.00217
0,47,48,t3361,Male,NA,0.00222
0,48,49,t3361,Male,NA,0.00228
0,49,50,t3361,Male,NA,0.00234
0,50,51,t3361,Male,NA,0.00244
0,51,52,t3361,Male,NA,0.00258
0,52,53,t3361,Male,NA,0.00274
0,53,54,t3361,Male,NA,0.00293
0,54,55,t3361,Male,NA,0.00314
0,55,56,t3361,Male,NA,0.00339
0,56,57,t3361,Male,NA,0.00368
0,57,58,t3361,Male,NA,0.00401
0,58,59,t3361,Male,NA,0.00439
0,59,60,t3361,Male,NA,0.00482
0,60,61,t3361,Male,NA,0.00533
0,61,62,t3361,Male,NA,0.00591
0,62,63,t3361,Male,NA,0.00656
0,63,64,t3361,Male,NA,0.0073
0,64,65,t3361,Male,NA,0.00812
0,65,66,t3361,Male,NA,0.00899
0,66,67,t3361,Male,NA,0.00991
0,67,68,t3361,Male,NA,0.0109
0,68,69,t3361,Male,NA,0.01196
0,69,70,t3361,Male,NA,0.01317
0,70,71,t3361,Male,NA,0.01456
0,71,72,t3361,Male,NA,0.01621
0,72,73,t3361,Male,NA,0.01813
0,73,74,t3361,Male,NA,0.02036
0,74,75,t3361,Male,NA,0.02287
