table,gender,attained_age,q_ult
t3361,Male,0,2.3e-4
t3361,Male,1,1.3e-4
t3361,Male,2,1.1e-4
t3361,Male,3,1e-4
t3361,Male,4,9e-5
t3361,Male,5,8e-5
t3361,Male,6,8e-5
t3361,Male,7,8e-5
t3361,Male,8,8e-5
t3361,Male,9,7e-5
t3361,Male,10,8e-5
t3361,Male,11,8e-5
t3361,Male,12,1e-4
t3361,Male,13,1.3e-4
t3361,Male,14,1.9e-4
t3361,Male,15,2.8e-4
t3361,Male,16,4.1e-4
t3361,Male,17,5.6e-4
t3361,Male,18,7e-4
t3361,Male,19,8e-4
t3361,Male,20,8.4e-4
t3361,Male,21,8.6e-4
t3361,Male,22,8.6e-4
t3361,Male,23,8.6e-4
t3361,Male,24,8.6e-4
t3361,Male,25,8.6e-4
t3361,Male,26,8.6e-4
t3361,Male,27,8.5e-4
t3361,Male,28,8.3e-4
t3361,Male,29,8.2e-4
t3361,Male,30,8.2e-4
t3361,Male,31,8.6e-4
t3361,Male,32,9.1e-4
t3361,Male,33,9.8e-4
t3361,Male,34,0.00106
t3361,Male,35,0.00115
t3361,Male,36,0.00125
t3361,Male,37,0.00135
t3361,Male,38,0.00146
t3361,Male,39,0.00157
t3361,Male,40,0.0017
t3361,Male,41,0.00183
t3361,Male,42,0.00194
t3361,Male,43,0.00199
t3361,Male,44,0.00205
t3361,Male,45,0.00211
t3361,Male,46,0.00217
t3361,Male,47,0.00222
t3361,Male,48,0.00228
t3361,Male,49,0.00234
t3361,Male,50,0.00244
t3361,Male,51,0.00258
t3361,Male,52,0.00274
t3361,Male,53,0.00293
t3361,Male,54,0.00314
t3361,Male,55,0.00339
t3361,Male,56,0.00368
t3361,Male,57,0.00401
t3361,Male,58,0.00439
t3361,Male,59,0.00482
t3361,Male,60,0.00533
t3361,Male,61,0.00591
t3361,Male,62,0.00656
t3361,Male,63,0.0073
t3361,Male,64,0.00812
t3361,Male,65,0.00899
t3361,Male,66,0.00991
t3361,Male,67,0.0109
t3361,Male,68,0.01196
t3361,Male,69,0.01317
t3361,Male,70,0.01456
t3361,Male,71,0.01621
t3361,Male,72,0.01813
t3361,Male,73,0.02036
t3361,Male,74,0.02287
t3361,Male,75,0.02562
t3361,Male,76,0.02858
t3361,Male,77,0.03177
t3361,Male,78,0.03524
t3361,Male,79,0.03913
t3361,Male,80,0.04356
t3361,Male,81,0.04868
t3361,Male,82,0.05429
t3361,Male,83,0.06126
t3361,Male,84,0.06925
t3361,Male,85,0.07846
t3361,Male,86,0.08902
t3361,Male,87,0.10096
t3361,Male,88,0.11427
t3361,Male,89,0.12848
t3361,Male,90,0.14343
t3361,Male,91,0.15861
t3361,Male,92,0.17363
t3361,Male,93,0.18839
t3361,Male,94,0.20215
t3361,Male,95,0.21433
t3361,Male,96,0.23011
t3361,Male,97,0.24709
t3361,Male,98,0.26576
t3361,Male,99,0.28575
t3361,Male,100,0.3067
t3361,Male,101,0.32825
t3361,Male,102,0.35002
t3361,Male,103,0.37165
t3361,Male,104,0.39279
t3361,Male,105,0.41305
t3361,Male,106,0.43208
t3361,Male,107,0.44951
t3361,Male,108,0.46498
t3361,Male,109,0.47812
t3361,Male,110,0.48857
t3361,Male,111,0.49595
t3361,Male,112,0.5
t3361,Male,113,0.5
t3361,Male,114,0.5
t3361,Male,115,0.5
t3361,Male,116,0.5
t3361,Male,117,0.5
t3361,Male,118,0.5
t3361,Male,119,0.5
t3361,Male,120,0.5
t3362,Female,0,2.5e-4
t3362,Female,1,1.4e-4
t3362,Female,2,9e-5
t3362,Female,3,7e-5
t3362,Female,4,6e-5
t3362,Female,5,7e-5
t3362,Female,6,7e-5
t3362,Female,7,7e-5
t3362,Female,8,7e-5
t3362,Female,9,6e-5
t3362,Female,10,7e-5
t3362,Female,11,8e-5
t3362,Female,12,7e-5
t3362,Female,13,6e-5
t3362,Female,14,9e-5
t3362,Female,15,1.5e-4
t3362,Female,16,2.2e-4
t3362,Female,17,2.6e-4
t3362,Female,18,2.7e-4
t3362,Female,19,2.7e-4
t3362,Female,20,2.7e-4
t3362,Female,21,2.7e-4
t3362,Female,22,3e-4
t3362,Female,23,3.3e-4
t3362,Female,24,3.6e-4
t3362,Female,25,3.6e-4
t3362,Female,26,3.5e-4
t3362,Female,27,3.4e-4
t3362,Female,28,3.4e-4
t3362,Female,29,3.6e-4
t3362,Female,30,3.9e-4
t3362,Female,31,4.2e-4
t3362,Female,32,4.5e-4
t3362,Female,33,4.9e-4
t3362,Female,34,5.3e-4
t3362,Female,35,6e-4
t3362,Female,36,6.7e-4
t3362,Female,37,7.5e-4
t3362,Female,38,8.2e-4
t3362,Female,39,8.9e-4
t3362,Female,40,9.5e-4
t3362,Female,41,9.9e-4
t3362,Female,42,0.00103
t3362,Female,43,0.00106
t3362,Female,44,0.0011
t3362,Female,45,0.00115
t3362,Female,46,0.00124
t3362,Female,47,0.00133
t3362,Female,48,0.00144
t3362,Female,49,0.00156
t3362,Female,50,0.00168
t3362,Female,51,0.00183
t3362,Female,52,0.00199
t3362,Female,53,0.00216
t3362,Female,54,0.00236
t3362,Female,55,0.00258
t3362,Female,56,0.00282
t3362,Female,57,0.00309
t3362,Female,58,0.0034
t3362,Female,59,0.00375
t3362,Female,60,0.00414
t3362,Female,61,0.00459
t3362,Female,62,0.0051
t3362,Female,63,0.00567
t3362,Female,64,0.00631
t3362,Female,65,0.00702
t3362,Female,66,0.00781
t3362,Female,67,0.00869
t3362,Female,68,0.00966
t3362,Female,69,0.01073
t3362,Female,70,0.01191
t3362,Female,71,0.01319
t3362,Female,72,0.01459
t3362,Female,73,0.01614
t3362,Female,74,0.01786
t3362,Female,75,0.01981
t3362,Female,76,0.02201
t3362,Female,77,0.02452
t3362,Female,78,0.02733
t3362,Female,79,0.03052
t3362,Female,80,0.03411
t3362,Female,81,0.03844
t3362,Female,82,0.04338
t3362,Female,83,0.04894
t3362,Female,84,0.05539
t3362,Female,85,0.06273
t3362,Female,86,0.07115
t3362,Female,87,0.08029
t3362,Female,88,0.09036
t3362,Female,89,0.10139
t3362,Female,90,0.11332
t3362,Female,91,0.12581
t3362,Female,92,0.13921
t3362,Female,93,0.15344
t3362,Female,94,0.16748
t3362,Female,95,0.18238
t3362,Female,96,0.20089
t3362,Female,97,0.22099
t3362,Female,98,0.24266
t3362,Female,99,0.26552
t3362,Female,100,0.28919
t3362,Female,101,0.3133
t3362,Female,102,0.33747
t3362,Female,103,0.36133
t3362,Female,104,0.3845
t3362,Female,105,0.4066
t3362,Female,106,0.42726
t3362,Female,107,0.44611
t3362,Female,108,0.46277
t3362,Female,109,0.47686
t3362,Female,110,0.488
t3362,Female,111,0.49583
t3362,Female,112,0.5
t3362,Female,113,0.5
t3362,Female,114,0.5
t3362,Female,115,0.5
t3362,Female,116,0.5
t3362,Female,117,0.5
t3362,Female,118,0.5
t3362,Female,119,0.5
t3362,Female,120,0.5
