table,gender,risk,issue_age,duration,q_sel
t3351,Male,SuperPref Nonsmoker,18,1,5.5e-4
t3351,Male,SuperPref Nonsmoker,18,2,5.7e-4
t3351,Male,SuperPref Nonsmoker,18,3,5.8e-4
t3351,Male,SuperPref Nonsmoker,18,4,5.8e-4
t3351,Male,SuperPref Nonsmoker,18,5,5.7e-4
t3351,Male,SuperPref Nonsmoker,18,6,5.6e-4
t3351,Male,SuperPref Nonsmoker,18,7,5.6e-4
t3351,Male,SuperPref Nonsmoker,18,8,5.4e-4
t3351,Male,SuperPref Nonsmoker,18,9,4.6e-4
t3351,Male,SuperPref Nonsmoker,18,10,4.3e-4
t3351,Male,SuperPref Nonsmoker,18,11,4.1e-4
t3351,Male,SuperPref Nonsmoker,18,12,3.9e-4
t3351,Male,SuperPref Nonsmoker,18,13,3.7e-4
t3351,Male,SuperPref Nonsmoker,18,14,4e-4
t3351,Male,SuperPref Nonsmoker,18,15,4.3e-4
t3351,Male,SuperPref Nonsmoker,18,16,4.7e-4
t3351,Male,SuperPref Nonsmoker,18,17,5.4e-4
t3351,Male,SuperPref Nonsmoker,18,18,6.3e-4
t3351,Male,SuperPref Nonsmoker,18,19,7.3e-4
t3351,Male,SuperPref Nonsmoker,18,20,8.3e-4
t3351,Male,SuperPref Nonsmoker,18,21,9.1e-4
t3351,Male,SuperPref Nonsmoker,18,22,9.6e-4
t3351,Male,SuperPref Nonsmoker,18,23,0.00101
t3351,Male,SuperPref Nonsmoker,18,24,0.00108
t3351,Male,SuperPref Nonsmoker,18,25,0.00115
t3351,Male,SuperPref Nonsmoker,19,1,4.9e-4
t3351,Male,SuperPref Nonsmoker,19,2,5.1e-4
t3351,Male,SuperPref Nonsmoker,19,3,5.4e-4
t3351,Male,SuperPref Nonsmoker,19,4,5.2e-4
t3351,Male,SuperPref Nonsmoker,19,5,5.1e-4
t3351,Male,SuperPref Nonsmoker,19,6,5e-4
t3351,Male,SuperPref Nonsmoker,19,7,5e-4
t3351,Male,SuperPref Nonsmoker,19,8,4.6e-4
t3351,Male,SuperPref Nonsmoker,19,9,4e-4
t3351,Male,SuperPref Nonsmoker,19,10,3.8e-4
t3351,Male,SuperPref Nonsmoker,19,11,3.8e-4
t3351,Male,SuperPref Nonsmoker,19,12,3.7e-4
t3351,Male,SuperPref Nonsmoker,19,13,3.7e-4
t3351,Male,SuperPref Nonsmoker,19,14,4.1e-4
t3351,Male,SuperPref Nonsmoker,19,15,4.5e-4
t3351,Male,SuperPref Nonsmoker,19,16,4.9e-4
t3351,Male,SuperPref Nonsmoker,19,17,5.6e-4
t3351,Male,SuperPref Nonsmoker,19,18,6.5e-4
t3351,Male,SuperPref Nonsmoker,19,19,7.5e-4
t3351,Male,SuperPref Nonsmoker,19,20,8.5e-4
t3351,Male,SuperPref Nonsmoker,19,21,9.4e-4
t3351,Male,SuperPref Nonsmoker,19,22,9.9e-4
t3351,Male,SuperPref Nonsmoker,19,23,0.00104
t3351,Male,SuperPref Nonsmoker,19,24,0.00111
t3351,Male,SuperPref Nonsmoker,19,25,0.00119
t3351,Male,SuperPref Nonsmoker,20,1,4.2e-4
t3351,Male,SuperPref Nonsmoker,20,2,4.7e-4
t3351,Male,SuperPref Nonsmoker,20,3,4.7e-4
t3351,Male,SuperPref Nonsmoker,20,4,4.5e-4
t3351,Male,SuperPref Nonsmoker,20,5,4.4e-4
t3351,Male,SuperPref Nonsmoker,20,6,4.3e-4
t3351,Male,SuperPref Nonsmoker,20,7,4.2e-4
t3351,Male,SuperPref Nonsmoker,20,8,3.9e-4
t3351,Male,SuperPref Nonsmoker,20,9,3.5e-4
t3351,Male,SuperPref Nonsmoker,20,10,3.6e-4
t3351,Male,SuperPref Nonsmoker,20,11,3.6e-4
t3351,Male,SuperPref Nonsmoker,20,12,3.7e-4
t3351,Male,SuperPref Nonsmoker,20,13,3.8e-4
t3351,Male,SuperPref Nonsmoker,20,14,4.2e-4
t3351,Male,SuperPref Nonsmoker,20,15,4.7e-4
t3351,Male,SuperPref Nonsmoker,20,16,5.1e-4
t3351,Male,SuperPref Nonsmoker,20,17,5.8e-4
t3351,Male,SuperPref Nonsmoker,20,18,6.7e-4
t3351,Male,SuperPref Nonsmoker,20,19,7.7e-4
t3351,Male,SuperPref Nonsmoker,20,20,8.8e-4
t3351,Male,SuperPref Nonsmoker,20,21,9.5e-4
t3351,Male,SuperPref Nonsmoker,20,22,0.001
t3351,Male,SuperPref Nonsmoker,20,23,0.00106
t3351,Male,SuperPref Nonsmoker,20,24,0.00113
t3351,Male,SuperPref Nonsmoker,20,25,0.00122
t3351,Male,SuperPref Nonsmoker,21,1,3.7e-4
t3351,Male,SuperPref Nonsmoker,21,2,4.3e-4
t3351,Male,SuperPref Nonsmoker,21,3,3.8e-4
t3351,Male,SuperPref Nonsmoker,21,4,3.6e-4
t3351,Male,SuperPref Nonsmoker,21,5,3.6e-4
t3351,Male,SuperPref Nonsmoker,21,6,3.5e-4
t3351,Male,SuperPref Nonsmoker,21,7,3.5e-4
t3351,Male,SuperPref Nonsmoker,21,8,3.3e-4
t3351,Male,SuperPref Nonsmoker,21,9,3.1e-4
t3351,Male,SuperPref Nonsmoker,21,10,3.4e-4
t3351,Male,SuperPref Nonsmoker,21,11,3.5e-4
t3351,Male,SuperPref Nonsmoker,21,12,3.7e-4
t3351,Male,SuperPref Nonsmoker,21,13,3.9e-4
t3351,Male,SuperPref Nonsmoker,21,14,4.4e-4
t3351,Male,SuperPref Nonsmoker,21,15,4.9e-4
t3351,Male,SuperPref Nonsmoker,21,16,5.3e-4
t3351,Male,SuperPref Nonsmoker,21,17,6e-4
t3351,Male,SuperPref Nonsmoker,21,18,6.9e-4
t3351,Male,SuperPref Nonsmoker,21,19,8e-4
t3351,Male,SuperPref Nonsmoker,21,20,9e-4
t3351,Male,SuperPref Nonsmoker,21,21,9.6e-4
t3351,Male,SuperPref Nonsmoker,21,22,0.00101
t3351,Male,SuperPref Nonsmoker,21,23,0.00106
t3351,Male,SuperPref Nonsmoker,21,24,0.00115
t3351,Male,SuperPref Nonsmoker,21,25,0.00126
t3351,Male,SuperPref Nonsmoker,22,1,3.4e-4
t3351,Male,SuperPref Nonsmoker,22,2,3.6e-4
t3351,Male,SuperPref Nonsmoker,22,3,3.2e-4
t3351,Male,SuperPref Nonsmoker,22,4,3e-4
t3351,Male,SuperPref Nonsmoker,22,5,3e-4
t3351,Male,SuperPref Nonsmoker,22,6,2.9e-4
t3351,Male,SuperPref Nonsmoker,22,7,2.9e-4
t3351,Male,SuperPref Nonsmoker,22,8,2.9e-4
t3351,Male,SuperPref Nonsmoker,22,9,2.9e-4
t3351,Male,SuperPref Nonsmoker,22,10,3.3e-4
t3351,Male,SuperPref Nonsmoker,22,11,3.5e-4
t3351,Male,SuperPref Nonsmoker,22,12,3.8e-4
t3351,Male,SuperPref Nonsmoker,22,13,4e-4
t3351,Male,SuperPref Nonsmoker,22,14,4.6e-4
t3351,Male,SuperPref Nonsmoker,22,15,5.1e-4
t3351,Male,SuperPref Nonsmoker,22,16,5.5e-4
t3351,Male,SuperPref Nonsmoker,22,17,6.2e-4
t3351,Male,SuperPref Nonsmoker,22,18,7.2e-4
t3351,Male,SuperPref Nonsmoker,22,19,8.3e-4
t3351,Male,SuperPref Nonsmoker,22,20,9.1e-4
t3351,Male,SuperPref Nonsmoker,22,21,9.6e-4
t3351,Male,SuperPref Nonsmoker,22,22,0.00101
t3351,Male,SuperPref Nonsmoker,22,23,0.00107
t3351,Male,SuperPref Nonsmoker,22,24,0.00117
t3351,Male,SuperPref Nonsmoker,22,25,0.0013
t3351,Male,SuperPref Nonsmoker,23,1,2.8e-4
t3351,Male,SuperPref Nonsmoker,23,2,3e-4
t3351,Male,SuperPref Nonsmoker,23,3,2.7e-4
t3351,Male,SuperPref Nonsmoker,23,4,2.6e-4
t3351,Male,SuperPref Nonsmoker,23,5,2.5e-4
t3351,Male,SuperPref Nonsmoker,23,6,2.5e-4
t3351,Male,SuperPref Nonsmoker,23,7,2.5e-4
t3351,Male,SuperPref Nonsmoker,23,8,2.7e-4
t3351,Male,SuperPref Nonsmoker,23,9,2.8e-4
t3351,Male,SuperPref Nonsmoker,23,10,3.3e-4
t3351,Male,SuperPref Nonsmoker,23,11,3.6e-4
t3351,Male,SuperPref Nonsmoker,23,12,3.9e-4
t3351,Male,SuperPref Nonsmoker,23,13,4.2e-4
t3351,Male,SuperPref Nonsmoker,23,14,4.8e-4
t3351,Male,SuperPref Nonsmoker,23,15,5.3e-4
t3351,Male,SuperPref Nonsmoker,23,16,5.7e-4
t3351,Male,SuperPref Nonsmoker,23,17,6.5e-4
