table,gender,risk,issue_age,duration,q_sel
t3341,Male,SuperPref Nonsmoker,18,1,5.7e-4
t3341,Male,SuperPref Nonsmoker,18,2,5.9e-4
t3341,Male,SuperPref Nonsmoker,18,3,6.1e-4
t3341,Male,SuperPref Nonsmoker,18,4,6.3e-4
t3341,Male,SuperPref Nonsmoker,18,5,6.1e-4
t3341,Male,SuperPref Nonsmoker,18,6,5.9e-4
t3341,Male,SuperPref Nonsmoker,18,7,5.9e-4
t3341,Male,SuperPref Nonsmoker,18,8,5.8e-4
t3341,Male,SuperPref Nonsmoker,18,9,5e-4
t3341,Male,SuperPref Nonsmoker,18,10,4.8e-4
t3341,Male,SuperPref Nonsmoker,18,11,4.3e-4
t3341,Male,SuperPref Nonsmoker,18,12,4e-4
t3341,Male,SuperPref Nonsmoker,18,13,3.8e-4
t3341,Male,SuperPref Nonsmoker,18,14,4e-4
t3341,Male,SuperPref Nonsmoker,18,15,4.1e-4
t3341,Male,SuperPref Nonsmoker,18,16,4.6e-4
t3341,Male,SuperPref Nonsmoker,18,17,5.4e-4
t3341,Male,SuperPref Nonsmoker,18,18,6.2e-4
t3341,Male,SuperPref Nonsmoker,18,19,7.2e-4
t3341,Male,SuperPref Nonsmoker,18,20,8.2e-4
t3341,Male,SuperPref Nonsmoker,18,21,9e-4
t3341,Male,SuperPref Nonsmoker,18,22,9.5e-4
t3341,Male,SuperPref Nonsmoker,18,23,9.9e-4
t3341,Male,SuperPref Nonsmoker,18,24,0.00105
t3341,Male,SuperPref Nonsmoker,18,25,0.00112
t3341,Male,SuperPref Nonsmoker,19,1,5.2e-4
t3341,Male,SuperPref Nonsmoker,19,2,5.5e-4
t3341,Male,SuperPref Nonsmoker,19,3,5.6e-4
t3341,Male,SuperPref Nonsmoker,19,4,5.3e-4
t3341,Male,SuperPref Nonsmoker,19,5,5.3e-4
t3341,Male,SuperPref Nonsmoker,19,6,5.4e-4
t3341,Male,SuperPref Nonsmoker,19,7,5.4e-4
t3341,Male,SuperPref Nonsmoker,19,8,5e-4
t3341,Male,SuperPref Nonsmoker,19,9,4.3e-4
t3341,Male,SuperPref Nonsmoker,19,10,3.8e-4
t3341,Male,SuperPref Nonsmoker,19,11,3.9e-4
t3341,Male,SuperPref Nonsmoker,19,12,3.8e-4
t3341,Male,SuperPref Nonsmoker,19,13,3.7e-4
t3341,Male,SuperPref Nonsmoker,19,14,4e-4
t3341,Male,SuperPref Nonsmoker,19,15,4.4e-4
t3341,Male,SuperPref Nonsmoker,19,16,4.8e-4
t3341,Male,SuperPref Nonsmoker,19,17,5.5e-4
t3341,Male,SuperPref Nonsmoker,19,18,6.5e-4
t3341,Male,SuperPref Nonsmoker,19,19,7.4e-4
t3341,Male,SuperPref Nonsmoker,19,20,8.4e-4
t3341,Male,SuperPref Nonsmoker,19,21,9.2e-4
t3341,Male,SuperPref Nonsmoker,19,22,9.8e-4
t3341,Male,SuperPref Nonsmoker,19,23,0.00103
t3341,Male,SuperPref Nonsmoker,19,24,0.0011
t3341,Male,SuperPref Nonsmoker,19,25,0.00117
t3341,Male,SuperPref Nonsmoker,20,1,4.5e-4
t3341,Male,SuperPref Nonsmoker,20,2,4.6e-4
t3341,Male,SuperPref Nonsmoker,20,3,5.2e-4
t3341,Male,SuperPref Nonsmoker,20,4,5e-4
t3341,Male,SuperPref Nonsmoker,20,5,4.8e-4
t3341,Male,SuperPref Nonsmoker,20,6,4.7e-4
t3341,Male,SuperPref Nonsmoker,20,7,4.6e-4
