table,gender,risk,attained_age,q_ult
t3341,Male,SuperPref Nonsmoker,18,5.7e-4
t3341,Male,SuperPref Nonsmoker,19,5.9e-4
t3341,Male,SuperPref Nonsmoker,20,6.1e-4
t3341,Male,SuperPref Nonsmoker,21,6.3e-4
t3341,Male,SuperPref Nonsmoker,22,6.1e-4
t3341,Male,SuperPref Nonsmoker,23,5.9e-4
t3341,Male,SuperPref Nonsmoker,24,5.9e-4
t3341,Male,SuperPref Nonsmoker,25,5.8e-4
t3341,Male,SuperPref Nonsmoker,26,5e-4
t3341,Male,SuperPref Nonsmoker,27,4.8e-4
t3341,Male,SuperPref Nonsmoker,28,4.3e-4
t3341,Male,SuperPref Nonsmoker,29,4e-4
t3341,Male,SuperPref Nonsmoker,30,3.8e-4
t3341,Male,SuperPref Nonsmoker,31,4e-4
t3341,Male,SuperPref Nonsmoker,32,4.1e-4
t3341,Male,SuperPref Nonsmoker,33,4.6e-4
t3341,Male,SuperPref Nonsmoker,34,5.4e-4
t3341,Male,SuperPref Nonsmoker,35,6.2e-4
t3341,Male,SuperPref Nonsmoker,36,7.2e-4
t3341,Male,SuperPref Nonsmoker,37,8.2e-4
t3341,Male,SuperPref Nonsmoker,38,9e-4
t3341,Male,SuperPref Nonsmoker,39,9.5e-4
t3341,Male,SuperPref Nonsmoker,40,9.9e-4
t3341,Male,SuperPref Nonsmoker,41,0.00105
t3341,Male,SuperPref Nonsmoker,42,0.00112
t3341,Male,SuperPref Nonsmoker,43,0.00119
t3341,Male,SuperPref Nonsmoker,44,0.00125
t3341,Male,SuperPref Nonsmoker,45,0.00128
t3341,Male,SuperPref Nonsmoker,46,0.00133
t3341,Male,SuperPref Nonsmoker,47,0.00138
t3341,Male,SuperPref Nonsmoker,48,0.00144
t3341,Male,SuperPref Nonsmoker,49,0.00151
t3341,Male,SuperPref Nonsmoker,50,0.00159
t3341,Male,SuperPref Nonsmoker,51,0.0017
t3341,Male,SuperPref Nonsmoker,52,0.00184
t3341,Male,SuperPref Nonsmoker,53,0.002
t3341,Male,SuperPref Nonsmoker,54,0.00216
t3341,Male,SuperPref Nonsmoker,55,0.00231
t3341,Male,SuperPref Nonsmoker,56,0.00246
t3341,Male,SuperPref Nonsmoker,57,0.00259
t3341,Male,SuperPref Nonsmoker,58,0.00274
t3341,Male,SuperPref Nonsmoker,59,0.00291
t3341,Male,SuperPref Nonsmoker,60,0.00312
t3341,Male,SuperPref Nonsmoker,61,0.00342
t3341,Male,SuperPref Nonsmoker,62,0.00379
t3341,Male,SuperPref Nonsmoker,63,0.00423
t3341,Male,SuperPref Nonsmoker,64,0.00471
t3341,Male,SuperPref Nonsmoker,65,0.00525
t3341,Male,SuperPref Nonsmoker,66,0.00584
t3341,Male,SuperPref Nonsmoker,67,0.00648
t3341,Male,SuperPref Nonsmoker,68,0.0072
t3341,Male,SuperPref Nonsmoker,69,0.00804
t3341,Male,SuperPref Nonsmoker,70,0.00902
t3341,Male,SuperPref Nonsmoker,71,0.01021
t3341,Male,SuperPref Nonsmoker,72,0.01164
t3341,Male,SuperPref Nonsmoker,73,0.01333
t3341,Male,SuperPref Nonsmoker,74,0.01527
t3341,Male,SuperPref Nonsmoker,75,0.01748
t3341,Male,SuperPref Nonsmoker,76,0.01993
t3341,Male,SuperPref Nonsmoker,77,0.02267
t3341,Male,SuperPref Nonsmoker,78,0.02575
t3341,Male,SuperPref Nonsmoker,79,0.0293
t3341,Male,SuperPref Nonsmoker,80,0.03343
t3341,Male,SuperPref Nonsmoker,81,0.03818
t3341,Male,SuperPref Nonsmoker,82,0.04354
t3341,Male,SuperPref Nonsmoker,83,0.04982
t3341,Male,SuperPref Nonsmoker,84,0.05714
t3341,Male,SuperPref Nonsmoker,85,0.06571
t3341,Male,SuperPref Nonsmoker,86,0.0757
t3341,Male,SuperPref Nonsmoker,87,0.08726
t3341,Male,SuperPref Nonsmoker,88,0.10044
t3341,Male,SuperPref Nonsmoker,89,0.11487
t3341,Male,SuperPref Nonsmoker,90,0.1304
t3341,Male,SuperPref Nonsmoker,91,0.14689
t3341,Male,SuperPref Nonsmoker,92,0.16361
t3341,Male,SuperPref Nonsmoker,93,0.1804
t3341,Male,SuperPref Nonsmoker,94,0.19645
t3341,Male,SuperPref Nonsmoker,95,0.21108
t3341,Male,SuperPref Nonsmoker,96,0.22779
t3341,Male,SuperPref Nonsmoker,97,0.24559
t3341,Male,SuperPref Nonsmoker,98,0.26495
t3341,Male,SuperPref Nonsmoker,99,0.28546
t3341,Male,SuperPref Nonsmoker,100,0.3067
t3341,Male,SuperPref Nonsmoker,101,0.32825
t3341,Male,SuperPref Nonsmoker,102,0.35002
t3341,Male,SuperPref Nonsmoker,103,0.37165
t3341,Male,SuperPref Nonsmoker,104,0.39279
t3341,Male,SuperPref Nonsmoker,105,0.41305
t3341,Male,SuperPref Nonsmoker,106,0.43208
t3341,Male,SuperPref Nonsmoker,107,0.44951
t3341,Male,SuperPref Nonsmoker,108,0.46498
t3341,Male,SuperPref Nonsmoker,109,0.47812
t3341,Male,SuperPref Nonsmoker,110,0.48857
t3341,Male,SuperPref Nonsmoker,111,0.49595
t3341,Male,SuperPref Nonsmoker,112,0.5
t3341,Male,SuperPref Nonsmoker,113,0.5
