table,gender,tobacco,issue_age,duration,q_sel
t3369,Male,Nonsmoker,18,1,6.5e-4
t3369,Male,Nonsmoker,18,2,6.8e-4
t3369,Male,Nonsmoker,18,3,7e-4
t3369,Male,Nonsmoker,18,4,6.9e-4
t3369,Male,Nonsmoker,18,5,6.8e-4
t3369,Male,Nonsmoker,18,6,6.7e-4
t3369,Male,Nonsmoker,18,7,6.7e-4
t3369,Male,Nonsmoker,18,8,6.4e-4
t3369,Male,Nonsmoker,18,9,5.5e-4
t3369,Male,Nonsmoker,18,10,5.1e-4
t3369,Male,Nonsmoker,18,11,4.9e-4
t3369,Male,Nonsmoker,18,12,4.6e-4
t3369,Male,Nonsmoker,18,13,4.5e-4
t3369,Male,Nonsmoker,18,14,4.7e-4
t3369,Male,Nonsmoker,18,15,5.1e-4
t3369,Male,Nonsmoker,18,16,5.6e-4
t3369,Male,Nonsmoker,18,17,6.5e-4
t3369,Male,Nonsmoker,18,18,7.5e-4
t3369,Male,Nonsmoker,18,19,8.7e-4
t3369,Male,Nonsmoker,18,20,9.9e-4
t3369,Male,Nonsmoker,18,21,0.00109
t3369,Male,Nonsmoker,18,22,0.00115
t3369,Male,Nonsmoker,18,23,0.00121
t3369,Male,Nonsmoker,18,24,0.00128
t3369,Male,Nonsmoker,18,25,0.00136
t3369,Male,Nonsmoker,19,1,5.8e-4
t3369,Male,Nonsmoker,19,2,6e-4
t3369,Male,Nonsmoker,19,3,6.4e-4
t3369,Male,Nonsmoker,19,4,6.1e-4
t3369,Male,Nonsmoker,19,5,6e-4
t3369,Male,Nonsmoker,19,6,6e-4
t3369,Male,Nonsmoker,19,7,5.9e-4
t3369,Male,Nonsmoker,19,8,5.5e-4
t3369,Male,Nonsmoker,19,9,4.8e-4
t3369,Male,Nonsmoker,19,10,4.5e-4
t3369,Male,Nonsmoker,19,11,4.5e-4
t3369,Male,Nonsmoker,19,12,4.4e-4
t3369,Male,Nonsmoker,19,13,4.4e-4
t3369,Male,Nonsmoker,19,14,4.9e-4
t3369,Male,Nonsmoker,19,15,5.4e-4
t3369,Male,Nonsmoker,19,16,5.8e-4
t3369,Male,Nonsmoker,19,17,6.7e-4
t3369,Male,Nonsmoker,19,18,7.8e-4
t3369,Male,Nonsmoker,19,19,9e-4
t3369,Male,Nonsmoker,19,20,0.00101
t3369,Male,Nonsmoker,19,21,0.00112
t3369,Male,Nonsmoker,19,22,0.00118
t3369,Male,Nonsmoker,19,23,0.00124
t3369,Male,Nonsmoker,19,24,0.00132
t3369,Male,Nonsmoker,19,25,0.00141
t3369,Male,Nonsmoker,20,1,5e-4
t3369,Male,Nonsmoker,20,2,5.5e-4
t3369,Male,Nonsmoker,20,3,5.6e-4
t3369,Male,Nonsmoker,20,4,5.3e-4
t3369,Male,Nonsmoker,20,5,5.2e-4
t3369,Male,Nonsmoker,20,6,5.1e-4
t3369,Male,Nonsmoker,20,7,5e-4
t3369,Male,Nonsmoker,20,8,4.6e-4
t3369,Male,Nonsmoker,20,9,4.2e-4
t3369,Male,Nonsmoker,20,10,4.3e-4
t3369,Male,Nonsmoker,20,11,4.3e-4
t3369,Male,Nonsmoker,20,12,4.4e-4
t3369,Male,Nonsmoker,20,13,4.5e-4
t3369,Male,Nonsmoker,20,14,5e-4
t3369,Male,Nonsmoker,20,15,5.5e-4
t3369,Male,Nonsmoker,20,16,6e-4
t3369,Male,Nonsmoker,20,17,6.9e-4
t3369,Male,Nonsmoker,20,18,8e-4
t3369,Male,Nonsmoker,20,19,9.2e-4
t3369,Male,Nonsmoker,20,20,0.00104
t3369,Male,Nonsmoker,20,21,0.00113
t3369,Male,Nonsmoker,20,22,0.00119
t3369,Male,Nonsmoker,20,23,0.00126
t3369,Male,Nonsmoker,20,24,0.00135
t3369,Male,Nonsmoker,20,25,0.00145
t3369,Male,Nonsmoker,21,1,4.4e-4
t3369,Male,Nonsmoker,21,2,5.1e-4
t3369,Male,Nonsmoker,21,3,4.6e-4
t3369,Male,Nonsmoker,21,4,4.3e-4
t3369,Male,Nonsmoker,21,5,4.2e-4
t3369,Male,Nonsmoker,21,6,4.2e-4
t3369,Male,Nonsmoker,21,7,4.1e-4
t3369,Male,Nonsmoker,21,8,3.9e-4
t3369,Male,Nonsmoker,21,9,3.7e-4
t3369,Male,Nonsmoker,21,10,4.1e-4
t3369,Male,Nonsmoker,21,11,4.2e-4
t3369,Male,Nonsmoker,21,12,4.4e-4
t3369,Male,Nonsmoker,21,13,4.7e-4
t3369,Male,Nonsmoker,21,14,5.2e-4
t3369,Male,Nonsmoker,21,15,5.8e-4
t3369,Male,Nonsmoker,21,16,6.3e-4
t3369,Male,Nonsmoker,21,17,7.1e-4
t3369,Male,Nonsmoker,21,18,8.2e-4
t3369,Male,Nonsmoker,21,19,9.5e-4
t3369,Male,Nonsmoker,21,20,0.00107
t3369,Male,Nonsmoker,21,21,0.00114
t3369,Male,Nonsmoker,21,22,0.0012
t3369,Male,Nonsmoker,21,23,0.00127
t3369,Male,Nonsmoker,21,24,0.00137
t3369,Male,Nonsmoker,21,25,0.0015
t3369,Male,Nonsmoker,22,1,4e-4
t3369,Male,Nonsmoker,22,2,4.2e-4
t3369,Male,Nonsmoker,22,3,3.8e-4
t3369,Male,Nonsmoker,22,4,3.6e-4
t3369,Male,Nonsmoker,22,5,3.5e-4
t3369,Male,Nonsmoker,22,6,3.5e-4
t3369,Male,Nonsmoker,22,7,3.5e-4
t3369,Male,Nonsmoker,22,8,3.5e-4
t3369,Male,Nonsmoker,22,9,3.5e-4
t3369,Male,Nonsmoker,22,10,3.9e-4
t3369,Male,Nonsmoker,22,11,4.2e-4
t3369,Male,Nonsmoker,22,12,4.5e-4
t3369,Male,Nonsmoker,22,13,4.8e-4
t3369,Male,Nonsmoker,22,14,5.4e-4
t3369,Male,Nonsmoker,22,15,6.1e-4
t3369,Male,Nonsmoker,22,16,6.5e-4
t3369,Male,Nonsmoker,22,17,7.4e-4
t3369,Male,Nonsmoker,22,18,8.6e-4
t3369,Male,Nonsmoker,22,19,9.8e-4
t3369,Male,Nonsmoker,22,20,0.00109
