table,gender,tobacco,attained_age,q_ult
t3369,Male,Nonsmoker,18,6.5e-4
t3369,Male,Nonsmoker,19,6.8e-4
t3369,Male,Nonsmoker,20,7e-4
t3369,Male,Nonsmoker,21,6.9e-4
t3369,Male,Nonsmoker,22,6.8e-4
t3369,Male,Nonsmoker,23,6.7e-4
t3369,Male,Nonsmoker,24,6.7e-4
t3369,Male,Nonsmoker,25,6.4e-4
t3369,Male,Nonsmoker,26,5.5e-4
t3369,Male,Nonsmoker,27,5.1e-4
t3369,Male,Nonsmoker,28,4.9e-4
t3369,Male,Nonsmoker,29,4.6e-4
t3369,Male,Nonsmoker,30,4.5e-4
t3369,Male,Nonsmoker,31,4.7e-4
t3369,Male,Nonsmoker,32,5.1e-4
t3369,Male,Nonsmoker,33,5.6e-4
t3369,Male,Nonsmoker,34,6.5e-4
t3369,Male,Nonsmoker,35,7.5e-4
t3369,Male,Nonsmoker,36,8.7e-4
t3369,Male,Nonsmoker,37,9.9e-4
t3369,Male,Nonsmoker,38,0.00109
t3369,Male,Nonsmoker,39,0.00115
t3369,Male,Nonsmoker,40,0.00121
t3369,Male,Nonsmoker,41,0.00128
t3369,Male,Nonsmoker,42,0.00136
t3369,Male,Nonsmoker,43,0.00145
t3369,Male,Nonsmoker,44,0.0015
t3369,Male,Nonsmoker,45,0.00155
t3369,Male,Nonsmoker,46,0.00161
t3369,Male,Nonsmoker,47,0.00167
t3369,Male,Nonsmoker,48,0.00175
t3369,Male,Nonsmoker,49,0.00183
t3369,Male,Nonsmoker,50,0.00195
t3369,Male,Nonsmoker,51,0.00211
t3369,Male,Nonsmoker,52,0.0023
t3369,Male,Nonsmoker,53,0.00252
t3369,Male,Nonsmoker,54,0.00274
t3369,Male,Nonsmoker,55,0.00295
t3369,Male,Nonsmoker,56,0.00315
t3369,Male,Nonsmoker,57,0.00335
t3369,Male,Nonsmoker,58,0.00357
t3369,Male,Nonsmoker,59,0.00384
t3369,Male,Nonsmoker,60,0.00419
t3369,Male,Nonsmoker,61,0.00463
t3369,Male,Nonsmoker,62,0.00515
t3369,Male,Nonsmoker,63,0.00574
t3369,Male,Nonsmoker,64,0.00639
t3369,Male,Nonsmoker,65,0.00709
t3369,Male,Nonsmoker,66,0.00784
t3369,Male,Nonsmoker,67,0.00865
t3369,Male,Nonsmoker,68,0.00957
t3369,Male,Nonsmoker,69,0.01063
t3369,Male,Nonsmoker,70,0.01188
t3369,Male,Nonsmoker,71,0.01337
t3369,Male,Nonsmoker,72,0.01513
t3369,Male,Nonsmoker,73,0.01715
t3369,Male,Nonsmoker,74,0.01944
t3369,Male,Nonsmoker,75,0.02196
t3369,Male,Nonsmoker,76,0.02474
t3369,Male,Nonsmoker,77,0.02781
t3369,Male,Nonsmoker,78,0.03126
t3369,Male,Nonsmoker,79,0.03522
t3369,Male,Nonsmoker,80,0.03983
t3369,Male,Nonsmoker,81,0.04509
t3369,Male,Nonsmoker,82,0.05112
t3369,Male,Nonsmoker,83,0.05812
t3369,Male,Nonsmoker,84,0.06625
t3369,Male,Nonsmoker,85,0.07568
t3369,Male,Nonsmoker,86,0.08656
t3369,Male,Nonsmoker,87,0.09897
t3369,Male,Nonsmoker,88,0.11272
t3369,Male,Nonsmoker,89,0.12752
t3369,Male,Nonsmoker,90,0.14304
t3369,Male,Nonsmoker,91,0.1588
t3369,Male,Nonsmoker,92,0.17451
t3369,Male,Nonsmoker,93,0.18973
t3369,Male,Nonsmoker,94,0.20375
t3369,Male,Nonsmoker,95,0.21845
t3369,Male,Nonsmoker,96,0.23554
t3369,Male,Nonsmoker,97,0.25392
t3369,Male,Nonsmoker,98,0.27364
t3369,Male,Nonsmoker,99,0.29431
t3369,Male,Nonsmoker,100,0.31552
t3369,Male,Nonsmoker,101,0.33699
t3369,Male,Nonsmoker,102,0.35854
t3369,Male,Nonsmoker,103,0.37981
t3369,Male,Nonsmoker,104,0.40044
t3369,Male,Nonsmoker,105,0.42009
t3369,Male,Nonsmoker,106,0.4384
t3369,Male,Nonsmoker,107,0.45501
t3369,Male,Nonsmoker,108,0.46956
t3369,Male,Nonsmoker,109,0.4817
t3369,Male,Nonsmoker,110,0.49107
t3369,Male,Nonsmoker,111,0.49731
t3369,Male,Nonsmoker,112,0.5
t3369,Male,Nonsmoker,113,0.5
t3369,Male,Nonsmoker,114,0.5
t3369,Male,Nonsmoker,115,0.5
t3369,Male,Nonsmoker,116,0.5
t3369,Male,Nonsmoker,117,0.5
t3369,Male,Nonsmoker,118,0.5
t3369,Male,Nonsmoker,119,0.5
t3369,Male,Nonsmoker,120,0.5
t3370,Female,Nonsmoker,18,2.7e-4
t3370,Female,Nonsmoker,19,2.7e-4
t3370,Female,Nonsmoker,20,2.6e-4
t3370,Female,Nonsmoker,21,2.6e-4
t3370,Female,Nonsmoker,22,2.6e-4
t3370,Female,Nonsmoker,23,2.6e-4
t3370,Female,Nonsmoker,24,2.6e-4
t3370,Female,Nonsmoker,25,2.6e-4
t3370,Female,Nonsmoker,26,2.6e-4
t3370,Female,Nonsmoker,27,2.8e-4
t3370,Female,Nonsmoker,28,3e-4
t3370,Female,Nonsmoker,29,3.2e-4
t3370,Female,Nonsmoker,30,3.3e-4
t3370,Female,Nonsmoker,31,3.6e-4
t3370,Female,Nonsmoker,32,4e-4
t3370,Female,Nonsmoker,33,4.6e-4
t3370,Female,Nonsmoker,34,5.3e-4
t3370,Female,Nonsmoker,35,6.1e-4
t3370,Female,Nonsmoker,36,6.9e-4
t3370,Female,Nonsmoker,37,7.6e-4
t3370,Female,Nonsmoker,38,8.2e-4
t3370,Female,Nonsmoker,39,8.4e-4
t3370,Female,Nonsmoker,40,8.6e-4
t3370,Female,Nonsmoker,41,8.6e-4
t3370,Female,Nonsmoker,42,8.6e-4
t3370,Female,Nonsmoker,43,8.7e-4
t3370,Female,Nonsmoker,44,8.7e-4
t3370,Female,Nonsmoker,45,8.9e-4
t3370,Female,Nonsmoker,46,0.00093000000000000005
t3370,Female,Nonsmoker,47,9.7e-4
t3370,Female,Nonsmoker,48,0.00103
t3370,Female,Nonsmoker,49,0.00111
t3370,Female,Nonsmoker,50,0.00121
t3370,Female,Nonsmoker,51,0.00133
t3370,Female,Nonsmoker,52,0.00149
t3370,Female,Nonsmoker,53,0.00167
t3370,Female,Nonsmoker,54,0.00187
t3370,Female,Nonsmoker,55,0.00207
t3370,Female,Nonsmoker,56,0.00226
t3370,Female,Nonsmoker,57,0.00245
t3370,Female,Nonsmoker,58,0.00265
t3370,Female,Nonsmoker,59,0.00287
t3370,Female,Nonsmoker,60,0.00312
t3370,Female,Nonsmoker,61,0.00341
t3370,Female,Nonsmoker,62,0.00375
t3370,Female,Nonsmoker,63,0.00412
t3370,Female,Nonsmoker,64,0.00454
t3370,Female,Nonsmoker,65,0.00499
t3370,Female,Nonsmoker,66,0.00547
t3370,Female,Nonsmoker,67,0.006
t3370,Female,Nonsmoker,68,0.00658
t3370,Female,Nonsmoker,69,0.00725
t3370,Female,Nonsmoker,70,0.00804
t3370,Female,Nonsmoker,71,0.00897
t3370,Female,Nonsmoker,72,0.01007
t3370,Female,Nonsmoker,73,0.01135
t3370,Female,Nonsmoker,74,0.01283
t3370,Female,Nonsmoker,75,0.01453
t3370,Female,Nonsmoker,76,0.01649
t3370,Female,Nonsmoker,77,0.01877
t3370,Female,Nonsmoker,78,0.02147
t3370,Female,Nonsmoker,79,0.02471
t3370,Female,Nonsmoker,80,0.02854
t3370,Female,Nonsmoker,81,0.03263
t3370,Female,Nonsmoker,82,0.03689
t3370,Female,Nonsmoker,83,0.04177
t3370,Female,Nonsmoker,84,0.04851
t3370,Female,Nonsmoker,85,0.05625
t3370,Female,Nonsmoker,86,0.06395
t3370,Female,Nonsmoker,87,0.07279
t3370,Female,Nonsmoker,88,0.08288
t3370,Female,Nonsmoker,89,0.09402
t3370,Female,Nonsmoker,90,0.10607
t3370,Female,Nonsmoker,91,0.11905
t3370,Female,Nonsmoker,92,0.13311
t3370,Female,Nonsmoker,93,0.14781
t3370,Female,Nonsmoker,94,0.16312
t3370,Female,Nonsmoker,95,0.18074
t3370,Female,Nonsmoker,96,0.20127
t3370,Female,Nonsmoker,97,0.22374
