table,gender,tobacco,issue_age,duration,q_sel
t3365,Male,Nonsmoker,18,1,6.7e-4
t3365,Male,Nonsmoker,18,2,7e-4
t3365,Male,Nonsmoker,18,3,7.2e-4
t3365,Male,Nonsmoker,18,4,7.5e-4
t3365,Male,Nonsmoker,18,5,7.3e-4
t3365,Male,Nonsmoker,18,6,7e-4
t3365,Male,Nonsmoker,18,7,7e-4
t3365,Male,Nonsmoker,18,8,7e-4
t3365,Male,Nonsmoker,18,9,5.9e-4
t3365,Male,Nonsmoker,18,10,5.7e-4
t3365,Male,Nonsmoker,18,11,5.1e-4
t3365,Male,Nonsmoker,18,12,4.7e-4
t3365,Male,Nonsmoker,18,13,4.5e-4
t3365,Male,Nonsmoker,18,14,4.7e-4
t3365,Male,Nonsmoker,18,15,4.9e-4
t3365,Male,Nonsmoker,18,16,5.5e-4
t3365,Male,Nonsmoker,18,17,6.4e-4
t3365,Male,Nonsmoker,18,18,7.4e-4
t3365,Male,Nonsmoker,18,19,8.6e-4
t3365,Male,Nonsmoker,18,20,9.8e-4
t3365,Male,Nonsmoker,18,21,0.00107
t3365,Male,Nonsmoker,18,22,0.00113
t3365,Male,Nonsmoker,18,23,0.00118
t3365,Male,Nonsmoker,18,24,0.00125
t3365,Male,Nonsmoker,18,25,0.00133
t3365,Male,Nonsmoker,19,1,6.2e-4
t3365,Male,Nonsmoker,19,2,6.5e-4
t3365,Male,Nonsmoker,19,3,6.7e-4
t3365,Male,Nonsmoker,19,4,6.3e-4
t3365,Male,Nonsmoker,19,5,6.3e-4
t3365,Male,Nonsmoker,19,6,6.4e-4
t3365,Male,Nonsmoker,19,7,6.4e-4
t3365,Male,Nonsmoker,19,8,5.9e-4
t3365,Male,Nonsmoker,19,9,5.1e-4
t3365,Male,Nonsmoker,19,10,4.5e-4
t3365,Male,Nonsmoker,19,11,4.7e-4
t3365,Male,Nonsmoker,19,12,4.5e-4
t3365,Male,Nonsmoker,19,13,4.4e-4
t3365,Male,Nonsmoker,19,14,4.8e-4
t3365,Male,Nonsmoker,19,15,5.3e-4
t3365,Male,Nonsmoker,19,16,5.7e-4
t3365,Male,Nonsmoker,19,17,6.6e-4
t3365,Male,Nonsmoker,19,18,7.7e-4
t3365,Male,Nonsmoker,19,19,8.9e-4
t3365,Male,Nonsmoker,19,20,0.001
t3365,Male,Nonsmoker,19,21,0.0011
t3365,Male,Nonsmoker,19,22,0.00116
t3365,Male,Nonsmoker,19,23,0.00123
t3365,Male,Nonsmoker,19,24,0.00131
t3365,Male,Nonsmoker,19,25,0.00139
t3365,Male,Nonsmoker,20,1,5.4e-4
t3365,Male,Nonsmoker,20,2,5.5e-4
t3365,Male,Nonsmoker,20,3,6.2e-4
t3365,Male,Nonsmoker,20,4,6e-4
